year,MaxRWBIL01_,MaxRWBIL02_,MaxRWBIL04_,MaxRWBIL06_,MaxRWBIL07_,MaxRWBIL10_,MaxRWBIL11_,MaxRWBIL13_,MaxRWBIL14_,MaxRWBIL16_
1891,1059.6328125,420.734375,672.6640625,697.9453125,730.765625,735.8046875,591.5,1060.390625,840.5703125,617.5390625
1892,783.484375,213.46875,620.1328125,453.6953125,571.546875,652.796875,426.8203125,773.7421875,583.640625,305.453125
1893,566.1953125,150.2578125,315.2578125,162.6875,340.84375,272.6796875,314.5546875,333.4921875,170.1171875,126.4296875
1894,1104.21875,457.0234375,1760,554.65625,746.703125,898.203125,803.2890625,1122.859375,597.9140625,439.7265625
1895,758.6875,354.984375,616.8671875,387.921875,419.0625,670.6328125,585.9921875,518.6015625,420.3125,402.65625
1896,583.6796875,191.4140625,504.2890625,267.8125,299.609375,395.796875,426.0390625,265.3359375,313.171875,287.265625
1897,642.90625,308.5,632.0703125,313.703125,387.640625,495.5234375,534.8828125,278.3671875,472.84375,484.9140625
1898,895.984375,436.3125,714.734375,341.8359375,594.7109375,791.1328125,569.609375,456.5078125,566.1640625,646.2890625
1899,380.328125,235.9609375,392.15625,113.65625,297.6875,528.46875,319.421875,266.2578125,351.78125,355.4453125
1900,1020.1328125,513.21875,630.140625,237.8203125,420.2578125,794.90625,711.96875,662.2578125,511.4296875,708.84375
1901,902.671875,459.6015625,794.28125,264.8125,466.8359375,945.3671875,643.84375,624.453125,511.25,731.34375
1902,1655.34375,747.0234375,1564.1796875,348.78125,827.453125,1099.5546875,811.8125,1025.046875,812.5078125,932.2734375
1903,1157.0625,611.8984375,832.3671875,258.03125,521.2421875,717.5,526.8984375,1027.765625,585.84375,513.890625
1904,897.734375,814.625,943.9765625,309,548.5234375,671.8828125,691.3125,868.796875,806.984375,663.2734375
1905,284.65625,247.1875,336.453125,175.546875,214.4453125,341.4140625,317.5390625,251.4609375,377.484375,190.4921875
1906,647.2109375,476.109375,484.65625,293.234375,409.4765625,605.9140625,534.75,537.5078125,569.34375,419.4765625
1907,1055.1484375,632.9921875,1756.890625,425.1796875,574.3359375,817.3359375,778.8671875,903.5078125,634.0390625,744.921875
1908,705.3671875,553.796875,951.0859375,264.8125,434.2421875,625.484375,619.3359375,618.484375,538.40625,470.1015625
1909,553.859375,242.2734375,280.1875,110.984375,240.90625,496.4921875,364.671875,276.921875,393.8359375,203.7109375
1910,683.859375,311.6796875,455.46875,135.6796875,372.5703125,521.7421875,396.078125,336.1484375,394.3125,335.71875
1911,1134.7421875,759.890625,477.953125,343.0234375,488.09375,628.859375,860.171875,646.890625,623.7578125,550.1015625
1912,904.375,631.2265625,866.203125,234.9609375,554.5546875,609.890625,689.109375,475.4453125,757.296875,585.3046875
1913,439.8515625,462.0390625,402.7109375,199.84375,326.640625,624.875,523.8515625,279.234375,669.7578125,336.6875
1914,1099.7421875,910.9296875,990.5078125,434.0859375,554.296875,684.59375,777.4140625,630.453125,956.1796875,601.0234375
1915,957.625,591.90625,1190.3671875,289.109375,467.6875,623.4765625,513.71875,475.140625,690.390625,337.03125
1916,1189.9609375,896.0390625,1180.890625,318.7109375,527.359375,723.78125,856.671875,686.5546875,823.1171875,701.6796875
1917,766.9453125,614.875,616.1015625,219.234375,373.109375,877.515625,633.4375,600.8203125,728.9453125,504.5
1918,1033.7421875,715.375,832.3125,334.9140625,458.046875,834.734375,761,822.4375,1065.28125,751.1796875
1919,727.5234375,418.9609375,801.7265625,200.25,371.7578125,551.3828125,461.8359375,456.84375,642.2265625,242.46875
1920,709.9609375,404.8671875,755.34375,198.984375,383.71875,377.7265625,486.859375,449.5390625,572.8828125,488
1921,584.234375,233.859375,213.5,83.546875,232.3125,359.859375,242.9375,237.859375,247.9140625,169.5859375
1922,938.4609375,413.7890625,483.5390625,201.7734375,445.4296875,528.7890625,363.6875,529.7265625,564.515625,333.65625
1923,1693.09375,584.359375,1117.671875,397.328125,513.0546875,632.03125,677.1953125,837.5234375,710.3046875,467.0078125
1924,1335.1796875,569.828125,1292.3671875,370.9921875,507.2109375,554.1640625,647.171875,655.9609375,555.1953125,713.46875
1925,1478.7578125,606.4765625,1631.6015625,350.9921875,553.40625,531.125,684.28125,720.5546875,485.4921875,641.796875
1926,928.28125,413.3359375,869.953125,242.1875,474.3046875,588.2421875,643.5,510.09375,395.5625,456.125
1927,954.8515625,429.21875,785.0234375,266.1953125,444.953125,562.84375,504.359375,522.90625,395.25,536.9609375
1928,1216.3203125,326.2421875,730.625,339.9296875,534.3515625,645.3671875,565.8984375,651.796875,410.2265625,468.1171875
1929,1548.359375,539.234375,1420.765625,502.1015625,663.5234375,1143.4921875,871.0390625,1112.4453125,791.359375,711.2109375
1930,1183.6484375,451.78125,985.6484375,525.0234375,626.0390625,694.859375,713.8203125,1072.3203125,618.8828125,567.1953125
1931,1562.7109375,477.40625,1076.265625,556.546875,681.546875,601.2109375,905.6015625,940.0859375,742.984375,759.4296875
1932,1742.6484375,440.703125,1198.9921875,588.8203125,592.3203125,581.96875,734.5625,1198.1640625,714.328125,847.0078125
1933,1387.8515625,420.8359375,895.2109375,446.3515625,495.484375,451.78125,656.890625,921.5546875,764.3125,671.9375
1934,710.7421875,292.1171875,500.9453125,319.078125,362.09375,588.5859375,478.203125,610.6953125,459.671875,440.6875
1935,1154.625,660.4296875,1096.359375,508.78125,705.015625,455.265625,932.25,803.625,612.84375,779.8671875
1936,618.703125,246.6875,677.6328125,304.5859375,344.3515625,532.4296875,656.859375,215.3203125,318.71875,350.5390625
1937,1020.9765625,484.53125,965.84375,530.34375,509.7421875,465.7109375,819.15625,548.8359375,444.796875,684.296875
1938,1459.84375,452.015625,969.5703125,488.40625,494.953125,397.25,646.0625,430.0859375,388.1171875,715.6953125
1939,1231.4375,594.1015625,1174.53125,680.7265625,671.0859375,616.7890625,800.984375,948.203125,808.328125,785.46875
1940,1041.9296875,700.234375,1209.96875,668.9375,950.75,935.2734375,1066.921875,1393.1640625,865.8984375,948.515625
1941,1334.703125,795.2265625,1134.3125,738.5,924.9375,706.390625,1165.1484375,1338.953125,753.203125,1170.796875
1942,909.546875,485.7421875,642.5390625,471.7578125,670.0390625,641.3203125,867.3125,637.375,738.265625,720.546875
1943,1127.328125,655.96875,822.234375,628.171875,804.953125,956.25,1049.2890625,874.53125,607.046875,1033.96875
1944,1164.625,751.4140625,1004.546875,891.984375,966.9921875,870.3046875,1085.703125,984.546875,568.796875,871.109375
1945,1005.296875,749.109375,630.59375,265.21875,825.671875,764.5,699.6328125,688.5859375,495.46875,633.5234375
1946,658.375,340.125,335.640625,359.7421875,600.96875,557.15625,508.1640625,417.234375,325.796875,354.609375
1947,1125.0546875,572.6796875,774.359375,765.9921875,668.390625,760.8359375,730.2734375,812.609375,687.390625,650.640625
1948,1440.9765625,544.6171875,957,727.6953125,724.1640625,710.78125,740.875,822.46875,642.609375,781.6015625
1949,1376.1484375,300.1640625,498.421875,424.546875,483.5625,484.5078125,472.7265625,526.484375,453.0859375,509.7265625
1950,798.640625,134.4453125,114.0859375,146.328125,243.984375,264.796875,222.1484375,397.8984375,250.6953125,173.7734375
1951,1086.5234375,376.7734375,459.703125,393.421875,508.3359375,340.8203125,480.1484375,535.5625,463.6875,435.84375
1952,1342.9375,326.6015625,734.7734375,457.3671875,555.171875,495.9921875,555.671875,612.15625,702.015625,548.1953125
1953,872.921875,371.2890625,863.1875,412.8515625,448.109375,419.9453125,553.875,491.53125,422.171875,504.3671875
1954,479.46875,179.875,269.2265625,196.7265625,237.8125,208.234375,269.1796875,182.984375,263.4296875,246.1953125
1955,880.4375,268.3125,433.4609375,377.9140625,279.4296875,326.203125,412.3984375,280.7265625,268.3125,415.0546875
1956,1382.875,512.4140625,725.921875,585.7890625,481.796875,492.8515625,692.6875,587.7578125,499.0078125,607.3359375
1957,988.7109375,295.484375,491.9453125,403.078125,444.8359375,434.078125,676.3984375,273.921875,399.4453125,424.0234375
1958,1646.796875,463.671875,880.9296875,800.890625,635.6953125,597.6953125,810.7421875,605.6328125,631.1796875,794.8125
1959,801.28125,270.53125,488.9296875,510.6015625,493.2578125,391.203125,572.171875,373.0625,278.53125,460.125
1960,1088.859375,408.671875,642.3203125,707.5390625,588.78125,682.0703125,808.46875,742.2890625,647.15625,694.625
1961,504.6640625,152.46875,144.15625,232.265625,235.6171875,371.328125,456.78125,173.7265625,234.6875,198.21875
1962,579.1171875,322.15625,131.296875,489.1484375,431.8828125,417.3984375,593.0703125,241.796875,265.2265625,307.03125
1963,736.8828125,248.8671875,243.375,536.140625,459.7109375,371.8125,612.1953125,336.828125,374.609375,335.0390625
1964,1052.90625,346.8828125,770.1015625,797.515625,549.90625,652.453125,1041.8515625,585.21875,509.6796875,644.078125
1965,829.1015625,232.0625,549.2578125,402.1171875,412.90625,353.6171875,601.5546875,395.1015625,318.3125,407.671875
1966,750.75,270.921875,307.578125,407.6015625,409.8046875,434.90625,542.2265625,329.1171875,251.9453125,388.546875
1967,754.5625,263.0546875,343.8984375,432.546875,474.75,383.375,425.953125,327.578125,345.25,331.4921875
1968,1247.09375,482.9140625,462.7421875,620.71875,767.859375,412.8828125,658.625,467.203125,468.5703125,584.0234375
1969,1694.7578125,534.9921875,383.765625,561.9921875,776.890625,585.6953125,552.3515625,578.65625,459.3125,577.3203125
1970,992.234375,375.7890625,574.6875,444.75,669.6953125,520.15625,667.8984375,666.1171875,453.0390625,497.2578125
1971,976.3828125,384.015625,320.46875,378.8203125,795.6875,330.1484375,487.5859375,306.703125,616.203125,552.078125
1972,647.109375,233.0703125,346.953125,204.2265625,358.484375,229.8359375,624.3671875,279.3671875,356.2421875,269.6328125
1973,501.6796875,464.59375,380.234375,372.8046875,569.734375,307.7734375,744.2890625,459.5390625,452.21875,482.21875
1974,865,362.4296875,486.6328125,396.9921875,503.8515625,313.7109375,703.65625,453.46875,420.84375,364.234375
1975,636.921875,213.9453125,424.3359375,270.953125,525.578125,323.421875,521.125,326.234375,343.8671875,312.53125
1976,800.0546875,276.3125,469.5234375,395.9140625,709.1953125,375.5546875,704.8125,506.3828125,330.296875,396.484375
1977,671.90625,181.328125,288.1015625,341.1640625,609.5859375,391.0234375,564.4921875,312.9375,366.0703125,385.8203125
1978,480.8828125,120.2578125,296.1171875,218.359375,490.1953125,342.6875,620.640625,214.4453125,263.4765625,353.6640625
1979,789.953125,228.4921875,479.625,361.4140625,611.890625,441.3046875,750.109375,378.859375,328.40625,425.640625
1980,867.28125,316.6171875,516.7421875,412.359375,623.4765625,423.90625,1451.5625,386.2421875,377.15625,385.875
1981,656.9140625,197.578125,365.546875,326.2265625,522.234375,447.0234375,741.0625,322.21875,300.5625,314.75
1982,499.078125,126.4140625,145.953125,148.8671875,288.1953125,345.4609375,269.8828125,142.71875,225.015625,184.4453125
1983,629.828125,221.8359375,574.703125,256.6328125,399.125,411.1484375,702.8671875,348.3828125,225.2265625,382.3125
1984,625.421875,218.7890625,523.9609375,288.8359375,447.3671875,391.40625,583.234375,243.2734375,125.6875,319.5859375
1985,800.1171875,364.25,695.75,541.953125,615.4296875,592.6328125,1146.8671875,365.2890625,532.9296875,778.1796875
1986,637.46875,263.8984375,412.0078125,297.03125,345.1875,632.8984375,835.296875,304.8046875,384.375,462.046875
1987,508.109375,162.2578125,96.875,189.7890625,217.7578125,495.9765625,411.7265625,113.765625,269.2265625,234.7578125
1988,602.703125,251.5625,451.3203125,346.65625,363.5078125,480.1796875,559.140625,228.2578125,377.140625,354.15625
1989,614.71875,252.3359375,500.3125,287.8203125,448.6484375,354.34375,590.90625,233.8125,369.09375,150.78125
1990,448.2734375,140.1484375,265.5078125,203.7421875,347.0078125,383.15625,306.1796875,124.25,298.4921875,168.7890625
