year,KhBIL01_,KhBIL02_,KhBIL04_,KhBIL06_,KhBIL07_,KhBIL10_,KhBIL11_,KhBIL13_,KhBIL14_,KhBIL16_
1861,1.3760476143262623e-8,1.499507902997435e-8,2.0853878671279044e-8,2.0227944701633455e-8,6.919961284916119e-9,0,1.3075808641982967e-8,1.6918325444037184e-8,1.3425417042257695e-8,1.527133440056917e-8
1862,1.900132198620904e-8,6.0646328707801795e-9,1.589215923176573e-8,1.1489306461722498e-8,7.108594629134225e-9,0,9.613242526972508e-9,1.801937702315279e-8,7.317292916936509e-9,1.5745665351481473e-8
1863,2.084990362665029e-8,9.095733018783068e-9,2.7169707138162972e-8,2.1153045498825427e-8,6.806253559080297e-9,0,1.280899576272589e-8,1.551533390359803e-8,1.1153330594347395e-8,1.5137426435921564e-8
1864,1.4696732237733945e-8,3.968479721873327e-9,1.1451401709232443e-8,5.754916101755503e-9,3.846854585278231e-9,0,5.364133197413955e-9,5.073949496715177e-9,3.948168844975795e-9,6.326293192449868e-9
1865,1.0636630204124955e-8,3.8218175255973886e-9,2.0755486374377964e-8,1.0662817466187842e-8,2.111212704990927e-9,2.0109871554125523e-9,6.940112010046285e-9,3.1198358661604462e-9,3.006349271931444e-9,5.879243949174471e-9
1866,1.3687365152242035e-8,4.3224608015834225e-9,1.6305873550839e-8,1.601603095856269e-8,5.433458737227142e-9,7.394150847892771e-9,4.148802285368446e-9,3.5309534956522497e-9,1.509771585844704e-8,8.095757517474145e-9
1867,1.2261376357915552e-8,7.014841262048056e-9,1.0674049497329331e-8,1.1040174788947227e-8,5.335851021408563e-9,9.085983669907332e-9,3.960617757661818e-9,4.862400840339973e-9,1.0924494686658951e-8,6.21306471407098e-9
1868,9.777117775394457e-9,8.151044074365495e-9,9.526042182193388e-9,1.1974816784378462e-8,1.0285413428228053e-8,5.250850543555411e-9,6.809146720554677e-9,5.857291466339437e-9,1.0972455463830729e-8,1.119117825679378e-8
1869,1.520463429880442e-8,7.662534463576522e-9,1.2772980151427169e-8,1.1387054147207621e-8,5.846352155870343e-9,6.60893784013679e-9,9.473060253787754e-9,6.230220347753246e-9,1.505152964344949e-8,3.779952185551128e-9
1870,2.9304479333403675e-8,1.0932522426819403e-8,2.288158671890295e-8,2.0812630510281834e-8,1.0324174403937934e-8,1.4545553657272576e-8,1.0228808317713039e-8,1.5946605670767046e-8,1.812618893717503e-8,1.3550137213005198e-8
1871,2.5999723711625564e-8,5.688652713724836e-9,1.9461657491087242e-8,1.634079225170699e-8,8.474135620889787e-9,7.538014882469e-9,1.4358783936070662e-8,1.1773292185792362e-8,1.6738088006923974e-8,1.718138118484592e-8
1872,1.7479871600835304e-8,3.425884013895129e-9,1.6072086630373223e-8,9.387005040410777e-9,9.989476066328699e-9,4.421893758025712e-9,1.0951141591188709e-8,1.4224548457465848e-8,7.855391691227173e-9,1.2530259214386999e-8
1873,3.143324318892131e-8,1.210804135560568e-8,2.3368849639169703e-8,1.7747273753513933e-8,2.052420064881595e-8,9.439566868127765e-9,1.449264050831178e-8,2.6405271089064986e-8,7.915917869849768e-9,2.049412079362415e-8
1874,2.8389802005492464e-8,5.061306267255304e-9,2.7299989249020546e-8,9.347457185835415e-9,1.0792381560344598e-8,1.1133234959442132e-8,1.7316840770802037e-8,2.2288312148207245e-8,4.0445798021585295e-9,1.3428445404739197e-8
1875,5.9479512222986404e-8,5.762737993220074e-9,3.8899335708714115e-8,1.7060200089236125e-8,1.8902082417964003e-8,1.831257257974426e-8,2.98616259448978e-8,3.0818287978436167e-8,1.1812879919746829e-8,2.1848284652301733e-8
1876,4.313173819630115e-8,8.237340969107599e-9,2.4573557308177e-8,9.288535581244736e-9,2.0308081703337307e-8,1.2100904936619233e-8,2.708843195438215e-8,1.6403168233616387e-8,7.380294662396203e-9,9.006522895428235e-9
1877,2.9575430932665682e-8,7.480459590020393e-9,3.2578400963273844e-8,1.4114220188312263e-8,1.7181671035517176e-8,9.120495766533246e-9,2.049492429408292e-8,1.1702722279018527e-8,1.2713070960637078e-8,1.34314612949167e-8
1878,2.255567504300567e-8,8.960430273326144e-9,3.622057635730922e-8,1.3916972995215549e-8,1.9632061256753265e-8,8.407789995109147e-9,1.4963845367962767e-8,1.1938079715287222e-8,1.4355169261584569e-8,1.7200353721242604e-8
1879,2.028238072328201e-8,1.0687226990876365e-8,2.258454745612948e-8,1.977832207739027e-8,1.3959691232048927e-8,1.1007104247892542e-8,1.5352249852790787e-8,1.3262605051674051e-8,1.8050919861274722e-8,2.1004993767586994e-8
1880,4.971666849646261e-8,1.25610446023244e-8,5.562988474988515e-8,2.3708361637967774e-8,1.5699802200095587e-8,1.4040327245695118e-8,3.0802367913112464e-8,2.3489875904683274e-8,2.5208868143971678e-8,2.121976319123884e-8
1881,1.0867609956917793e-8,1.3187603237133103e-8,4.3372394387931765e-8,1.7751364698397556e-8,1.7256025854495037e-8,1.635750232449604e-8,2.6715928526855333e-8,1.782801454594572e-8,2.8303492819594466e-8,1.9084627321394044e-8
1882,1.7266192650801958e-8,1.2612026265610217e-8,2.611109591906842e-8,9.680835194744215e-9,9.135588360930256e-9,1.6820755532943965e-8,1.8962247660930297e-8,1.1159977723682273e-8,1.3404354939665465e-8,1.2532684781576338e-8
1883,1.759416768067141e-8,1.0114517665412017e-8,1.7795641213396912e-8,1.799614677734834e-8,1.1197273024686392e-8,1.5898404749043766e-8,2.0951791687083366e-8,1.8854025466948266e-8,1.8283326771273798e-8,1.370601665131516e-8
1884,3.708309028563611e-8,1.3254685042126822e-8,3.539390159238591e-8,1.8375304079573083e-8,1.6088393751267913e-8,1.6262328197751884e-8,2.6448554993006245e-8,1.8432716596917223e-8,2.3917036586442103e-8,1.6611844236958787e-8
1885,3.351056639302588e-8,1.6940146884519907e-8,3.683124448843957e-8,2.0978418301206996e-8,1.6647263915408025e-8,1.730369943579815e-8,1.1759917332826334e-8,1.6208153172873506e-8,2.755837125856998e-8,1.8834942022863816e-8
1886,2.455096465766446e-8,5.486085968921487e-9,1.0358992350134874e-8,8.55092063315038e-9,1.0296053514228154e-8,1.6424913165656826e-8,1.0015287203663412e-8,1.0332797444654462e-8,1.1288681454293878e-8,1.069518370332258e-8
1887,3.6364569193849366e-8,1.0140228613990295e-8,1.2612629515513577e-8,1.1942543254934183e-8,9.579842160570272e-9,1.7807880671065053e-8,7.940018358473414e-9,1.2703323487429803e-8,1.541396423594705e-8,9.20103036026565e-9
1888,5.389291147701065e-8,1.3780986638372002e-8,2.2286253463682458e-8,1.563809472237214e-8,1.2825223893905518e-8,2.8908613299900777e-8,1.2908000767440595e-8,2.2873195087218412e-8,2.979219974583033e-8,1.3963198267193275e-8
1889,1.3470181853600914e-8,1.2980054342351813e-8,1.851417024447746e-8,1.628881330458963e-8,1.2865996317311102e-8,2.0504711967764323e-8,8.033998990415863e-9,2.2437393986166246e-8,2.1019069047010537e-8,1.2371480032131543e-8
1890,1.787203781216667e-8,6.954463468067565e-9,1.3566173354393585e-8,7.4229831788292e-9,1.4166866501278177e-8,1.4405166201819373e-8,6.096651452150786e-9,9.651965189609875e-9,9.715792177004965e-9,9.146492350062758e-9
1891,5.245600799654068e-8,1.333690974209204e-8,2.8677185612375766e-8,1.8743126384769396e-8,2.4765575274956435e-8,2.340826718951152e-8,1.2316366730414242e-8,2.131420177655097e-8,2.2829543878406925e-8,1.5366581502420524e-8
1892,4.015111979746639e-8,7.156410201719244e-9,2.6645485103292333e-8,1.1921273919791344e-8,2.0460693018243186e-8,2.3723841430986808e-8,9.207510979048273e-9,1.9413758375847e-8,2.1583159283953886e-8,8.847343061566024e-9
1893,2.720400959240626e-8,4.331104260135908e-9,1.0325022100363592e-8,2.2848404635644736e-9,9.620625092959606e-9,6.6261212581374685e-9,6.505486329347174e-9,5.9708728966945285e-9,2.535989246819759e-9,2.487629854985696e-9
1894,5.617654845463627e-8,1.170995002498864e-8,7.059102049452978e-8,1.1548903917911908e-8,2.284448027309066e-8,2.60010180014174e-8,1.4915410761162216e-8,2.1677121325249e-8,5.245073115120341e-9,1.1933153172545418e-8
1895,2.7656595754733998e-8,8.540110894729956e-9,1.9892492744728078e-8,6.184069630868004e-9,9.949910023443323e-9,2.346986570023852e-8,8.889297402948626e-9,1.0790070161175334e-8,1.22983381592938e-8,7.992965537438747e-9
1896,2.343449718793657e-8,4.3383774025075096e-9,2.0954685314809847e-8,5.472275278224679e-9,1.0029755169663493e-8,1.1769009202013542e-8,7.478365699715812e-9,5.249463012663459e-9,6.988236889513239e-9,8.246813860100824e-9
