year,CD*BIL01_,CD*BIL02_,CD*BIL04_,CD*BIL06_,CD*BIL07_,CD*BIL10_,CD*BIL11_,CD*BIL13_,CD*BIL14_,CD*BIL16_
2012,650.2213134765625,660.7182006835938,575.4544067382812,631.5531005859375,649.571044921875,513.5877075195312,606.1484985351562,166.55279541015625,557.5123291015625,645.63037109375
2013,652.3211669921875,755.5589599609375,665.4639892578125,1008.4111328125,697.3011474609375,580.8392333984375,597.172607421875,210.73629760742188,798.003173828125,986.5068359375
2014,758.3072509765625,825.0180053710938,731.8641357421875,862.1783447265625,640.8462524414062,648.6597900390625,799.8379516601562,215.0947723388672,481.1690979003906,922.712646484375
2015,713.5303344726562,728.1882934570312,585.0239868164062,592.7247314453125,634.0137329101562,557.6079711914062,751.2144775390625,203.55836486816406,526.8217163085938,590.5556030273438
2016,609.7920532226562,762.8755493164062,561.4834594726562,751.5771484375,681.2456665039062,696.2467651367188,738.240478515625,274.51007080078125,639.0738525390625,787.826171875
2017,654.1087036132812,801.4708862304688,585.1641845703125,666.6156616210938,765.4072875976562,648.0888061523438,738.3316650390625,166.73402404785156,567.3408813476562,704.8339233398438
2018,718.8060913085938,745.8015747070312,676.73095703125,634.8441162109375,869.6611328125,627.3261108398438,802.5716552734375,169.71998596191406,598.0231323242188,660.7865600585938
2019,643.99169921875,816.3150634765625,678.3667602539062,758.2265625,959.5441284179688,648.5882568359375,807.4136962890625,214.36691284179688,651.6405029296875,724.7117919921875
2020,591.6857299804688,693.6932373046875,583.5551147460938,637.3792724609375,852.2494506835938,459.0503845214844,617.5778198242188,207.265380859375,604.4522705078125,754.1744384765625
2021,470.6497497558594,643.0418701171875,616.8089599609375,670.980224609375,832.0133666992188,456.0836181640625,642.8286743164062,164.89527893066406,569.1181030273438,606.1439819335938
2022,491.7275085449219,855.3961181640625,654.345458984375,742.9429931640625,865.6372680664062,513.857177734375,723.3475952148438,168.78871154785156,298.31231689453125,946.9636840820312
2023,430.3898620605469,796.939453125,737.8580322265625,649.2646484375,825.5335083007812,362.28765869140625,684.440673828125,194.65077209472656,267.3482360839844
