year,DhBIL01_,DhBIL02_,DhBIL04_,DhBIL06_,DhBIL07_,DhBIL10_,DhBIL11_,DhBIL13_,DhBIL14_,DhBIL16_
1935,36.76955032348633,36.432376861572266,35.29094314575195,32.24742126464844,32.72160720825195,35.789302825927734,34.82886505126953,35.12001037597656,31.21336555480957,31.868101119995117
1936,37.092472076416016,32.19282913208008,36.285240173339844,30.835012435913086,31.971839904785156,34.146034240722656,34.25564956665039,32.053592681884766,31.691736221313477,30.11178207397461
1937,37.437950134277344,37.981380462646484,38.085880279541016,33.96894836425781,33.37980270385742,37.301910400390625,37.5435676574707,37.688323974609375,34.31597900390625,33.533782958984375
1938,38.227237701416016,35.343505859375,34.005653381347656,30.438777923583984,32.98701858520508,32.73240280151367,36.41545867919922,36.64929962158203,31.957910537719727,29.97232437133789
1939,36.9118537902832,32.7415885925293,36.29084396362305,31.142087936401367,33.330135345458984,35.99679946899414,36.81782150268555,34.22014236450195,31.3732852935791,30.82550621032715
1940,37.56452941894531,34.42317199707031,36.57682418823242,34.22992706298828,34.7938346862793,38.528099060058594,39.52040481567383,34.80068588256836,32.2005729675293,32.7158203125
1941,36.899051666259766,34.02691650390625,38.13062286376953,35.631072998046875,32.4988899230957,35.89456558227539,39.21586990356445,34.806602478027344,34.375057220458984,33.66973114013672
1942,36.93466567993164,32.88429260253906,35.74679183959961,32.69478988647461,32.468116760253906,32.475181579589844,37.46393966674805,35.31833267211914,34.74387741088867,31.2242431640625
1943,40.2147216796875,36.6551399230957,38.12202072143555,35.32906723022461,32.23397445678711,36.20133590698242,38.27755355834961,36.50416946411133,35.22317886352539,35.96662521362305
1944,36.9118766784668,34.13114929199219,37.223350524902344,33.57904052734375,33.71895217895508,33.80047607421875,38.18962478637695,37.96281814575195,32.37055587768555,34.73979187011719
1945,36.710723876953125,37.61930465698242,36.79594039916992,5.036958694458008,33.00211715698242,33.766868591308594,36.237892150878906,36.671268463134766,32.28593444824219,37.28098678588867
1946,38.38859558105469,36.55882263183594,36.291255950927734,35.192352294921875,31.911636352539062,32.03691482543945,37.88792419433594,34.12367630004883,31.051904678344727,34.9920768737793
1947,40.6229248046875,39.19559097290039,39.62453842163086,36.214500427246094,34.19812774658203,35.04959487915039,39.99897003173828,38.497413635253906,34.42308807373047,38.636802673339844
1948,38.52463912963867,38.15294647216797,40.19063949584961,35.55657196044922,32.675350189208984,35.973052978515625,39.20867156982422,37.16212844848633,29.574554443359375,36.17776870727539
1949,37.65807342529297,38.46940231323242,34.72209548950195,34.51891326904297,31.950437545776367,36.26741027832031,37.95358657836914,36.59916305541992,30.041128158569336,35.79281997680664
1950,36.93589401245117,30.561378479003906,30.872251510620117,32.71992874145508,31.379621505737305,31.24968910217285,34.211605072021484,36.301361083984375,29.949661254882812,29.876218795776367
1951,36.651611328125,37.52979278564453,35.26486587524414,32.91952896118164,32.093929290771484,33.25662612915039,36.50117874145508,35.0304069519043,31.49785614013672,33.28023910522461
1952,38.13328552246094,37.93924331665039,39.099300384521484,36.585960388183594,31.675085067749023,35.028961181640625,34.93263244628906,35.546722412109375,30.139368057250977,33.30990982055664
1953,36.89194107055664,36.423248291015625,38.15121078491211,35.57928466796875,31.580827713012695,33.33097839355469,37.55270767211914,33.36186599731445,27.094829559326172,34.610416412353516
1954,38.82411193847656,38.83061599731445,34.87110900878906,36.316802978515625,32.35284423828125,34.745880126953125,38.02978515625,32.227718353271484,32.89582824707031,35.37263488769531
1955,39.88958740234375,39.46631622314453,38.54758071899414,36.520240783691406,32.33871078491211,36.25529861450195,37.44173049926758,33.966041564941406,32.94690704345703,36.60272216796875
1956,38.32857894897461,39.77261734008789,40.31344985961914,36.61933517456055,33.682891845703125,36.857635498046875,39.89778518676758,35.34019470214844,34.58988571166992,36.40104293823242
1957,39.357032775878906,40.595176696777344,41.628074645996094,36.2388916015625,34.329994201660156,38.658790588378906,40.60499572753906,35.8862190246582,36.056785583496094,36.8281135559082
1958,39.87099075317383,41.16363525390625,40.77992630004883,37.394630432128906,34.14177322387695,39.87006378173828,39.55413055419922,36.21879959106445,36.47589874267578,37.60594177246094
1959,39.324371337890625,41.38446044921875,40.063011169433594,36.256553649902344,34.89750671386719,40.40026092529297,41.36565017700195,38.031761169433594,33.65143585205078,38.620243072509766
1960,39.381080627441406,36.994834899902344,39.166561126708984,36.19344711303711,33.918617248535156,40.62208938598633,37.50201416015625,35.346370697021484,35.14376449584961,37.860164642333984
1961,37.859962463378906,36.707061767578125,36.4933967590332,33.321102142333984,34.125308990478516,37.46213912963867,37.03984069824219,32.04963302612305,33.048763275146484,33.8938102722168
1962,38.0194206237793,40.580833435058594,36.708587646484375,37.11442947387695,34.871429443359375,39.63066101074219,39.888797760009766,35.34257888793945,34.442203521728516,37.680538177490234
1963,38.28715896606445,39.30950164794922,39.76945877075195,37.54974365234375,33.6246452331543,38.47252655029297,38.580684661865234,33.82096862792969,34.21240234375,36.85276794433594
1964,39.65540313720703,37.68936538696289,40.45883560180664,36.200660705566406,31.70024299621582,40.20221710205078,39.1595573425293,35.11561965942383,32.68677520751953,36.73891830444336
1965,40.4296760559082,39.996055603027344,37.86431121826172,37.49417495727539,33.857574462890625,38.84349822998047,36.71870422363281,35.110111236572266,33.55088424682617,36.14560317993164
1966,38.83538818359375,40.275123596191406,37.57089614868164,36.27774429321289,33.299556732177734,37.666534423828125,37.02077102661133,33.83621597290039,34.09866714477539,34.76490783691406
1967,39.66721725463867,38.275047302246094,38.749786376953125,35.36977767944336,34.55898666381836,37.42076873779297,35.610713958740234,34.18289566040039,33.94491958618164,34.61739730834961
1968,40.416961669921875,34.8221549987793,39.83403015136719,37.156524658203125,34.57006072998047,38.23050308227539,39.021995544433594,34.98188400268555,33.2127571105957,37.165775299072266
1969,40.34193420410156,32.24253845214844,38.4017219543457,36.66107940673828,33.81414031982422,40.3664665222168,38.86781692504883,35.27907180786133,32.247520446777344,35.80876922607422
1970,40.03120422363281,32.180206298828125,39.73846435546875,36.88243103027344,33.35887908935547,42.47880935668945,39.8840446472168,36.62943649291992,30.352684020996094,36.18321228027344
1971,38.820343017578125,31.193952560424805,39.58595275878906,36.962738037109375,34.3600959777832,37.92287826538086,37.875301361083984,35.19850158691406,33.422969818115234,35.979312896728516
1972,39.74297332763672,34.695892333984375,39.98928451538086,29.697134017944336,34.56173324584961,39.19718551635742,38.71408462524414,36.22733688354492,29.424867630004883,33.803340911865234
1973,37.12117004394531,37.126129150390625,39.238525390625,33.262821197509766,34.70747756958008,37.695106506347656,37.863956451416016,35.970741271972656,32.43391418457031,34.07398986816406
1974,40.673397064208984,36.726993560791016,39.41934585571289,38.119937896728516,34.645809173583984,38.92395782470703,38.58797836303711,36.652687072753906,33.505516052246094,34.931854248046875
1975,41.012184143066406,36.406002044677734,39.96928405761719,34.958465576171875,36.167572021484375,39.25030517578125,35.58027648925781,36.912776947021484,36.41511917114258,36.62447738647461
1976,41.81179428100586,38.94343566894531,40.21493148803711,37.86313247680664,35.7172737121582,37.012298583984375,39.868797302246094,35.98760986328125,36.694759368896484,35.45866012573242
1977,42.1091423034668,38.453819274902344,38.96131134033203,38.05433654785156,34.88462829589844,37.415279388427734,38.52400207519531,34.87610626220703,37.39897537231445,34.678733825683594
1978,43.11384582519531,39.026729583740234,42.44095230102539,41.0284423828125,37.0447883605957,38.72323989868164,41.936614990234375,35.303138732910156,38.020606994628906,37.282066345214844
1979,43.4062614440918,41.164772033691406,42.64845275878906,40.06914520263672,35.37671661376953,39.263427734375,40.261722564697266,36.20744705200195,38.35813522338867,36.51469039916992
1980,43.55513381958008,40.754417419433594,41.766414642333984,40.163780212402344,34.91297912597656,37.37731170654297,39.9409065246582,35.70487976074219,37.69548416137695,35.918094635009766
1981,41.57820510864258,37.59177017211914,37.96021270751953,39.21015548706055,33.9951171875,37.09321212768555,35.24433517456055,32.57777786254883,36.250057220458984,34.24039840698242
1982,42.4420280456543,35.81889724731445,36.01420593261719,29.92924690246582,32.420772552490234,38.109130859375,34.7739143371582,32.3127555847168,35.80286407470703,33.578369140625
1983,41.369930267333984,38.94063949584961,39.092716217041016,32.87846374511719,33.45790100097656,36.94569778442383,38.28493118286133,34.9709587097168,36.66838073730469,35.3236083984375
1984,43.57851791381836,37.43243408203125,40.57023620605469,40.190250396728516,35.4666862487793,39.68157958984375,39.62624740600586,34.32832336425781,31.990568161010742,36.26152801513672
1985,43.2333984375,36.18614196777344,39.80794143676758,35.70033645629883,34.132911682128906,35.821754455566406,36.37497329711914,35.40250778198242,34.52488327026367,35.21056365966797
1986,41.73664474487305,35.308170318603516,39.280094146728516,33.06952667236328,33.66275405883789,34.6477165222168,35.274566650390625,36.3026237487793,35.219356536865234,31.616413116455078
1987,41.6539421081543,37.22909164428711,32.850730895996094,34.28567886352539,33.48628234863281,35.271484375,33.287052154541016,30.24903678894043,35.257930755615234,31.689048767089844
1988,39.792503356933594,37.26008224487305,40.70477294921875,37.051971435546875,33.72999954223633,36.11548614501953,35.99534606933594,35.27419662475586,34.471797943115234,33.12107849121094
1989,39.916778564453125,37.262874603271484,39.10289764404297,34.90787887573242,33.77566146850586,35.117610931396484,36.89533996582031,35.25690460205078,34.93790054321289,32.209449768066406
1990,42.52271270751953,37.59114074707031,40.18224334716797,36.98601531982422,35.389678955078125,38.16411590576172,37.81943130493164,34.842201232910156,37.220916748046875,34.46382141113281
1991,41.95476150512695,38.72200393676758,39.91079330444336,37.86518478393555,34.447509765625,37.973148345947266,39.07680892944336,36.83281707763672,32.63442611694336,34.73247528076172
1992,39.54146194458008,33.533023834228516,36.21399688720703,35.471221923828125,33.607234954833984,35.40745544433594,39.202754974365234,11.786725997924805,33.447689056396484,21.458635330200195
1993,41.2630615234375,37.839412689208984,40.07535171508789,17.427486419677734,35.963626861572266,29.84357261657715,34.32028579711914,30.285106658935547,29.322477340698242,30.02273941040039
1994,43.092262268066406,40.003753662109375,42.211631774902344,39.92585754394531,37.300228118896484,33.84425735473633,38.577205657958984,36.72484588623047,38.37179946899414,36.2769660949707
1995,42.160247802734375,40.23893356323242,41.92131042480469,37.03661346435547,37.33885955810547,30.168468475341797,38.44031524658203,35.07088088989258,37.90055847167969,35.989505767822266
1996,40.69035339355469,39.150882720947266,38.33195114135742,31.45553970336914,35.703453063964844,31.143966674804688,36.30435562133789,32.22736740112305,36.46271514892578,28.829654693603516
1997,43.28785705566406,40.52055740356445,42.51946258544922,39.416046142578125,36.083595275878906,34.80271530151367,40.02070236206055,36.36503601074219,36.37165832519531,36.716243743896484
1998,42.329750061035156,39.19795608520508,41.12875747680664,39.15717315673828,35.54020690917969,29.555805206298828,39.12294387817383,36.041831970214844,36.10467529296875,34.42607879638672
1999,40.902767181396484,39.24105453491211,39.20683288574219,36.90190124511719,33.821163177490234,26.030027389526367,35.62907409667969,31.31409454345703,34.20155334472656,35.74103927612305
2000,41.36048126220703,40.27643966674805,39.03695297241211,37.78192901611328,34.476924896240234,31.055192947387695,34.25004196166992,33.93164825439453,29.60983657836914,35.10946273803711
2001,42.65443801879883,38.732765197753906,39.688201904296875,38.407203674316406,33.949825286865234,27.703140258789062,38.351722717285156,31.508163452148438,26.969406127929688,35.378273010253906
2002,41.351776123046875,39.25709533691406,41.5614128112793,39.16387176513672,34.19614028930664,30.438343048095703,37.18739700317383,33.23389434814453,30.003192901611328,35.89389419555664
2003,41.78214645385742,38.4043083190918,40.72980499267578,38.46067428588867,35.8484992980957,32.656044006347656,38.33974075317383,34.7348747253418,29.975683212280273,30.428478240966797
2004,41.22583770751953,41.66624069213867,43.64762878417969,40.407264709472656,35.65922927856445,34.797664642333984,39.24103927612305,36.01652145385742,32.85580062866211,37.09730911254883
2005,39.59251403808594,42.37501525878906,44.294368743896484,38.5516242980957,36.27603530883789,32.82279586791992,37.74190902709961,37.7797737121582,36.094051361083984,36.08155822753906
2006,41.2318115234375,41.25898742675781,40.002315521240234,38.580989837646484,36.55202865600586,35.96844482421875,38.38666915893555,36.30351257324219,29.37156867980957,36.16401672363281
2007,41.72672653198242,41.120826721191406,40.762264251708984,38.769287109375,36.50675582885742,37.16219711303711,39.09049987792969,36.85205841064453,33.482357025146484,35.8966178894043
2008,41.80542755126953,40.827823638916016,42.07481002807617,37.85618591308594,35.5023078918457,34.559913635253906,39.48894119262695,35.793067932128906,32.479469299316406,36.09857177734375
2009,41.010009765625,40.17784118652344,41.76808547973633,37.569759368896484,35.99333953857422,33.2862434387207,38.680450439453125,34.5623664855957,37.67116165161133,35.20815658569336
2010,43.35783386230469,40.760921478271484,43.562843322753906,37.54972457885742,37.16587829589844,34.79165267944336,38.95568084716797,36.779541015625,37.21234130859375,36.8880615234375
2011,42.945640563964844,40.87803268432617,43.264556884765625,36.582462310791016,35.64780044555664,33.664100646972656,40.480472564697266,38.95029067993164,34.127159118652344,37.90335464477539
2012,42.723114013671875,40.96957778930664,42.241355895996094,38.34714126586914,36.400142669677734,35.00270462036133,39.899131774902344,38.09128952026367,37.768314361572266,37.48015213012695
