year,AOIARBIL01_,AOIARBIL02_,AOIARBIL04_,AOIARBIL06_,AOIARBIL07_,AOIARBIL10_,AOIARBIL11_,AOIARBIL13_,AOIARBIL14_,AOIARBIL16_
1835,0,0,0,2.8110158443450928
1836,0,0,0,2.6723554134368896
1837,0,0,0,1.843603253364563
1838,0,0,0,1.5674327611923218
1839,0,0,0,2.7285215854644775
1840,0,0,0,2.379786491394043
1841,0,0,0,1.5216678380966187,0,0,0,0,0.98359614610672
1842,0,0,0,4.104790687561035,0,0,0,0,2.679241418838501
1843,0,0,0,2.2316091060638428,0,0,0,0,1.6126463413238525
1844,0,0.18788205087184906,1.2302964925765991,2.1191494464874268,0,0,0,0,2.11010479927063
1845,0,2.7242329120635986,5.397823810577393,4.153246879577637,0,0,0,0,3.9061338901519775
1846,0,1.2702326774597168,1.4898639917373657,1.8906179666519165,0,0,0,0,1.7478289604187012
1847,0,0.8282583355903625,2.522045612335205,1.749428391456604,0,0,0,0,2.5917272567749023
1848,0,1.0830702781677246,1.7346278429031372,1.7882243394851685,0,0,0,0,1.8590431213378906
1849,0,1.9517356157302856,3.1680092811584473,2.316755771636963,0,0,0,0,3.3083927631378174
1850,0,2.927320718765259,2.5810208320617676,1.8190513849258423,0,0,0,0,2.9853179454803467
1851,0,2.325862407684326,2.442284345626831,2.1410794258117676,0,0,0,0.7947610020637512,2.8280913829803467
1852,0,3.909724473953247,2.595053195953369,2.315680742263794,0.9969257116317749,0,0,1.914100170135498,3.4124791622161865
1853,1.2896506786346436,3.721248149871826,2.7838497161865234,2.1892101764678955,2.163865089416504,0,0,1.3535617589950562,2.5560059547424316,1.2943427562713623
1854,3.915623903274536,5.457306861877441,3.1747217178344727,2.5823206901550293,3.2426130771636963,0,0,2.181922197341919,2.8772201538085938,2.017301559448242
1855,2.343574285507202,3.3699791431427,2.22365140914917,1.7508814334869385,2.3874354362487793,0,0,1.7722282409667969,2.6502492427825928,1.451743483543396
1856,0.3355952501296997,1.8523077964782715,1.8117815256118774,1.0549647808074951,1.0293660163879395,0,0,1.7090486288070679,1.3500077724456787,0.5237306356430054
1857,0.43671709299087524,2.3534207344055176,1.3857600688934326,1.3165451288223267,0.5661960244178772,0,0,2.3575806617736816,1.9532742500305176,0.864824652671814
1858,0.8885427117347717,3.5142199993133545,2.251718282699585,2.080902338027954,1.0817028284072876,0,0,3.30182147026062,2.8452916145324707,2.2207934856414795
1859,1.0143753290176392,1.871895670890808,0.9668539762496948,1.1988545656204224,0.992656409740448,0,1.0976804494857788,2.3527934551239014,1.1760128736495972,1.2012215852737427
1860,1.4227677583694458,1.7249934673309326,1.4334856271743774,1.5920047760009766,0.6970208287239075,0,1.4280595779418945,2.4239532947540283,1.403293490409851,1.5537320375442505
1861,2.1508169174194336,2.14327073097229,2.247931718826294,2.653310537338257,1.5457473993301392,0,2.3674747943878174,2.969743251800537,1.8904763460159302,2.6364924907684326
1862,3.1366357803344727,1.2657371759414673,2.1405293941497803,1.8224852085113525,1.308133840560913,0,1.746208906173706,3.0548722743988037,1.1921430826187134,2.800461530685425
1863,3.1200573444366455,1.6969703435897827,2.905125141143799,2.597569227218628,1.473433017730713,0,1.8859014511108398,2.9649927616119385,1.5699173212051392,2.7151286602020264
1864,1.8964791297912598,0.7373030781745911,1.4587061405181885,1.0505824089050293,0.6149893403053284,0,1.1397314071655273,0.9239137768745422,0.743793785572052,1.2421551942825317
1865,1.5360051393508911,0.7913466691970825,2.39732027053833,1.6099201440811157,0.9771777391433716,0.8374565243721008,1.2863693237304688,1.0822901725769043,1.1762876510620117,1.2625720500946045
1866,1.8348498344421387,0.8297454714775085,1.8795536756515503,2.3368146419525146,2.368927478790283,1.21849524974823,0.8488468527793884,1.189721941947937,2.5374135971069336,1.495253324508667
1867,1.5722800493240356,1.3069186210632324,1.3189668655395508,1.5318231582641602,2.6731700897216797,1.6302975416183472,0.8154194355010986,1.4993925094604492,1.7861202955245972,1.2830058336257935
1868,1.4866183996200562,1.497652292251587,1.1594672203063965,1.4759807586669922,2.781115770339966,0.9501285552978516,1.1115877628326416,1.3286573886871338,1.6781041622161865,1.8354580402374268
1869,2.0060243606567383,1.6551144123077393,1.3622052669525146,1.3382445573806763,1.703758716583252,1.0319786071777344,1.3564012050628662,1.4374363422393799,1.6643909215927124,1.0065586566925049
1870,3.538295030593872,2.0428671836853027,2.101565361022949,2.292677164077759,2.543229341506958,2.145064353942871,1.5709048509597778,3.0283122062683105,2.1884946823120117,2.549896717071533
1871,2.882993221282959,1.1624382734298706,1.5458225011825562,1.6231178045272827,1.722390055656433,1.0427498817443848,1.7739369869232178,2.1216089725494385,1.6263186931610107,2.2846460342407227
1872,2.2539381980895996,0.8540066480636597,1.3156425952911377,2.3185441493988037,1.7338515520095825,0.7618733048439026,1.9037901163101196,2.591248035430908,1.1730369329452515,1.788581371307373
1873,3.9849491119384766,2.7509090900421143,2.1041057109832764,2.9208059310913086,2.602034091949463,1.6592445373535156,2.313476800918579,4.149285316467285,1.0692944526672363,2.617915391921997
1874,3.621049165725708,1.5999667644500732,2.7178966999053955,1.3885537385940552,1.9610379934310913,2.12395977973938,3.1772255897521973,3.4799888134002686,0.6303825378417969,1.7388163805007935
1875,4.91232442855835,1.2396188974380493,2.9060614109039307,1.5702402591705322,2.3107523918151855,2.6465744972229004,3.367607831954956,3.911273241043091,1.1893069744110107,2.050283432006836
1876,4.0566630363464355,1.9785234928131104,2.5951173305511475,1.4294180870056152,2.7887580394744873,2.113323211669922,4.028111934661865,2.5327959060668945,1.1723573207855225,1.364862084388733
1877,2.5920462608337402,1.511950135231018,2.601639747619629,1.5078423023223877,2.159184217453003,1.3284542560577393,3.1100611686706543,1.6238504648208618,1.5654131174087524,1.5802162885665894
1878,2.134413242340088,1.776635766029358,3.0241403579711914,1.459418535232544,2.2659342288970947,1.152398705482483,2.084336280822754,1.448923110961914,1.4325816631317139,1.6959165334701538
1879,2.1721339225769043,2.165689706802368,2.341757297515869,1.71864914894104,1.5921646356582642,1.5400018692016602,2.5898351669311523,1.826206088066101,1.6976337432861328,2.061509370803833
1880,4.18679666519165,2.532345771789551,4.845288276672363,2.307056188583374,2.014930009841919,2.0768322944641113,4.210499286651611,3.13020658493042,2.8829097747802734,2.6314780712127686
1881,2.274049758911133,2.0930111408233643,3.7896811962127686,1.6115525960922241,2.154745578765869,1.7712959051132202,2.991626739501953,2.2767250537872314,2.912674903869629,2.167139768600464
1882,1.9656866788864136,2.0424253940582275,3.048635244369507,1.2743245363235474,1.7467937469482422,2.0480875968933105,2.453765392303467,1.8745862245559692,2.2132272720336914,1.7771278619766235
1883,2.149136543273926,1.2968791723251343,1.9273563623428345,1.5395870208740234,1.3684778213500977,1.7860385179519653,2.0401999950408936,2.463925838470459,1.9728697538375854,1.5435988903045654
1884,2.6152799129486084,1.51500403881073,2.505753993988037,1.758667230606079,1.8124022483825684,1.8632341623306274,2.5887064933776855,2.6712937355041504,2.2457659244537354,1.6631691455841064
1885,2.600627899169922,1.9093033075332642,2.6761038303375244,2.135547637939453,1.9205060005187988,1.9013638496398926,2.1196534633636475,2.5124669075012207,2.5559632778167725,1.946630597114563
1886,1.6678924560546875,0.5712191462516785,0.9784992337226868,0.924760639667511,1.1268268823623657,1.686680555343628,1.417185664176941,1.4780884981155396,1.017701268196106,0.9986270666122437
1887,3.1251702308654785,1.226661205291748,1.1478767395019531,1.215498447418213,1.0826544761657715,2.338010787963867,1.6524044275283813,1.9392518997192383,1.3667219877243042,0.9883647561073303
1888,3.9559826850891113,1.6317657232284546,1.9319216012954712,1.9456309080123901,1.9454094171524048,3.2247612476348877,2.191488742828369,3.498568296432495,2.246548652648926,1.9281340837478638
1889,2.3813769817352295,1.2089464664459229,1.481806993484497,1.4069678783416748,1.4900637865066528,2.206165075302124,1.767142415046692,2.752410650253296,1.7596471309661865,1.3607990741729736
1890,1.4141050577163696,0.6915141344070435,1.1134381294250488,0.714134931564331,1.3026149272918701,1.4498474597930908,1.0765620470046997,1.3744542598724365,0.7717572450637817,0.9409908056259155
1891,3.5094993114471436,1.358818769454956,2.1502480506896973,2.1685097217559814,2.465514898300171,2.4851245880126953,1.8933298587799072,3.325803518295288,2.1513254642486572,2.0249452590942383
1892,2.647862434387207,0.627169668674469,1.995925784111023,1.3883552551269531,1.8812921047210693,2.170013189315796,1.2976856231689453,2.388951301574707,1.246170997619629,0.8962948322296143
1893,1.8848499059677124,0.4520126283168793,1.0319750308990479,0.4798048138618469,1.0817537307739258,0.890036940574646,1.023371696472168,1.0598763227462769,0.4786577522754669,0.35671940445899963
1894,3.6953983306884766,1.4535192251205444,5.718282222747803,1.7065739631652832,2.503448009490967,2.8491854667663574,2.65116286277771,3.5820772647857666,1.009595513343811,1.4399446249008179
1895,2.527791976928711,1.0940172672271729,2.0912933349609375,1.1927896738052368,1.372401237487793,2.2466719150543213,1.9268805980682373,1.7257298231124878,1.1341949701309204,1.3400022983551025
1896,1.7620352506637573,0.562729001045227,1.6205965280532837,0.7589492797851562,0.9477301239967346,1.2396509647369385,1.27708101272583,0.8220512270927429,0.6955428719520569,0.935271680355072
1897,2.018486738204956,0.9576637148857117,2.1347320079803467,1.013127326965332,1.2534222602844238,1.6332951784133911,1.696075677871704,0.8705798387527466,1.2566908597946167,1.5478625297546387
1898,2.8493030071258545,1.4222036600112915,2.285606861114502,1.1048367023468018,1.9197633266448975,2.4674198627471924,1.8672370910644531,1.3671172857284546,1.6907374858856201,2.0847485065460205
1899,1.2592295408248901,0.7780272364616394,1.2171595096588135,0.33279353380203247,0.9312577247619629,1.5156980752944946,1.005812406539917,0.8287820219993591,1.1332889795303345,1.1783716678619385
1900,3.438974142074585,1.7038170099258423,2.1039655208587646,0.7534090280532837,1.3827265501022339,2.2384939193725586,2.2222461700439453,1.991228461265564,1.399706482887268,2.251497268676758
1901,3.068439483642578,1.4336546659469604,2.5385353565216064,0.8593603372573853,1.547271490097046,2.9881389141082764,2.161447286605835,1.9603567123413086,1.2804991006851196,2.261705160140991
1902,5.458177089691162,2.274731397628784,5.121077537536621,1.1118378639221191,2.8061182498931885,3.6636948585510254,2.3075835704803467,3.3866851329803467,2.510737657546997,3.1867282390594482
1903,3.947897434234619,1.3060767650604248,2.6264121532440186,0.8385688662528992,1.7024853229522705,2.3183045387268066,1.3397808074951172,3.474677562713623,1.8961540460586548,1.6532275676727295
1904,2.9400887489318848,2.116605520248413,3.118572235107422,0.938844621181488,1.7554423809051514,2.0838277339935303,2.065770149230957,2.8942861557006836,2.540081739425659,2.18841552734375
1905,0.8979079127311707,0.7147762775421143,1.0393484830856323,0.48713910579681396,0.6969064474105835,1.0168230533599854,0.9809608459472656,0.8006510734558105,1.1427444219589233,0.5949859023094177
1906,2.055915355682373,1.425027847290039,1.6145601272583008,0.9479145407676697,1.3341119289398193,1.838888168334961,1.5721479654312134,1.7747502326965332,1.793410301208496,1.375397801399231
1907,3.556551694869995,2.0949084758758545,5.5676727294921875,1.2982115745544434,1.8802820444107056,2.592907667160034,2.3760440349578857,3.019221782684326,2.130636692047119,2.293748617172241
1908,2.250669479370117,1.8435133695602417,3.169257640838623,0.7782011032104492,1.1921651363372803,1.762377381324768,1.8081849813461304,2.048590660095215,1.7069036960601807,1.4378544092178345
1909,1.778132677078247,0.7592094540596008,0.8565031886100769,0.3237539827823639,0.7430660128593445,1.5000202655792236,1.1249103546142578,0.8417484164237976,1.2536169290542603,0.6228649020195007
1910,2.249089241027832,0.9160212278366089,1.4858827590942383,0.3976737856864929,1.191239356994629,1.5653014183044434,1.2150795459747314,1.1089831590652466,1.2631233930587769,1.0901885032653809
1911,3.6820526123046875,2.423556327819824,1.59674870967865,1.0907574892044067,1.6176841259002686,2.0426948070526123,2.2258195877075195,2.1270759105682373,1.884678840637207,1.5268511772155762
1912,3.074472188949585,1.9927570819854736,2.8633577823638916,0.7505577206611633,1.7685576677322388,1.9269065856933594,2.1542434692382812,1.5284638404846191,2.3090410232543945,1.9116421937942505
1913,1.4340521097183228,1.452434778213501,1.3331114053726196,0.48375028371810913,0.9557581543922424,1.9966899156570435,1.7101789712905884,0.8564239144325256,2.1923956871032715,1.1005414724349976
1914,3.623732089996338,2.9315710067749023,3.214719533920288,1.4252876043319702,1.6616132259368896,2.254429578781128,2.5042147636413574,2.071279525756836,3.2012939453125,1.2629117965698242
1915,3.174389362335205,1.784108281135559,4.043083190917969,0.9304062128067017,1.4717415571212769,2.0447208881378174,1.621637225151062,1.56216299533844,2.3380205631256104,1.0915625095367432
1916,3.873995780944824,2.9628067016601562,4.019071578979492,1.034581184387207,1.6382378339767456,1.7527093887329102,2.6064651012420654,2.2825276851654053,2.7430593967437744,2.2972521781921387
1917,2.5792996883392334,1.9651843309402466,1.8836760520935059,0.680176854133606,1.1506304740905762,2.5019798278808594,1.8924204111099243,1.9926849603652954,2.024256467819214,1.5120888948440552
1918,3.404531955718994,2.3064217567443848,2.5887272357940674,1.0414791107177734,1.4080305099487305,2.7155981063842773,2.3811089992523193,2.7073400020599365,3.4617931842803955,2.402094602584839
1919,2.3650777339935303,1.2714310884475708,2.5393900871276855,0.6029112935066223,1.1492589712142944,1.7717453241348267,1.3612279891967773,1.410614013671875,1.9585468769073486,0.7550707459449768
1920,2.3423144817352295,1.2995047569274902,2.375807046890259,0.5927926301956177,1.193410873413086,1.1380630731582642,1.4067168235778809,1.401240587234497,1.8855913877487183,1.4468591213226318
1921,1.955735445022583,0.6701419353485107,0.6054289937019348,0.15488573908805847,0.6809561252593994,1.0959919691085815,0.7057493329048157,0.7776070833206177,0.6881346106529236,0.48911118507385254
1922,2.7573487758636475,1.3108214139938354,1.5578166246414185,0.6399632096290588,1.3890575170516968,1.5915420055389404,1.0666853189468384,1.6647948026657104,1.8193132877349854,1.0753452777862549
1923,5.511345386505127,1.853365182876587,3.3678743839263916,1.05329167842865,1.5748738050460815,1.9476908445358276,1.9616477489471436,2.7294890880584717,2.3053345680236816,1.360640048980713
1924,4.449928283691406,1.9121993780136108,4.256412029266357,1.1483765840530396,1.632483720779419,1.6683447360992432,1.9888077974319458,2.2058722972869873,1.7950998544692993,2.3748574256896973
1925,4.9262213706970215,1.9421247243881226,5.219986438751221,1.0126079320907593,1.7453789710998535,1.6910661458969116,2.052114725112915,2.2909746170043945,1.5155558586120605,2.0724844932556152
1926,3.1006360054016113,1.3074660301208496,2.782834053039551,0.7627071738243103,1.4202455282211304,1.9493688344955444,2.0539755821228027,1.6644327640533447,1.1936132907867432,1.4815385341644287
1927,3.250821352005005,1.2670855522155762,2.516808032989502,0.7982359528541565,1.4139200448989868,1.7772201299667358,1.6376173496246338,1.721072793006897,1.2215932607650757,1.7010488510131836
1928,4.108712673187256,1.0287786722183228,2.2282729148864746,1.0610675811767578,1.7658170461654663,2.111473560333252,1.818410038948059,2.1703014373779297,1.2939051389694214,1.5661782026290894
1929,5.242572784423828,1.769540786743164,4.127073287963867,1.3814505338668823,2.056756019592285,3.5044846534729004,2.6918561458587646,3.7600862979888916,2.5281808376312256,2.380138397216797
1930,3.9629812240600586,1.4545786380767822,3.16662335395813,1.570363998413086,2.032118082046509,2.3740551471710205,2.1934597492218018,3.6128833293914795,1.8780452013015747,1.8025612831115723
1931,5.294321537017822,1.5064125061035156,3.3534395694732666,1.3292324542999268,2.182621955871582,1.9938355684280396,2.9224061965942383,3.109926462173462,2.2012224197387695,2.454495906829834
1932,6.0088419914245605,1.391052484512329,3.445946455001831,1.606555700302124,1.8223145008087158,1.9109652042388916,2.269007682800293,4.012259006500244,1.9642677307128906,2.7126824855804443
1933,4.742104530334473,1.326303243637085,2.9483883380889893,0.9713405966758728,1.626062035560608,1.1152318716049194,1.9388384819030762,2.6978297233581543,2.0235471725463867,2.1379575729370117
1934,2.3362159729003906,0.9479773640632629,1.6359148025512695,0.6663746237754822,1.1396609544754028,1.0392632484436035,1.5802360773086548,1.9504683017730713,1.2867114543914795,1.3768285512924194
1935,3.8355753421783447,2.081739664077759,3.5706396102905273,1.4108303785324097,2.2703871726989746,1.336893916130066,3.081660032272339,2.5816824436187744,1.9531080722808838,2.425875186920166
1936,2.0693840980529785,0.6664960384368896,2.196300506591797,0.8159359097480774,1.0525853633880615,1.0348559617996216,2.1443474292755127,0.6738804578781128,0.9657535552978516,1.089485764503479
1937,3.274068593978882,1.4441688060760498,3.1467888355255127,1.1127246618270874,1.6156384944915771,1.2998424768447876,2.5058445930480957,1.6690552234649658,1.1653752326965332,1.9492603540420532
1938,3.2772679328918457,1.3539719581604004,3.062833786010742,0.7024627327919006,1.6058099269866943,1.0980291366577148,2.042543888092041,1.362702488899231,1.1548855304718018,2.28739070892334
1939,3.8350772857666016,1.7959868907928467,3.8778350353240967,1.2587244510650635,2.1402695178985596,1.9859670400619507,2.2346062660217285,3.107187271118164,2.4532711505889893,2.517486572265625
1940,3.5289595127105713,2.0885422229766846,3.8619656562805176,1.3651719093322754,3.167304754257202,3.0190815925598145,3.1452736854553223,4.747672080993652,2.4853129386901855,3.079007863998413
1941,4.5154008865356445,1.7394614219665527,3.31538724899292,1.490329384803772,3.010227680206299,2.2138407230377197,3.2925162315368652,4.556240558624268,1.961744785308838,3.8467907905578613
1942,2.931126832962036,1.4123632907867432,2.0091514587402344,1.1178529262542725,2.0435829162597656,2.0037167072296143,2.544065237045288,2.126746416091919,1.909895658493042,2.102734088897705
1943,3.7911672592163086,2.1433799266815186,2.6136059761047363,1.4295611381530762,2.524308919906616,3.2149739265441895,3.3909194469451904,2.8629510402679443,1.179320216178894,2.804614543914795
1944,3.7266736030578613,2.231369972229004,3.1725552082061768,1.2344944477081299,3.0881426334381104,2.9032788276672363,3.5702741146087646,3.2976107597351074,0.7268418073654175,2.881108283996582
1945,3.3713085651397705,1.3235174417495728,2.015263080596924,0.47604769468307495,2.420889139175415,2.6258132457733154,2.20607852935791,2.2649903297424316,0.899284839630127,2.0771234035491943
1946,2.203742504119873,0.893240213394165,1.0994316339492798,1.130008578300476,1.8135253190994263,1.8657093048095703,1.5548776388168335,1.271847128868103,0.7473232746124268,1.0967458486557007
1947,3.8530402183532715,1.8070826530456543,2.5805704593658447,2.4427402019500732,2.256645679473877,2.5262064933776855,2.327164649963379,2.7467429637908936,1.6910462379455566,2.0828609466552734
1948,4.739087104797363,1.847074031829834,3.1542036533355713,2.394941568374634,2.406435251235962,2.3869664669036865,2.2247660160064697,2.776414155960083,1.7422279119491577,2.5081663131713867
