year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
1892,699.421875,155.109375,520.25,345.046875,507.8984375,600.0625,339.8515625,666.2734375,487.4921875,221.9296875
1893,510.9921875,100.7890625,264.03125,109.1875,284.9609375,237.296875,273.5703125,278.9453125,99.40625,79.96875
1894,1005.859375,396.078125,1472.21875,467.4140625,687.75,792.828125,708.796875,1008.9453125,518.328125,380.578125
1895,676.9921875,292.203125,561.7421875,319.71875,361.640625,613.203125,539.34375,483.3984375,357.7734375,355.3671875
1896,483.375,140.7734375,424.078125,189.25,239.1875,351.578125,349.6328125,207.7265625,214.0703125,243.1796875
1897,531.890625,265.1875,576.2578125,269.59375,343.4375,429.4296875,454.40625,228.4609375,366.171875,419.0390625
1898,780.1015625,377.9453125,626.859375,290.578125,521.5859375,693.7265625,507.5625,399.609375,481.0078125,546.2265625
1899,340.8203125,198.84375,300.4765625,78.6796875,234.2734375,421.6484375,270.765625,213.6796875,269.703125,314.671875
1900,934.8203125,464.640625,561.96875,202.8203125,364.6640625,644.7578125,630.625,595.7109375,463.0625,613.078125
1901,853.5390625,411.34375,673.0078125,225.546875,414.6015625,884.3984375,580.5859375,517.3984375,458.2421875,628.25
1902,1511.2890625,631.21875,1414.859375,291.265625,759.7734375,1014.7734375,673.9921875,958.375,664.390625,882.5078125
1903,1076.375,491.984375,674.0625,220.546875,459.2890625,619.359375,424.3828125,953.515625,495.6328125,474.7109375
1904,799.1875,681.2421875,842.734375,240.5078125,470.3515625,553.984375,602.4765625,812.59375,682.8828125,603.3671875
1905,224.5859375,173.6875,270.09375,119.3125,178.203125,254.5703125,229.0546875,208.4609375,286.8671875,142.578125
1906,531.3125,365.109375,436.90625,246.8984375,356.3125,492.375,443.640625,480.578125,460.171875,338.4453125
1907,983.890625,588.3125,1538.9609375,293.9296875,513.125,725.84375,682.1953125,825.2109375,587.1640625,664.40625
1908,559.015625,508.3359375,876.1953125,184.7734375,363.546875,525.5078125,526.921875,552.4609375,440.578125,404.171875
1909,451.265625,191.0234375,223.8828125,77.828125,184.6640625,435.203125,288.1796875,207.6015625,293.96875,162.6328125
1910,602.0234375,238.25,392.984375,91.9453125,310.0703125,421.3515625,312.9453125,288.390625,323.5390625,277.53125
1911,1063.1015625,652.4140625,419.828125,297.9609375,436.046875,540.8671875,711.0625,589.296875,490.1875,471.9765625
1912,852.859375,540.21875,745.8828125,195.875,487.40625,526.9453125,534.7890625,417.0625,608.765625,532.1875
1913,388.5390625,389.78125,354.9765625,124.25,255.9609375,469.8984375,457.0859375,218.7578125,596.671875,297.90625
1914,1003.6328125,859.515625,904.0078125,381.4375,491.6328125,595.6640625,704.1875,559.9140625,895.15625,555.265625
1915,873.8515625,550.2890625,1119.921875,248.0859375,413.3046875,561.5546875,456.6953125,418.5,634.3359375,283.625
1916,1064.875,846.9765625,1133.5234375,257,485.3125,515.2265625,735.4296875,619.3046875,753.6875,629.765625
1917,672.3359375,556.9375,511.71875,175.9609375,303.6015625,743.953125,549.9296875,516.46875,633.09375,438.1015625
1918,954.7109375,661.46875,701.546875,277.8671875,385.09375,768.59375,648.0078125,747.9921875,924.5703125,671.125
1919,657.8046875,370.8828125,689.640625,165.46875,326.453125,508.2421875,380.296875,373.9453125,533.9921875,197.4375
1920,656.921875,357.59375,653.484375,154.6953125,308.4296875,319.6484375,403.9921875,379.015625,503.4375,371.9921875
1921,537.4375,163.546875,142.6171875,29.6015625,180.59375,310.6875,183.296875,204.3515625,186.4609375,115.7421875
1922,801.8515625,312.0078125,398.265625,149.8984375,399.484375,440,315.3515625,453.9921875,488.453125,273.8046875
1923,1520.640625,496.9375,1001.8203125,310.8203125,435.140625,569.6015625,585.328125,734.046875,615.7890625,404.515625
1924,1223.8828125,522.0625,1186.1015625,297.9375,433.203125,459.9296875,561.109375,602.5234375,468.5234375,638.5859375
1925,1410.4921875,542.859375,1471.8125,289.1328125,497.2109375,464.3671875,566.8671875,632.5078125,390.7578125,580.8359375
1926,854.2109375,363.7890625,768.4609375,183.4375,427.9921875,485.0859375,578.7265625,435,327.09375,393.7734375
1927,902.953125,342.2734375,704.0859375,231.6015625,391.609375,477.78125,448.59375,459.3671875,338.1796875,424.546875
1928,1140.921875,252.4140625,577.8984375,301.84375,452.140625,572.7734375,460.8984375,596.3125,357.2109375,411.078125
1929,1476.1171875,461.5078125,1271.8046875,443.0078125,594.6171875,1038.0546875,794.421875,1031.2421875,718.2890625,630.921875
