year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1992,237.2318878173828,53.86631393432617,78.2013168334961,100.57444763183594,114.69488525390625,84.93663024902344,201.31024169921875,21.70399284362793,122.53052520751953,32.715694427490234
1993,361.4100341796875,115.69879150390625,177.0128631591797,46.86259460449219,160.62721252441406,174.44541931152344,202.00360107421875,57.40728759765625,78.75884246826172,55.53123092651367
1994,528.296630859375,167.11331176757812,272.21026611328125,277.1394958496094,270.0635986328125,212.61264038085938,353.70751953125,164.489501953125,254.69430541992188,153.68186950683594
1995,630.007080078125,155.1501007080078,265.347412109375,216.35052490234375,300.46502685546875,293.8421630859375,495.4995422363281,128.0381622314453,268.35498046875,147.43621826171875
1996,396.4903869628906,119.47216796875,92.05144500732422,75.58351135253906,224.90927124023438,201.17529296875,353.6898193359375,67.21906280517578,158.05099487304688,50.909332275390625
1997,728.647216796875,256.24395751953125,377.11090087890625,350.1539611816406,452.0738525390625,445.29107666015625,841.0809326171875,346.0917053222656,350.7791442871094,296.3990478515625
1998,474.1843566894531,158.93177795410156,183.88584899902344,204.92181396484375,341.3437805175781,453.9590148925781,682.6301879882812,381.4337158203125,265.4823913574219,103.0840072631836
1999,601.3310546875,239.3209991455078,295.7707214355469,275.53729248046875,368.1158142089844,502.7532958984375,777.5484008789062,445.4754943847656,338.65533447265625,216.77093505859375
2000,495.6434020996094,177.6813507080078,232.64984130859375,153.92242431640625,381.1293029785156,413.0101013183594,715.5729370117188,424.3551940917969,331.002685546875,139.912109375
2001,603.7431640625,136.07752990722656,185.35568237304688,188.9904022216797,288.9114685058594,483.9530029296875,548.171630859375,259.72052001953125,380.8687438964844,121.68000793457031
2002,478.887451171875,192.9241485595703,337.276611328125,248.20484924316406,260.7424011230469,329.1919250488281,548.46240234375,232.64785766601562,413.8070068359375,130.02847290039062
2003,447.1463928222656,155.96939086914062,231.5092010498047,202.58102416992188,290.2332763671875,268.73193359375,381.92138671875,187.78125,324.5094909667969,45.0581169128418
2004,551.593505859375,234.30799865722656,391.64825439453125,299.8646240234375,352.3677062988281,409.2558898925781,566.3267211914062,284.955810546875,441.8114318847656,204.78579711914062
2005,566.1593627929688,286.6691589355469,532.3912963867188,364.43017578125,534.5877685546875,396.212646484375,523.2985229492188,372.4129943847656,556.8748168945312,237.7626190185547
2006,518.8372192382812,167.14715576171875,291.1253662109375,279.66497802734375,324.9112548828125,348.64385986328125,519.907958984375,217.75189208984375,296.15142822265625,126.44051361083984
2007,521.9872436523438,205.72174072265625,337.9270935058594,268.44195556640625,356.81365966796875,400.56268310546875,581.3033447265625,190.0596160888672,420.9171142578125,177.85214233398438
2008,456.16534423828125,156.09593200683594,301.8995056152344,195.61477661132812,324.3475341796875,411.81915283203125,515.802978515625,197.8076934814453,242.76480102539062,153.41793823242188
