year,Ks*BIL01_,Ks*BIL02_,Ks*BIL04_,Ks*BIL06_,Ks*BIL07_,Ks*BIL10_,Ks*BIL11_,Ks*BIL13_,Ks*BIL14_,Ks*BIL16_
1835,0,0,0,0.0010468970487205386
1836,0,0,0,0.0022123807414343916
1837,0,0,0,0.002504291047306373
1838,0,0,0,0.002985340513100534
1839,0,0,0,0.0031031720580137253
1840,0,0,0,0.004646678282507343
1841,0,0,0,0.004790655628906169,0,0,0,0,0.0012942643195823652
1842,0,0,0,0.004460400488924986,0,0,0,0,0.0021274790693231954
1843,0,0,0,0.00389838336279207,0,0,0,0,0.0026784594557334694
1844,0,0.0010394240481927783,0.0020568620957605085,0.004267127724119966,0,0,0,0,0.002140546614230756
1845,0,0.0033982225783888197,0.004408739633740054,0.005200752886963787,0,0,0,0,0.0033034362255037197
1846,0,0.005479725146782949,0.006648300489917741,0.005007210836026951,0,0,0,0,0.004851579310370261
1847,0,0.003461950049467582,0.005559621086191868,0.003883254895952433,0,0,0,0,0.0036130894430333647
1848,0,0.004027786210225735,0.0047927885859976715,0.005729584727783609,0,0,0,0,0.004311206763223709
1849,0,0.003823986720174586,0.004109744777638965,0.005545994435226238,0,0,0,0,0.004819697630822243
1850,0,0.003302500255222714,0.004412275840608933,0.0047846423604322365,0,0,0,0,0.0030583715146777794
1851,0,0.003873553787743697,0.004022568204055534,0.005143852058361526,0,0,0,0.000758618186351301,0.002619036589922223
1852,0,0.0038685083607307748,0.004422419266154248,0.005668519005733661,0,0,0,0.0009885133676492768,0.003366481748600688
1853,0.004758007616381186,0.006220973384959378,0.006008346727808889,0.005276263857566256,0.0012512952015778052,0,0,0.002662322144546312,0.0050950484346824285,0.006141714929625785
1854,0.005715342489063231,0.006976509283843139,0.005592157668083617,0.005161027071485294,0.001369942147981229,0,0,0.0022507146734609645,0.0030143123361669345,0.004395743808004531
1855,0.0069737462301001476,0.006161579524917402,0.005925216670377564,0.004688379787864148,0.003161008366942447,0,0,0.0031660472695919746,0.0051421893287330826,0.005506024228197801
1856,0.002801158959733776,0.004187514695830067,0.004372561634917219,0.004792073481479959,0.0029677521720882965,0,0,0.0025413834462420983,0.0031211327341871035,0.004708850530229307
1857,0.0034501585911331386,0.0036014371225653492,0.0035999548873610963,0.005419772861757459,0.0026614946405272392,0,0,0.0019121332138594157,0.0039168580274794515,0.0035949011356984583
1858,0.004421656589956931,0.006272624840865446,0.0059947214212547565,0.006597200289699795,0.004105701120487289,0,0,0.0034365277815542215,0.005111798074601463,0.00594741714085837
1859,0.0034009105941618617,0.004186764367243854,0.005479657220102003,0.00394807339554515,0.0030938080828983787,0,0,0.0032192720238127625,0.00422817056428528,0.004493414807056877
1860,0.005103589896729763,0.006334377998512391,0.00754816951213063,0.006399566464857932,0.003955895445108973,0,0.003506100204385788,0.005318758499059884,0.006016785923128972,0.006353515070312883
1861,0.006397790547310994,0.006996353196673323,0.009276918198461747,0.007623662747718059,0.004476773687547483,0,0.005523103634716464,0.005696898354354272,0.0071016054078386045,0.005792292014500744
1862,0.0060578668729535596,0.004791384014038498,0.0074244059788200695,0.006304197371844365,0.005434149326865621,0,0.005505207591706224,0.005898569696076406,0.00613793178320762,0.0056225251370004194
1863,0.0066825385962304895,0.005359983486536301,0.009352336239624356,0.008143400097742632,0.0046193165737271535,0,0.006791975134851873,0.005232840398289206,0.007104406355479661,0.005575215148292539
1864,0.007749482716085346,0.005382426629356351,0.007850382877777196,0.005477834059446675,0.006255156525751088,0,0.0047064888829854825,0.005491799801794888,0.005308149814587732,0.005092997414146734
1865,0.006924866285681796,0.004829511103490317,0.008657786207980137,0.006623196501633808,0.0021605206713383486,0.0024013033475622256,0.0053951162251910465,0.0028826242214989345,0.002555794298458511,0.004656561143369157
1866,0.00745966503378926,0.005209381611792971,0.00867539659126071,0.0068537874896147395,0.0022936365869679525,0.006068263991526087,0.004887574562813041,0.0029678812932297472,0.0059500413632451975,0.005414304977475554
1867,0.007798468449171659,0.005367465999023866,0.008092735137029307,0.007207212353061559,0.001996076135194267,0.005573205772541343,0.004857153981408236,0.003242913919911265,0.006116326382960865,0.004842584929261598
1868,0.006576750145089859,0.005442547723885312,0.00821587882378949,0.008113125265395276,0.00369830466531451,0.00552646324992237,0.006125604246670578,0.004408428776456144,0.006538602138582367,0.006097212799997399
1869,0.007579486369660377,0.004629610138487399,0.00937669267716348,0.008508948595685165,0.003431443724375903,0.006404142289548986,0.006983966261920786,0.004334258265689314,0.009043265886746225,0.003755322315712666
1870,0.00828209040795707,0.005351558101343276,0.010887877742600974,0.009077872295489026,0.004059474399513052,0.0067809404554861966,0.006511411758301931,0.005265839380021363,0.008282491652219056,0.005313994532518578
1871,0.00901830899902548,0.004893724547575326,0.012589839697765462,0.010067533118131303,0.004919986383490902,0.00722897697179201,0.008094303259877946,0.005549228127389066,0.010292009848568377,0.007520368988168431
1872,0.007755257715429354,0.004011542558436566,0.01221614949827361,0.004048663486888882,0.0057614367589604865,0.005803975188409703,0.005752284087078858,0.005489458462860116,0.0066966277621830035,0.007005697037551017
1873,0.007887991115056078,0.004401469099591479,0.011106309686431644,0.006076156434975113,0.007887752398139823,0.005689075151745753,0.006264441684722058,0.006363811855567098,0.007402935505841622,0.007828412200356853
1874,0.007840214453371764,0.0031633821274999626,0.01004452790643986,0.006731793610883181,0.005503402583986617,0.005241735302920017,0.005450302561661238,0.006404707987101119,0.0064160720822085526,0.0077227506914052035
1875,0.012108221492293054,0.004648798114589948,0.013385586265575329,0.01086470684317319,0.008180055329561158,0.0069193489920499045,0.00886731099195793,0.00787934927558712,0.009932574325982583,0.01065622650567704
1876,0.010632319670096882,0.004163377892165212,0.009469150785162419,0.006498123722991793,0.0072821239476064965,0.005726007678237371,0.006724845881586966,0.006476308728360349,0.0062952604394120515,0.00659885200009926
1877,0.011410070637841413,0.004947557075933207,0.012522256777896118,0.009360541328873356,0.007957482690284233,0.0068654947845918435,0.0065898781993548846,0.007206773365249205,0.008121224243783762,0.008499761325141351
1878,0.010567623267871269,0.005043481868741168,0.011977147906457809,0.009535971114001247,0.008664003132301347,0.00729590371380103,0.007179189608529033,0.008239277588278474,0.010020489324289733,0.010142217132612978
1879,0.009337536931986253,0.004934791423401098,0.00964427333271775,0.011508062648840718,0.00876774356081426,0.007147461615484042,0.005927886858908696,0.007262381359005743,0.010632988377300577,0.010189133294793916
1880,0.01187463172257658,0.004960240715251061,0.01148123322562977,0.010276456098161038,0.007791735754299135,0.0067604530626378615,0.007315609341334901,0.007504257392393614,0.008744244570017117,0.008063819122558484
1881,0.0047789675288905965,0.006300780239490396,0.011444866241328195,0.011015070027153927,0.008008382068187572,0.00923476550545657,0.008930234569070274,0.007830552273446284,0.009717353894178823,0.008806366621068873
1882,0.008783796948038268,0.006175024214985186,0.00856484748947672,0.007596836534807393,0.005229918172589465,0.008212908255710801,0.007727816082339286,0.005953301895369322,0.006056474682488647,0.007052213321126352
1883,0.008186621615892781,0.00779912106019716,0.00923318674278019,0.011688944199550298,0.008182283154314851,0.008901490415377114,0.010269479334384279,0.007652026360765937,0.009267376488341132,0.008879260497920443
