year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1986,25.6332950592041,24.170940399169922,23.469144821166992,21.151142120361328,21.762653350830078,20.103233337402344,19.64958381652832,23.827743530273438,20.555179595947266,18.63153648376465
1987,27.15875816345215,23.34251594543457,24.963171005249023,19.88722801208496,22.230487823486328,18.27581024169922,20.24382972717285,23.314250946044922,21.091501235961914,20.19403076171875
1988,25.125856399536133,21.74689483642578,24.502574920654297,20.528705596923828,20.405790328979492,17.627578735351562,20.39107322692871,24.102317810058594,19.924331665039062,20.322004318237305
1989,26.326570510864258,24.093244552612305,23.81740379333496,21.729951858520508,20.930490493774414,18.65171241760254,20.87152671813965,23.659656524658203,21.803508758544922,23.5064697265625
1990,27.96466064453125,27.2340087890625,26.659055709838867,22.93412971496582,25.095251083374023,19.005754470825195,23.707225799560547,26.105022430419922,23.41269302368164,23.284358978271484
1991,27.0936222076416,26.953611373901367,25.64389419555664,21.117372512817383,22.697906494140625,19.22444725036621,22.66830062866211,25.91916275024414,21.903486251831055,23.59199333190918
1992,25.664146423339844,25.228378295898438,24.77361297607422,22.966365814208984,23.967763900756836,22.037858963012695,20.289091110229492,23.03247833251953,23.658740997314453,22.929136276245117
1993,26.02589225769043,26.14248275756836,25.8876953125,21.00015640258789,21.17202377319336,19.912843704223633,19.7403507232666,25.957019805908203,21.623638153076172,23.769908905029297
1994,27.519832611083984,26.607059478759766,27.206966400146484,23.353803634643555,23.390169143676758,18.695892333984375,23.64988899230957,25.83529281616211,22.4652099609375,24.541976928710938
1995,27.91408348083496,26.895172119140625,27.164892196655273,22.975833892822266,23.934598922729492,17.819591522216797,21.323139190673828,25.728662490844727,22.74811363220215,24.438199996948242
1996,27.54397964477539,27.366554260253906,28.55824089050293,24.961519241333008,24.1956844329834,19.610504150390625,22.672090530395508,24.880474090576172,24.14925765991211,24.394668579101562
1997,27.3369140625,27.10196304321289,27.064218521118164,23.869979858398438,23.017976760864258,18.00371742248535,21.637989044189453,24.08361053466797,21.380258560180664,23.774028778076172
1998,28.032161712646484,27.268056869506836,26.750141143798828,25.754823684692383,23.068998336791992,19.631481170654297,19.570539474487305,24.94760513305664,23.29798698425293,25.519859313964844
1999,26.35943031311035,25.95903968811035,23.513683319091797,21.974273681640625,19.68500328063965,18.135021209716797,20.096067428588867,21.723047256469727,20.445226669311523,24.053077697753906
2000,26.008752822875977,26.09690284729004,23.605785369873047,22.282455444335938,20.425434112548828,18.797412872314453,17.59847640991211,22.85087013244629,17.608108520507812,24.303974151611328
2001,26.327688217163086,26.530010223388672,25.4782657623291,23.91672134399414,21.197019577026367,16.933834075927734,20.038219451904297,21.894826889038086,17.277231216430664,25.565990447998047
2002,27.466182708740234,27.961666107177734,26.52651023864746,23.16426658630371,21.942716598510742,18.173551559448242,20.42461585998535,23.872085571289062,19.40053939819336,25.448196411132812
2003,26.810895919799805,28.112321853637695,27.70489501953125,23.52806282043457,22.22479820251465,18.127666473388672,20.677623748779297,25.429166793823242,19.79867172241211,25.42535972595215
2004,25.91876792907715,28.335500717163086,26.837474822998047,26.8686466217041,21.74842071533203,18.867815017700195,21.3594970703125,26.517841339111328,20.712566375732422,26.824617385864258
2005,25.254390716552734,27.8092098236084,28.75680923461914,21.997753143310547,22.540016174316406,18.30017852783203,21.345218658447266,29.703203201293945,23.88606834411621,26.01156234741211
2006,25.338090896606445,29.91330337524414,25.818008422851562,24.18822479248047,22.149608612060547,19.91060447692871,21.768213272094727,27.063636779785156,19.92633819580078,26.674617767333984
