year,TB2BIL01_,TB2BIL02_,TB2BIL04_,TB2BIL06_,TB2BIL07_,TB2BIL10_,TB2BIL11_,TB2BIL13_,TB2BIL14_,TB2BIL16_
1835,0,0,0,0.16355758905410767
1836,0,0,0,0.1162506565451622
1837,0,0,0,0.1170683205127716
1838,0,0,0,0.0982716977596283
1839,0,0,0,0.12932457029819489
1840,0,0,0,0.07990027964115143
1841,0,0,0,0.07860153913497925,0,0,0,0,0.1789829283952713
1842,0,0,0,0.09328368306159973,0,0,0,0,0.2005559802055359
1843,0,0,0,0.11748623102903366,0,0,0,0,0.15109458565711975
1844,0,0.3517996072769165,0.38155585527420044,0.15089353919029236,0,0,0,0,0.27218493819236755
1845,0,0.14405180513858795,0.15247368812561035,0.11157441884279251,0,0,0,0,0.1513424664735794
1846,0,0.07692185789346695,0.07082665711641312,0.08471385389566422,0,0,0,0,0.1019817590713501
1847,0,0.23554790019989014,0.12234564125537872,0.18729360401630402,0,0,0,0,0.1792757213115692
1848,0,0.1161046177148819,0.12017422914505005,0.0745634213089943,0,0,0,0,0.0984499379992485
1849,0,0.2755863666534424,0.22244291007518768,0.12260285019874573,0,0,0,0,0.1281304657459259
1850,0,0.2560862898826599,0.31106704473495483,0.3135577142238617,0,0,0,0,0.2251202017068863
1851,0,0.28577083349227905,0.264592707157135,0.15312518179416656,0,0,0,0.4029906690120697,0.21491241455078125
1852,0,0.5536463856697083,0.36717912554740906,0.34352344274520874,-999,0,0,0.6063334941864014,0.2701795995235443
1853,0.12520773708820343,0.08472096174955368,0.12458299845457077,0.1374889463186264,0.45457568764686584,0,0,0.1742364913225174,0.1011391207575798,0.07465913146734238
1854,0.1133253201842308,0.1209242045879364,0.276314914226532,0.3715747594833374,0.6166334748268127,0,0,0.19632799923419952,0.32583993673324585,0.17258678376674652
1855,0.12053009867668152,0.26635321974754333,0.19954074919223785,0.5290197730064392,0.7193761467933655,0,0,0.25626301765441895,0.17121031880378723,0.07024791091680527
1856,0.19636976718902588,0.2734372615814209,0.4193960428237915,0.494981974363327,0.8390645384788513,0,0,0.2814682722091675,0.34716421365737915,0.13173611462116241
1857,0.16382476687431335,0.4231445789337158,0.5921800136566162,0.3395257294178009,0.6259689331054688,0,0,0.37936705350875854,0.5123965740203857,0.27121731638908386
1858,0.16357919573783875,0.169154554605484,0.19682230055332184,0.3172447383403778,0.5143681764602661,0,0,0.25371426343917847,0.1957276314496994,0.09127458930015564
1859,0.3102976083755493,0.286633163690567,0.1279548704624176,0.43512046337127686,0.6286158561706543,0,-999,0.23445942997932434,0.2750260531902313,0.13933931291103363
1860,0.1672217696905136,0.19467581808567047,0.14616842567920685,0.2674337923526764,0.363547146320343,0,0.21942569315433502,0.1482745110988617,0.1882227659225464,0.13552473485469818
1861,0.053661588579416275,0.047493916004896164,0.07633183896541595,0.061199769377708435,0.22051402926445007,0,0.06424999237060547,0.06991597265005112,0.07165294140577316,0.0716661661863327
1862,0.16707037389278412,0.17335765063762665,0.20832397043704987,0.1784375011920929,0.3428162634372711,0,0.16870971024036407,0.23449015617370605,0.1536770612001419,0.15780168771743774
1863,0.06092213839292526,0.10509718209505081,0.07396779209375381,0.06189332529902458,0.19036929309368134,0,0.07727573066949844,0.08196524530649185,0.1046675369143486,0.06547142565250397
1864,0.14447776973247528,0.09138984978199005,0.0844692587852478,0.1720058172941208,0.07707101851701736,0,0.220398411154747,0.06304443627595901,0.11265331506729126,0.07676559686660767
1865,0.15011978149414062,0.2852919101715088,0.14877837896347046,0.2394976168870926,0.5449960231781006,0.1910688430070877,0.19605590403079987,0.5506022572517395,0.5544130206108093,0.1501658856868744
1866,0.1835087388753891,0.1430540829896927,0.17935813963413239,0.15278492867946625,0.6700435280799866,0.1008986160159111,0.20673692226409912,0.7844226360321045,0.29881954193115234,0.17013508081436157
1867,0.18030421435832977,0.2456871122121811,0.18062815070152283,0.28047075867652893,1.4283816814422607,0.09714698791503906,0.2909991145133972,0.723798394203186,0.22877179086208344,0.3082774877548218
1868,0.20295996963977814,0.1977655291557312,0.13389262557029724,0.09180580079555511,0.6540611386299133,0.08661043643951416,0.25180283188819885,0.484374463558197,0.1710241734981537,0.14873988926410675
1869,0.1462172269821167,0.26215478777885437,0.12969082593917847,0.14309164881706238,0.6067708134651184,0.12049015611410141,0.16366834938526154,0.39455458521842957,0.18506433069705963,0.1570623219013214
