year,cTSRBIL01_,cTSRBIL02_,cTSRBIL04_,cTSRBIL06_,cTSRBIL07_,cTSRBIL10_,cTSRBIL11_,cTSRBIL13_,cTSRBIL14_,cTSRBIL16_
1835,0,0,0,0.9451919198036194
1836,0,0,0,0.7798734903335571
1837,0,0,0,0.774372935295105
1838,0,0,0,0.7215701937675476
1839,0,0,0,0.7879431843757629
1840,0,0,0,0.6482993960380554
1841,0,0,0,0.6667938828468323,0,0,0,0,0.946052610874176
1842,0,0,0,0.6946795582771301,0,0,0,0,1.0176795721054077
1843,0,0,0,0.7872819304466248,0,0,0,0,0.8669087886810303
1844,0,1.4187155961990356,1.3897696733474731,0.8600910902023315,0,0,0,0,1.0978854894638062
1845,0,0.8771594166755676,0.8662787079811096,0.739173412322998,0,0,0,0,0.8691875338554382
1846,0,0.6594316363334656,0.6486631631851196,0.6936053037643433,0,0,0,0,0.7341188192367554
1847,0,1.1005637645721436,0.7421697378158569,0.9544653296470642,0,0,0,0,0.9328858852386475
1848,0,0.8503685593605042,0.8574310541152954,0.6675994396209717,0,0,0,0,0.7756065726280212
1849,0,1.095852255821228,1.068793535232544,0.7956748008728027,0,0,0,0,0.8034482002258301
1850,0,1.1550102233886719,1.109764814376831,1.1409229040145874,0,0,0,0,1.0346341133117676
1851,0,1.150802731513977,1.1564894914627075,0.8636228442192078,0,0,0,1.398009181022644,1.0807043313980103
1852,0,1.5207366943359375,1.2645223140716553,1.2144845724105835,-999,0,0,1.6933523416519165,1.1026889085769653
1853,0.8477734923362732,0.7019656300544739,0.8242603540420532,0.8495272397994995,1.5489320755004883,0,0,0.9446485638618469,0.7525288462638855,0.658920407295227
1854,0.749854564666748,0.7423974275588989,1.1208044290542603,1.2128878831863403,1.7201968431472778,0,0,0.9889533519744873,1.233603835105896,0.8863551020622253
1855,0.6823003888130188,0.9416646361351013,0.871737003326416,1.2747458219528198,1.665601372718811,0,0,1.0675207376480103,0.8386009931564331,0.552823543548584
1856,1.1181825399398804,1.1391087770462036,1.2965965270996094,1.5162559747695923,1.9576334953308105,0,0,1.1339870691299438,1.313749074935913,0.8534806370735168
1857,1.035468339920044,1.3665688037872314,1.5547131299972534,1.2275375127792358,1.8747323751449585,0,0,1.3654428720474243,1.484869360923767,1.0956717729568481
1858,0.8784770369529724,0.8578284382820129,0.8833253979682922,1.1714298725128174,1.5902541875839233,0,0,1.0926094055175781,0.9723005890846252,0.6948940753936768
1859,1.2306675910949707,1.1697238683700562,0.7113855481147766,1.4061000347137451,1.7443830966949463,0,-999,1.0645499229431152,1.1893876791000366,0.8407739400863647
1860,0.916128396987915,0.882532000541687,0.860358715057373,1.1113401651382446,1.4310846328735352,0,1.0633786916732788,0.8822618126869202,0.9321874976158142,0.7964585423469543
