;X1966.1990;X1967.1991;X1968.1992;X1969.1993;X1970.1994;X1971.1995;X1972.1996;X1973.1997;X1974.1998;X1975.1999;X1976.2000;X1977.2001;X1978.2002;X1979.2003;X1980.2004;X1981.2005;X1982.2006;X1983.2007;X1984.2008;X1985.2009;X1986.2010;X1987.2011;X1988.2012;X1989.2013;X1990.2014;X1991.2015
X3.curr.jun;-0.136855877;-0.083561613;-0.056295429;-0.011237544;-0.004947469;-0.1112034;-0.100368134;-0.110363995;-0.126568888;-0.012412228;0.034731033;0.15534982;0.195104585;0.0956895;0.061103946;0.153212752;0.09254163;0.241203357;0.243034681;0.250572331;0.265043304;0.377221073;0.353262591;0.295582639;0.31669069;0.304734359
X3.curr.jul;0.287664558;0.298824273;0.255494734;0.187634015;0.176737039;0.145278671;0.13632593;0.122784139;0.067234399;0.21487786;0.254690385;0.38015373;0.411347457;0.560532354;0.589742446;0.53174852;0.52353476;0.522920649;0.507746389;0.498952689;0.476708362;0.485486807;0.33557464;0.342211505;0.366141259;0.33623094
X3.curr.aug;0.06660176;0.106859099;0.106122947;0.093391135;0.090631819;-0.0056432;-0.001462645;-0.032908636;-0.069053177;0.092061199;0.146467364;0.313459441;0.363431894;0.429410468;0.417755951;0.466401597;0.427511794;0.563090057;0.54000186;0.542624327;0.538541413;0.628598659;0.501977356;0.472381056;0.499317812;0.466706791
X3.curr.sep;0.186118444;0.199666034;0.191331457;0.164508094;0.169004623;0.075761141;0.090149524;0.109521873;0.099575684;0.342438478;0.368580307;0.550476313;0.568356214;0.592353348;0.587730939;0.570855258;0.565271181;0.680884382;0.649393692;0.60782933;0.617075665;0.601166296;0.526707752;0.447944672;0.486678089;0.480695364
