Year,1,2,3,4,5,6,7,8,9,10,11,12
2014,-38.5,-32.7,-19.5,-10.1,-3.2,9.5,14,7.4,2.1,-12.8,-27.8,-24.6
2015,-33.5,-33,-22.5,-16.2,-4.7,8.2,12.6,8.3,2.8,-8.5,-19.6,-28.7
2016,-21.4,-29.2,-21.6,-13.6,-5.2,9.2,12.9,9,5.8,-8.3,-25,-37
2017,-27.8,-31.5,-15.2,-14.2,-6.5,7.8,11.8,7.9,1.2,-9.9,-26,-27.9
2018,-29.8,-28.2,-30.2,-14.6,-5.5,14,9.5,12.2,3.3,-4.2,-24.9,-23.8
2019,-31.8,-24.9,-18.2,-15.5,-5.9,11.2,12.5,15,3.7,-7.9,-22.6,-32.8
2020,-26.7,-20.4,-21.6,-6.9,0.5,12,12,13.7,7.6,-9.1,-13.1,-28.9
2021,-33.7,-35.4,-31.3,-13.8,-0.4,9.2,13.2,11.2,4.5,-8.6,-21.9,-30.2
2022,-25.3,-26,-23.4,-15.4,-1.6,9.2,12.6,9.9,1,-5.4,-26.3,-26.5
2023,-39.7,-28.3,-23.2,-17.7,-5.4,8.4,13.1,12.6,2.3,-8.3,-18.5,-26.3
