Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,-38.4,-29.3,-22.5,-10.6,5,11.4,17.5,9,0.4,-11,-18.5,-35.3
2002,-35.8,-39.4,-12.9,-9.3,3.4,14.4,14.4,12.9,4.5,-10.5,-23.7,-33.5
2003,-26.4,-31.9,-17.6,-11.9,3.4,11,16.9,11.2,7.3,-6.1,-24.1,-32.9
2004,-30.1,-36.4,-21,-10.7,3.2,14.4,13.3,12.3,4.6,-12.6,-26.8,-37.3
2005,-38,-37.8,-21.7,-12.3,2.6,15,15.4,11.9,2.7,-7.2,-21.9,-34.9
2006,-37.9,-31.7,-21.4,-18.9,2.5,11.1,14.1,11.7,4.9,-7.1,-11.7,-36.3
2007,-35.5,-28.8,-21.8,-10.7,5.3,15.7,17.3,13.4,4.5,-8.9,-19.8,-28.7
2008,-34.9,-30.3,-21.1,-14.4,4.1,10.4,11.8,12.1,4.7,-8.7,-22.1,-24.2
2009,-36.5,-38.1,-22.7,-12.6,5.5,10.9,11.6,9.2,3.5,-10.3,-27.7,-29.6
2010,-34.6,-33.9,-26.9,-15.8,6.6,14.3,18.1,9.8,5.7,-7.3,-19.9,-23.4
2011,-31.9,-34.7,-14.1,-9.2,-0.4,14,16,8.6,3.3,-11.6,-25.6,-35.5
2012,-30.7,-38.5,-23.5,-10,4.1,11.8,11.7,9,0.3,-5.5,-14,-27.2
2013,-33.2,-40.2,-20.9,-5.1,4.2,12.9,14.3,9.6,2.3,-16,-22.1,-21
2014,-35.7,-22.7,-20.7,-10.9,0.8,11.7,15.2,14,3.5,-5.3,-20.1,-35.7
2015,-28.3,-28.9,-24.7,-11.8,0.1,12.8,17.5,8.7,4,-7.8,-25.7,-37.3
2016,-33.5,-32.6,-23.6,-10.4,5.3,14.9,13.8,13.5,4.8,-2.5,-18.5,-22.3
2017,-33.5,-27,-14.8,-6.3,4.3,11.7,12.7,11.5,3.7,-8.2,-14.9,-27.9
2018,-27.9,-23.9,-25.9,-6,1.8,12.6,13.2,10,7,-7.2,-25.9,-35
2019,-32.7,-33,-23.5,-5.9,3.9,15.9,12.8,11.8,2.4,-9.2,-17,-29.9
2020,-31.1,-35.7,-18.1,-11.8,5.7,15.4,14.9,10.8,1.00,-10.4,-18,-30.9
2021,-36.8,-27,-25.7,-10.1,4.9,14.7,13.1,9.3,0.3,-14.2,-19.8,-33.6
