year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1758,1373.0625,1117.265625,1124.765625,1289.203125,147.2109375,1115.2265625,509.140625,284.6171875,793.53125,406.90625
1759,897.015625,1051.0625,1081.7265625,1446.390625,675.9609375,555.7890625,629.515625,206.0078125,611.734375,306.4375
1760,880.6015625,920.5859375,877.2109375,1317,728.7421875,556.5859375,513.765625,207.671875,510.4453125,332.984375
1761,784.75,843.9765625,998.15625,1278.3046875,655.21875,595.4921875,484.71875,250.734375,671.78125,428.8984375
1762,686.6953125,981.7109375,1039.8515625,1235.609375,715.5390625,582.953125,463.6171875,253.4765625,660.453125,358.671875
1763,674.265625,677.3828125,883.671875,1359.9375,644.3203125,-350.6015625,349.140625,276.9296875,729.7265625,267.296875
1764,602.6171875,596.7890625,740.4609375,1058.6953125,653.9453125,102.90625,411.796875,391.0625,709.125,285.4609375
1765,479.1875,741.6640625,909.765625,944.890625,623.4921875,700.1171875,342.2109375,499.734375,581.734375,309.0234375
1766,477.96875,635.4609375,730.703125,1039.7578125,764.046875,574.5703125,393.6328125,411.2421875,600.21875,229.75
1767,577.390625,675.640625,752.671875,891.6015625,648.765625,522.8359375,604.6640625,363.2265625,660.1640625,216.734375
1768,515.1640625,743.46875,836.21875,1260.890625,580.6875,583.453125,473.78125,433.75,806.5859375,225.484375
1769,644,312.28125,578.8671875,736.515625,483.7421875,428.5703125,690.1640625,335.1171875,716.6796875,321.34375
1770,648.484375,297.4375,678.2109375,1044.4140625,401.6171875,489.796875,661.765625,436.09375,710.078125,335.40625
1771,472.1328125,0,649.578125,776.875,324.2421875,441.625,926.2890625,350,612.84375,214.2109375
1772,722.7890625,0,708.0078125,1195.140625,165.921875,473.2109375,616.3515625,428.203125,495.34375,220
1773,433.921875,0,609.5390625,1022.5390625,258.7578125,434.6171875,747.6015625,377.3828125,468.28125,175.390625
1774,432.140625,77.4609375,770.25,932.2265625,181.3203125,660.828125,777.4453125,414.7421875,481.3359375,266.6875
1775,480.1015625,569.25,627.828125,677.3828125,187.171875,439.4765625,737.609375,418.046875,224.8828125,122.921875
1776,447.8359375,400.4921875,541.3984375,748.9453125,330.2578125,528.453125,703.671875,337.2734375,190.25,212.2109375
1777,544.6796875,572.7421875,761.2890625,929.3671875,499.8984375,562.03125,496.65625,-7.5078125,317.4375,210.609375
1778,770.5859375,550.3671875,771.25,833.0234375,372.765625,609.40625,576.125,351.328125,268.2578125,286.9296875
1779,600.34375,653.9453125,737.1796875,762.3203125,291.3359375,472.65625,566.1328125,225.8671875,274.6875,178.2578125
1780,611.9296875,738.1015625,976.8515625,914.2109375,406.2109375,792.6015625,623.5234375,211.296875,390.3515625,176.3203125
1781,534.5703125,540.5078125,707.21875,732.5,237.796875,742.59375,336.8125,143.65625,267.03125,130.375
1782,602.4765625,434.1484375,600.421875,627.78125,288.6015625,693.71875,265.4375,155.109375,391.8515625,214.109375
1783,539.546875,339.9609375,724.578125,691.78125,191.375,591.3515625,216.21875,117.6640625,410.0546875,185.7734375
1784,536.6328125,423.0625,949.921875,607.828125,93.7734375,693.171875,186.0390625,95.7890625,522.984375,233.65625
1785,490.296875,430.1015625,770.9921875,731.59375,211.109375,565.421875,172.3203125,187.8828125,615.671875,199.890625
1786,438.890625,350.21875,624.46875,618.40625,156.0859375,601.0078125,119.359375,93.671875,664.984375,220.546875
1787,220.296875,415.7265625,479.8046875,565.375,165.96875,327.4921875,95.0546875,156.859375,562.234375,132.5078125
1788,308.4375,474.3671875,677.5,595.453125,213.078125,527.2578125,82.1796875,136.0546875,600.1171875,188.9609375
1789,203.9921875,404.1484375,692.9609375,359.9921875,192.7578125,328.5546875,130.5,141.453125,637.265625,191.828125
1790,153.9453125,225.171875,284.4609375,400.5078125,122.6875,203.265625,49.6953125,63.796875,317.3203125,202.625
1791,282.2265625,261.5390625,488.5,462.109375,235.7421875,333.3046875,207.265625,131.2890625,308.59375,158.0703125
1792,255.9453125,379.578125,462.40625,575.1484375,211.890625,298.1484375,232.1328125,110.9453125,293.2578125,302.1171875
1793,242.1796875,321.484375,386.90625,583.9609375,203.40625,362.8359375,276.515625,117.53125,402.0390625,191.859375
1794,247.28125,594.734375,485.0546875,625.34375,185.9375,297.25,216.9609375,87.0859375,333.1171875,115.890625
1795,220.5703125,524.6484375,672.1171875,682.640625,180.546875,289.609375,292.6015625,107.3828125,289.90625,210.296875
1796,313.4375,593.1953125,658.2109375,421.25,209.25,274.28125,172.4453125,49.0390625,246.5859375,241.6171875
1797,393.0546875,435.359375,604.8359375,609.9609375,272.9375,327.03125,277.1484375,57.90625,209.921875,208.9296875
1798,334.6875,325.828125,547.6796875,438.0234375,213.7109375,386.7578125,229.484375,26.609375,319.453125,154.6875
1799,465.859375,597.6015625,971.703125,811.265625,267.7265625,383.125,209.171875,32.25,232.3203125,199.296875
1800,357.4453125,482.6796875,646.53125,466.234375,188.484375,256.703125,242.609375,67.609375,188.7578125,173.734375
1801,395.4296875,437.6796875,481.3515625,474.40625,179.3671875,419.125,313.625,65.8671875,333.140625,180.359375
1802,385.84375,516.546875,582.515625,475.8046875,164.0859375,317.1328125,235.0703125,38.0234375,248.140625,154.265625
1803,337.5078125,613.875,583.59375,385,140.15625,259.0703125,180.984375,17.140625,274.328125,149.3828125
1804,376.6640625,603.65625,795.2890625,332.984375,202.8515625,267.4765625,239.15625,6.6953125,323.2578125,183.40625
1805,382.03125,697.4140625,929.6015625,642.1640625,241.1953125,278.078125,301.421875,75.53125,211.3671875,182.9765625
1806,313.265625,213.203125,531.78125,289.984375,20.6015625,141.9140625,245.484375,73.359375,344.28125,86.6171875
1807,325.828125,407.203125,600.4921875,686.0234375,229.9765625,297.9765625,150.78125,-0.6796875,351.953125,131.7421875
1808,463.9140625,495.46875,632.875,725.3515625,240.046875,410.4765625,123.515625,60.1015625,191.03125,230.265625
1809,437.7265625,439.5625,692.3515625,604.1875,202.2734375,317.453125,244.8984375,108.28125,238.6171875,209.515625
1810,403.8984375,311.5546875,564.65625,414.1171875,181.5390625,233.765625,219.390625,35.7734375,339.453125,127.3046875
1811,351.34375,321.3671875,510.8828125,416.1015625,230.953125,285.34375,261.25,79.1875,300.7421875,168.4296875
1812,320.984375,306.4921875,542.6328125,599.953125,191.4375,139.5390625,341.9765625,37.9921875,267.9921875,131.7578125
1813,373.7734375,190.03125,550.7109375,559.8125,56.015625,34.921875,468.828125,30.4453125,221.984375,80.953125
1814,338.953125,354.8515625,468.40625,584.21875,201.3359375,313.7578125,416.21875,122.8828125,274.2890625,116.265625
