year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1749;438.7857056;377.6842957;552.802063;505.7704773;270.7960205;505.658905;363.448761;399.8721008;496.3744507;457.7017212;436.8894501
1750;404.3010559;382.8895874;526.8793335;505.7366638;261.4048157;471.227478;424.6801758;438.4085693;421.3286133;417.9215088;425.4777802
1751;465.2383423;331.1757507;534.7406006;479.9761963;281.1989136;314.0859375;393.6693115;440.1089783;372.1260376;445.2926636;405.7612732
1752;430.8812866;309.8690186;456.84729;466.310791;275.5163574;421.8099365;455.3284607;364.6242676;388.1296692;479.7861328;404.910321
1753;435.8663025;378.4494019;529.104126;582.7079468;318.9311523;450.0804443;562.6107178;387.8260803;419.68396;511.5626831;457.6822815
1754;296.6479187;468.7249451;543.0114746;627.8291016;351.8587952;382.7934875;555.1134644;395.9928284;505.5158081;454.7721558;458.2259979
1755;415.5021362;0;502.3457947;540.5813599;363.7778015;394.5990295;490.6589966;334.5940857;0;464.6750183;350.6734222
1756;470.897644;0;501.8104248;633.0044556;0;512.9577026;598.8406372;339.2074585;0;476.6044312;353.3322754
1757;552.8411865;388.2276001;504.7346802;0;350.2466125;430.3340149;530.1752319;329.5336304;402.6724854;511.630249;400.0395691
1758;516.2888184;369.5480652;518.4525146;392.6221924;289.8696289;513.1806641;515.8951416;324.6394043;427.3343201;485.97229;435.380304
1759;492.5482178;349.7070618;490.9132385;523.6008301;308.9965515;485.299408;522.5764771;344.4695129;523.9078369;447.6462402;448.9665375
1760;496.0727844;353.193512;459.717041;478.5526733;314.6257324;508.5800781;528.3967896;322.6718445;398.5000305;544.3271484;440.4637634
1761;477.4527588;367.7599182;475.8143311;504.9971008;347.54953;651.3777466;469.0332336;340.4533691;469.9620361;515.6766357;462.007666
1762;437.8843994;357.3421021;548.7888794;435.4745483;327.6607361;506.2322388;478.3105164;365.6051636;447.9325867;511.9171448;441.7148316
1763;442.1957092;300.205719;571.0014038;556.8671875;346.7352905;0;471.9898987;338.3004761;494.1515198;448.2102661;396.9657471
1764;486.1513977;326.4700623;558.8858643;455.0177917;360.2522888;465.6350403;493.769989;389.3873291;340.3566895;444.0969238;432.0023377
