;X1966.1990;X1967.1991;X1968.1992;X1969.1993;X1970.1994;X1971.1995;X1972.1996;X1973.1997;X1974.1998;X1975.1999;X1976.2000;X1977.2001;X1978.2002;X1979.2003;X1980.2004;X1981.2005;X1982.2006;X1983.2007;X1984.2008;X1985.2009;X1986.2010;X1987.2011;X1988.2012;X1989.2013;X1990.2014;X1991.2015;X1992.2016;X1993.2017;X1994.2018;X1995.2019;X1996.2020;X1997.2021
X3.curr.jun;0.728129712;0.721896039;0.738520069;0.724157201;0.720047543;0.661253967;0.673113424;0.665330576;0.570861766;0.553867837;0.546095573;0.561507148;0.496367386;0.466480912;0.379183759;0.372077884;0.368811825;0.412485573;0.478787134;0.386318384;0.377883422;0.345946314;0.376089124;0.374975584;0.359444993;0.331070869;0.315499412;0.322328266;0.313697388;0.344066742;0.171984603;0.118163168
X3.curr.jul;0.516833871;0.388273089;0.40043249;0.4117998;0.417050032;0.417118098;0.426581128;0.428532063;0.400518534;0.288627656;0.336333422;0.318037993;0.293685283;0.187490084;0.071182001;0.080511619;0.092778247;0.099927919;0.132534264;0.083523587;-0.031752499;0.083869157;0.040754406;0.010754533;0.04169386;0.072548356;0.048534823;0.092056527;0.137925132;0.125225784;0.117037315;0.084096878
X3.curr.aug;0.744656521;0.669620466;0.690934923;0.688438004;0.680884702;0.63792914;0.649150954;0.646584948;0.572953629;0.503988297;0.536517676;0.542253697;0.492088253;0.415852496;0.30171362;0.287125555;0.308207071;0.330230637;0.388157119;0.317484047;0.19935557;0.276716864;0.255847624;0.248039365;0.251528827;0.25945053;0.25125429;0.270717828;0.288103053;0.327934626;0.184338742;0.140999325
X3.curr.sep;0.618437736;0.529432273;0.584787108;0.58980828;0.562341941;0.518370194;0.520294697;0.511081894;0.509111703;0.492213406;0.51327793;0.523763792;0.51217223;0.439005506;0.311202584;0.299351639;0.304104071;0.321566613;0.266871392;0.176153696;0.113917595;0.236566656;0.249902938;0.24752446;0.124010614;0.144329256;0.096652023;0.01358781;0.068480355;0.126977684;-0.010757456;-0.097276162
