Year	KHA01	KHA02	KHA03	KHA04	KHA05	KHA06	KHA08	KHA09	KHA10	KHA11	KHA12	KHA14	KHA15	KHA16	KHA17	KHA19	KHA20
1754	0,27	0,31	0,32	0,21	0,16	0,41		0,17		0,30		0,18	0,35	0,28			0,29
1755	0,20	0,32	0,37	0,10	0,09	0,29		0,11		0,30		0,12	0,22	0,22			0,15
1756	0,29	0,23	0,38	0,24	0,16	0,41		0,16		0,41		0,21	0,22	0,31			0,29
1757	0,82	0,59	0,86	0,48	0,35	0,60		0,44		0,78		0,38	0,89	0,80			0,47
1758	0,66	0,26	0,58	0,46	0,31	0,59	0,45	0,40		0,66		0,32	0,54	0,66			0,43
1759	0,20	0,21	0,37	0,27	0,17	0,43	0,37	0,28		0,48		0,22	0,40	0,51			0,26
1760	0,05	0,03	0,12	0,06	0,06	0,15	0,23	0,03		0,15	0,44	0,00	0,08	0,20			0,07
1761	0,41	0,28	0,40	0,31	0,06	0,30	0,47	0,11		0,36	0,58	0,09	0,47	0,41			0,21
1762	0,26	0,34	0,37	0,26	0,00	0,30	0,39	0,12		0,21	0,66	0,11	0,44	0,22			0,21
1763	0,34	0,40	0,45	0,28	0,18	0,37	0,63	0,31		0,30	1,09	0,19	0,54	0,30			0,27
1764	0,11	0,36	0,37	0,14	0,18	0,30	0,43	0,27		0,35	0,88	0,21	0,32	0,23			0,26
1765	0,43	0,45	0,70	0,41	0,39	0,65	0,69	0,43		0,49	0,88	0,29	0,53	0,58			0,37
1766	0,67	0,43	0,72	0,35	0,30	0,64	0,43	0,37		0,38	0,88	0,27	0,67	0,37			0,41
1767	0,51	0,52	0,82	0,26	0,30	0,67	0,38	0,48		0,45	0,62	0,30	0,68	0,47			0,50
1768	0,19	0,27	0,55	0,07	0,28	0,44	0,42	0,34		0,41	0,60	0,22	0,27	0,36			0,33
1769	0,63	0,46	0,59	0,43	0,39	0,73	0,58	0,72		0,83	0,76	0,44	0,88	0,56			0,48
1770	0,18	0,07	0,31	0,03	0,24	0,37	0,26	0,29		0,38	0,39	0,15	0,23	0,32			0,22
1771	0,34	0,21	0,16	0,13	0,10	0,16	0,04	0,18		0,18	0,27	0,15	0,13	0,11			0,06
1772	0,09	0,06	0,24	0,21	0,09	0,35	0,12	0,23		0,25	0,47	0,12	0,19	0,19			0,19
1773	0,04	0,07	0,11	0,14	0,02	0,13	0,12	0,06		0,20	0,23	0,05	0,08	0,09			0,06
1774	0,47	0,35	0,54	0,36	0,23	0,48	0,26	0,28		0,62	0,39	0,23	0,46	0,39			0,37
1775	0,50	0,56	0,94	0,32	0,34	0,63	0,39	0,38		0,64	0,47	0,24	0,53	0,61			0,52
1776	0,39	0,14	0,59	0,08	0,33	0,48	0,33	0,30		0,47	0,46	0,18	0,15	0,44			0,38
1777	0,51	0,34	0,62	0,41	0,41	0,60	0,46	0,41		0,79	0,70	0,24	0,58	0,60			0,45
1778	0,32	0,29	0,72	0,31	0,37	0,46	0,45	0,44	0,75	0,65	0,68	0,23	0,60	0,54			0,54
1779	0,11	0,06	0,30	0,08	0,22	0,38	0,22	0,23	0,54	0,43	0,44	0,17	0,09	0,30			0,28
1780	0,33	0,17	0,29	0,21	0,22	0,40	0,23	0,33	0,55	0,44	0,45	0,17	0,30	0,30			0,32
1781	0,14	0,15	0,31	0,16	0,30	0,29	0,21	0,15	0,80	0,50	0,40	0,10	0,16	0,33			0,27
1782	0,37	0,35	0,56	0,31	0,45	0,53	0,41	0,42	1,02	0,55	0,63	0,22	0,57	0,48			0,36
1783	0,30	0,24	0,38	0,19	0,33	0,38	0,24	0,37	0,62	0,56	0,55	0,13	0,21	0,36			0,24
1784	0,43	0,41	0,77	0,32	0,52	0,69	0,50	0,68	0,83	0,91	0,73	0,31	0,57	0,56			0,34
1785	0,41	0,43	0,68	0,36	0,33	0,62	0,42	0,73	0,65	0,66	0,60	0,44	0,64	0,45			0,42
1786	0,17	0,06	0,14	0,08	0,13	0,19	0,07	0,12	0,24	0,16	0,35	0,12	0,12	0,22			0,10
1787	0,57	0,42	0,75	0,50	0,20	0,48	0,36	0,62	0,73	0,57	0,73	0,36	0,82	0,55			0,39
1788	0,30	0,19	0,33	0,20	0,15	0,34	0,23	0,38	0,33	0,34	0,48	0,18	0,37	0,43			0,28
1789	0,41	0,15	0,38	0,28	0,24	0,45	0,36	0,40	0,57	0,39	0,74	0,25	0,48	0,67			0,27
1790	0,43	0,28	0,66	0,23	0,35	0,39	0,33	0,50	0,59	0,49	0,66	0,26	0,56	0,74			0,40
1791	0,26	0,08	0,24	0,08	0,14	0,21	0,24	0,30	0,44	0,16	0,41	0,17	0,34	0,63			0,20
1792	0,38	0,12	0,34	0,00	0,28	0,20	0,39	0,36	0,48	0,30	0,49	0,16	0,33	0,62			0,18
1793	0,61	0,25	0,63	0,05	0,35	0,45	0,52	0,67	0,62	0,32	0,66	0,28	0,78	0,78		0,52	0,29
1794	0,83	0,39	1,18	0,06	0,52	0,63	0,72	0,98	0,89	0,45	1,04	0,48	1,03	0,82		0,56	0,53
1795	0,40	0,09	0,57	0,00	0,20	0,37	0,13	0,40	0,51	0,43	0,50	0,21	0,13	0,43		0,25	0,19
1796	0,42	0,24	0,64	0,41	0,34	0,33	0,39	0,52	0,59	0,37	0,68	0,28	0,46	0,47		0,43	0,30
