Year	KHA01	KHA02	KHA03	KHA04	KHA05	KHA06	KHA08	KHA09	KHA10	KHA11	KHA12	KHA14	KHA15	KHA16	KHA17	KHA19	KHA20
1905	0,06	0,00	0,22	0,00	0,27	0,13	0,14	0,06	0,00	0,21	0,33	0,07	0,00	0,25	0,26	0,24	0,22
1906	0,17	0,19	0,23	0,12	0,31	0,20	0,29	0,15	0,14	0,23	0,37	0,13	0,24	0,26	0,39	0,31	0,19
1907	0,14	0,20	0,43	0,11	0,29	0,20	0,21	0,14	0,07	0,08	0,31	0,12	0,30	0,23	0,41	0,27	0,18
1908	0,41	0,52	0,77	0,31	0,82	0,51	0,65	0,42	0,27	0,41	0,56	0,38	0,56	0,43	0,81	1,03	0,41
1909	0,28	0,19	0,48	0,13	0,31	0,10	0,21	0,19	0,11	0,13	0,31	0,15	0,15	0,12	0,77	0,44	0,25
1910	0,13	0,20	0,30	0,11	0,46	0,22	0,51	0,14	0,09	0,14	0,10	0,20	0,45	0,19	0,69	0,24	0,19
1911	0,15	0,13	0,38	0,11	0,37	0,28	0,32	0,09	0,06	0,13	0,19	0,12	0,50	0,16	0,61	0,17	0,15
1912	0,00	0,00	0,13	0,00	0,29	0,10	0,07	0,00	0,00	0,05	0,09	0,08	0,07	0,00	0,42	0,06	0,00
1913	0,12	0,15	0,27	0,08	0,20	0,17	0,17	0,11	0,07	0,11	0,11	0,08	0,22	0,18	0,33	0,12	0,16
1914	0,24	0,20	0,94	0,00	0,63	0,44	0,47	0,25	0,18	0,32	0,33	0,34	0,68	0,44	0,67	0,43	0,34
1915	0,25	0,27	0,68	0,10	0,59	0,43	0,25	0,18	0,07	0,14	0,15	0,31	0,34	0,21	0,61	0,31	0,30
1916	0,27	0,38	0,68	0,21	0,68	0,45	0,52	0,25	0,16	0,25	0,33	0,41	0,45	0,35	0,78	0,32	0,31
1917	0,17	0,27	0,37	0,17	0,62	0,35	0,45	0,22	0,15	0,24	0,27	0,39	0,50	0,42	0,74	0,25	0,32
1918	0,24	0,32	0,53	0,22	0,74	0,46	0,55	0,26	0,15	0,29	0,42	0,54	0,45	0,37	0,73	0,30	0,30
1919	0,28	0,26	0,36	0,31	0,69	0,37	0,45	0,21	0,11	0,21	0,37	0,33	0,48	0,43	0,76	0,30	0,25
1920	0,39	0,34	0,67	0,36	0,88	0,41	0,47	0,27	0,16	0,20	0,43	0,43	0,52	0,54	0,80	0,33	0,33
1921	0,13	0,12	0,26	0,17	0,60	0,29	0,52	0,14	0,07	0,04	0,34	0,36	0,53	0,38	0,47	0,12	0,20
1922	0,20	0,27	0,47	0,32	0,78	0,37	0,68	0,30	0,19	0,24	0,54	0,60	0,47	0,55	0,62	0,28	0,25
1923	0,24	0,28	0,66	0,22	0,89	0,33	0,45	0,26	0,19	0,17	0,49	0,51	0,45	0,42	0,69	0,24	0,32
1924	0,21	0,36	0,69	0,21	0,78	0,35	0,60	0,30	0,25	0,22	0,43	0,62	0,45	0,42	0,79	0,37	0,40
1925	0,07	0,18	0,37	0,20	0,58	0,20	0,25	0,18	0,16	0,13	0,34	0,34	0,36	0,24	0,45	0,20	0,20
1926	0,32	0,39	0,44	0,30	0,92	0,34	0,54	0,27	0,25	0,31	0,43	0,53	0,47	0,55	0,91	0,43	0,28
1927	0,06	0,23	0,24	0,35	0,46	0,18	0,08	0,15	0,09	0,06	0,28	0,22	0,20	0,20	0,47	0,19	0,19
1928	0,24	0,46	0,50	0,36	0,79	0,36	0,48	0,24	0,23	0,23	0,35	0,49	0,59	0,61	0,79	0,46	0,28
1929	0,18	0,33	0,63	0,36	0,62	0,30	0,30	0,22	0,25	0,22	0,30	0,38	0,61	0,38	0,42	0,38	0,34
1930	0,18	0,37	0,48	0,29	0,82	0,30	0,39	0,30	0,24	0,30	0,53	0,45	0,74	0,50	0,57	0,44	0,34
1931	0,08	0,13	0,16	0,06	0,26	0,22	0,16	0,06	0,02	0,14	0,14	0,16	0,12	0,13	0,27	0,17	0,14
1932	0,20	0,28	0,39	0,27	0,48	0,31	0,58	0,18	0,15	0,20	0,47	0,48	0,50	0,36	0,51	0,36	0,19
1933	0,16	0,31	0,66	0,25	0,40	0,28	0,46	0,23	0,19	0,28	0,52	0,31	0,47	0,39	0,60	0,38	0,38
1934	0,11	0,30	0,48	0,28	0,60	0,30	0,61	0,21	0,17	0,28	0,51	0,36	0,29	0,42	0,64	0,38	0,23
1935	0,21	0,30	0,57	0,29	0,50	0,28	0,67	0,31	0,21	0,31	0,37	0,39	0,35	0,48	0,91	0,54	0,24
1936	0,25	0,31	0,58	0,25	0,60	0,33	0,85	0,25	0,22	0,27	0,36	0,81	0,31	0,58	1,14	0,65	0,24
1937	0,24	0,25	0,53	0,16	0,31	0,29	0,54	0,20	0,16	0,23	0,33	0,46	0,39	0,49	0,97	0,45	0,23
1938	0,32	0,26	0,26	0,22	0,48	0,34	0,55	0,21	0,17	0,26	0,43	0,62	0,43	0,55	0,97	0,40	0,21
1939	0,36	0,41	0,59	0,41	0,50	0,40	0,71	0,25	0,27	0,35	0,55	0,47	0,89	0,67	1,06	0,71	0,30
1940	0,33	0,44	0,50	0,47	0,58	0,39	0,79	0,28	0,38	1,00	0,44	0,42	0,62	0,68	0,98	0,74	0,28
1941	0,43	0,51	0,84	0,57	0,83	0,47	1,06	0,43	0,57	0,67	0,42	0,60	0,76	0,77	1,29	1,73	0,51
1942	0,40	0,40	0,45	0,49	0,59	0,33	0,79	0,25	0,50	0,44	0,41	0,38	0,50	0,70	1,21	1,80	0,30
1943	0,42	0,48	0,76	0,60	0,59	0,43	0,74	0,31	0,42	0,36	0,51	0,44	0,61	0,58	1,22	1,17	0,39
1944	0,20	0,25	0,62	0,26	0,56	0,34	0,38	0,11	0,23	0,25	0,42	0,35	0,37	0,40	0,85	0,55	0,30
1945	0,37	0,48	0,71	0,57	0,69	0,49	0,70	0,25	0,39	0,46	0,57	0,55	0,73	0,60	1,15	0,60	0,38
1946	0,38	0,48	0,53	0,43	0,83	0,34	0,57	0,20	0,36	0,27	0,52	0,41	0,65	0,43	0,72	0,65	0,39
1947	0,05	0,09	0,13	0,12	0,24	0,12	0,10	0,02	0,05	0,06	0,38	0,08	0,17	0,24	0,18	0,23	0,07
1948	0,29	0,44	0,59	0,33	0,57	0,33	0,63	0,20	0,32	0,35	0,59	0,50	0,74	0,63	0,85	0,51	0,18
1949	0,06	0,05	0,19	0,05	0,11	0,14	0,17	0,05	0,16	0,25	0,50	0,26	0,62	0,35	0,27	0,25	0,13
1950	0,07	0,21	0,30	0,17	0,35	0,18	0,10	0,06	0,16	0,22	0,54	0,23	0,47	0,32	0,44	0,23	0,15
1951	0,03	0,12	0,32	0,06	0,36	0,23	0,24	0,08	0,25	0,29	0,71	0,38	0,62	0,39	0,44	0,30	0,13
1952	0,06	0,15	0,33	0,19	0,26	0,25	0,11	0,14	0,22	0,24	0,49	0,20	0,28	0,29	0,41	0,20	0,15
1953	0,05	0,43	0,50	0,36	0,46	0,31	0,31	0,19	0,31	0,42	0,69	0,53	0,81	0,61	0,76	0,46	0,14
1954	0,03	0,15	0,25	0,13	0,17	0,20	0,11	0,10	0,04	0,16	0,25	0,22	0,33	0,30	0,47	0,23	0,10
1955	0,13	0,23	0,32	0,13	0,15	0,14	0,18	0,17	0,23	0,15	0,15	0,16	0,23	0,44	0,57	0,35	0,08
1956	0,13	0,19	0,22	0,15	0,14	0,10	0,26	0,13	0,25	0,18	0,43	0,13	0,34	0,36	0,39	0,46	0,10
1957	0,09	0,26	0,24	0,11	0,18	0,16	0,23	0,21	0,21	0,15	0,39	0,16	0,32	0,33	0,39	0,43	0,14
1958	0,07	0,04	0,24	0,09	0,10	0,13	0,26	0,14	0,15	0,08	0,35	0,12	0,20	0,21	0,24	0,66	0,07
1959	0,04	0,20	0,23	0,20	0,14	0,23	0,21	0,19	0,23	0,02	0,29	0,17	0,31	0,37	0,45	0,59	0,13
1960	0,14	0,24	0,34	0,16	0,17	0,14	0,10	0,14	0,21	0,14	0,31	0,11	0,33	0,27	0,52	0,51	0,10
1961	0,19	0,22	0,26	0,12	0,16	0,16	0,09	0,10	0,32	0,12	0,26	0,17	0,32	0,25	0,58	0,43	0,08
1962	0,20	0,20	0,31	0,10	0,18	0,21	0,16	0,07	0,13	0,11	0,25	0,19	0,33	0,21	0,45	0,21	0,11
1963	0,00	0,12	0,11	0,03	0,13	0,12	0,06	0,05	0,18	0,00	0,19	0,11	0,18	0,15	0,34	0,18	0,06
1964	0,19	0,27	0,28	0,20	0,28	0,18	0,15	0,16	0,30	0,13	0,17	0,24	0,35	0,30	0,51	0,37	0,15
1965	0,03	0,18	0,15	0,06	0,15	0,12	0,04	0,17	0,11	0,05	0,06	0,15	0,20	0,14	0,40	0,34	0,08
1966	0,16	0,29	0,26	0,11	0,26	0,23	0,09	0,17	0,22	0,22	0,15	0,24	0,35	0,24	0,49	0,41	0,19
1967	0,13	0,28	0,28	0,18	0,23	0,24	0,23	0,22	0,34	0,08	0,12	0,29	0,39	0,41	0,58	0,61	0,18
1968	0,00	0,17	0,22	0,09	0,20	0,11	0,07	0,14	0,19	0,13	0,07	0,13	0,22	0,27	0,38	0,34	0,11
1969	0,15	0,18	0,18	0,09	0,29	0,14	0,24	0,18	0,42	0,30	0,07	0,28	0,32	0,40	0,39	0,59	0,17
1970	0,08	0,17	0,20	0,07	0,33	0,10	0,14	0,18	0,29	0,14	0,10	0,27	0,32	0,30	0,46	0,58	0,16
1971	0,00	0,08	0,11	0,05	0,19	0,02	0,05	0,05	0,04	0,00	0,04	0,12	0,14	0,11	0,21	0,17	0,04
1972	0,08	0,22	0,32	0,00	0,25	0,10	0,10	0,14	0,13	0,26	0,07	0,19	0,31	0,24	0,53	0,29	0,10
1973	0,04	0,07	0,14	0,11	0,11	0,09	0,04	0,08	0,03	0,16	0,05	0,07	0,02	0,11	0,20	0,21	0,06
1974	0,02	0,00	0,05	0,03	0,00	0,00	0,00	0,09	0,00	0,00	0,01	0,00	0,03	0,00	0,13	0,04	0,00
1975	0,01	0,23	0,14	0,04	0,19	0,16	0,12	0,11	0,13	0,05	0,11	0,19	0,13	0,19	0,32	0,21	0,12
1976	0,18	0,26	0,21	0,07	0,22	0,13	0,17	0,20	0,15	0,12	0,06	0,18	0,22	0,22	0,43	0,18	0,12
1977	0,02	0,06	0,10	0,03	0,08	0,09	0,04	0,07	0,03	0,03	0,04	0,05	0,04	0,09	0,22	0,09	0,07
1978	0,13	0,19	0,19	0,09	0,16	0,10	0,15	0,13	0,14	0,08	0,07	0,13	0,18	0,18	0,38	0,23	0,11
1979	0,21	0,32	0,31	0,09	0,25	0,15	0,22	0,20	0,18	0,16	0,09	0,19	0,27	0,29	0,53	0,35	0,20
1980	0,02	0,05	0,06	0,00	0,04	0,02	0,00	0,07	0,03	0,02	0,01	0,04	0,03	0,00	0,05	0,12	0,07
1981	0,09	0,24	0,18	0,12	0,18	0,19	0,11	0,07	0,11	0,09	0,11	0,12	0,09	0,20	0,29	0,20	0,15
1982	0,06	0,17	0,18	0,05	0,16	0,14	0,16	0,16	0,11	0,15	0,05	0,16	0,14	0,20	0,35	0,23	0,15
1983	0,06	0,18	0,21	0,06	0,17	0,16	0,08	0,14	0,10	0,10	0,08	0,14	0,11	0,12	0,45	0,23	0,15
1984	0,05	0,23	0,31	0,06	0,25	0,29	0,11	0,25	0,19	0,12	0,09	0,21	0,23	0,24	0,69	0,54	0,18
1985	0,07	0,14	0,14	0,00	0,11	0,09	0,00	0,05	0,04	0,08	0,05	0,05	0,14	0,04	0,31	0,11	0,10
1986	0,11	0,15	0,26	0,12	0,26	0,16	0,21	0,21	0,12	0,15	0,09	0,14	0,20	0,19	0,42	0,32	0,17
1987	0,01	0,04	0,14	0,04	0,14	0,13	0,23	0,19	0,08	0,04	0,05	0,10	0,11	0,03	0,29	0,20	0,14
1988	0,09	0,21	0,25	0,11	0,22	0,20	0,16	0,15	0,15	0,15	0,08	0,16	0,21	0,16	0,52	0,27	0,19
1989	0,00	0,00	0,05	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,00	0,03	0,00	0,04	0,14	0,00
1990	0,06	0,24	0,34	0,11	0,29	0,23	0,18	0,23	0,24	0,09	0,10	0,19	0,19	0,23	0,46	0,33	0,31
1991	0,13	0,20	0,27	0,09	0,25	0,22	0,30	0,24	0,23	0,15	0,12	0,22	0,27	0,22	0,55	0,47	0,20
1992	0,06	0,10	0,17	0,10	0,16	0,13	0,21	0,16	0,14	0,18	0,08	0,08	0,13	0,10	0,38	0,35	0,15
1993	0,00	0,04	0,12	0,04	0,11	0,12	0,00	0,11	0,06	0,17	0,03	0,06	0,07	0,10	0,29	0,29	0,06
1994	0,11	0,20	0,27	0,11	0,23	0,21	0,06	0,19	0,24	0,06	0,09	0,14	0,16	0,21	0,49	0,39	0,21
1995	0,03	0,08	0,13	0,06	0,13	0,15	0,09	0,09	0,10	0,06	0,03	0,10	0,07	0,09	0,33	0,14	0,10
1996	0,10	0,14	0,27	0,06	0,14	0,24	0,18	0,14	0,17	0,16	0,11	0,13	0,11	0,16	0,49	0,24	0,15
1997	0,03	0,07	0,12	0,03	0,14	0,23	0,03	0,13	0,20	0,04	0,06	0,09	0,10	0,12	0,39	0,22	0,12
1998	0,13	0,22	0,23	0,11	0,19	0,20	0,09	0,18	0,19	0,08	0,11	0,16	0,10	0,15	0,47	0,27	0,15
1999	0,08	0,04	0,14	0,00	0,12	0,07	0,08	0,08	0,06	0,04	0,05	0,06	0,05	0,00	0,19	0,10	0,12
2000	0,05	0,07	0,12	0,04	0,08	0,09	0,07	0,07	0,07	0,10	0,04	0,09	0,04	0,08	0,18	0,11	0,11
2001	0,13	0,22	0,23	0,11	0,21	0,20	0,19	0,17	0,19	0,23	0,13	0,16	0,11	0,21	0,38	0,28	0,24
2002	0,15	0,14	0,27	0,10	0,25	0,17	0,13	0,11	0,13	0,18	0,08	0,22	0,11	0,16	0,45	0,21	0,24
2003	0,13	0,14	0,20	0,06	0,23	0,17	0,13	0,14	0,24	0,15	0,07	0,21	0,07	0,09	0,33	0,27	0,19
2004	0,01	0,16	0,25	0,07	0,17	0,14	0,14	0,15	0,26	0,23	0,09	0,16	0,06	0,07	0,30	0,29	0,17
2005	0,05	0,11	0,11	0,03	0,12	0,08	0,10	0,14	0,16	0,18	0,06	0,07	0,04	0,06	0,16	0,16	0,16
2006	0,07	0,13	0,20	0,07	0,13	0,09	0,11	0,12	0,09	0,11	0,13	0,08	0,09	0,11	0,21	0,16	0,20
2007	0,06	0,10	0,17	0,02	0,11	0,13	0,08	0,12	0,17	0,10	0,07	0,03	0,09	0,06	0,21	0,13	0,18
2008	0,13	0,09	0,18	0,06	0,12	0,15	0,14	0,13	0,14	0,12	0,09	0,11	0,10	0,14	0,31	0,13	0,15
2009	0,11	0,11	0,29	0,07	0,18	0,14	0,32	0,19	0,16	0,16	0,11	0,14	0,09	0,10	0,38	0,21	0,19
2010	0,12	0,09	0,19	0,08	0,12	0,11	0,21	0,11	0,13	0,14	0,09	0,09	0,08	0,09	0,20	0,15	0,15
2011	0,10	0,09	0,17	0,03	0,10	0,08	0,05	0,10	0,13	0,12	0,08	0,03	0,04	0,03	0,25	0,12	0,08
2012	0,20	0,12	0,27	0,11	0,15	0,21	0,29	0,22	0,25	0,16	0,11	0,15	0,07	0,14	0,36	0,30	0,23
2013	0,16	0,08	0,23	0,03	0,14	0,19	0,22	0,24	0,21	0,11	0,11	0,11	0,08	0,13	0,26	0,21	0,16
2014	0,16	0,15	0,24	0,06	0,13	0,18	0,20	0,20	0,24	0,09	0,10	0,13	0,07	0,12	0,25	0,20	0,19
2015	0,17	0,14	0,16	0,05	0,25	0,11	0,11	0,18	0,15	0,12	0,08	0,09	0,07	0,08	0,22	0,19	0,16
2016	0,11	0,17	0,20	0,04	0,41	0,14	0,21	0,25	0,16	0,11	0,07	0,11	0,05	0,05	0,23	0,19	0,18
2017	0,10	0,21	0,16	0,03	0,30	0,10	0,13	0,20	0,17	0,09	0,08	0,06	0,04	0,03	0,20	0,18	0,15
2018	0,15	0,25	0,22	0,11	0,46	0,16	0,33	0,27	0,24	0,17	0,11	0,17	0,12	0,16	0,32	0,33	0,21
2019	0,20	0,37	0,20	0,11	0,32	0,18	0,37	0,33	0,29	0,16	0,15	0,18	0,09	0,13	0,46	0,40	0,24
2020	0,15	0,22	0,15	0,03	0,20	0,21	0,13	0,13	0,15	0,10	0,08	0,08	0,03	0,04	0,25	0,25	0,14
2021	0,15	0,25	0,19	0,02	0,18	0,21	0,17	0,25	0,19	0,11	0,09	0,14	0,04	0,08	0,36	0,39	0,20
2022	0,15	0,25	0,17	0,03	0,11	0,29	0,22	0,16	0,22	0,09	0,11	0,11	0,03	0,04	0,32	0,16	0,17
2023	0,08	0,17	0,12	0,06	0,07	0,14	0,06	0,05	0,12	0,06	0,05	0,07	0,03	0,03	0,24	0,07	0,09
