"","X1966.1990","X1967.1991","X1968.1992","X1969.1993","X1970.1994","X1971.1995","X1972.1996","X1973.1997","X1974.1998","X1975.1999","X1976.2000","X1977.2001","X1978.2002","X1979.2003","X1980.2004","X1981.2005","X1982.2006","X1983.2007","X1984.2008","X1985.2009","X1986.2010","X1987.2011","X1988.2012","X1989.2013","X1990.2014","X1991.2015","X1992.2016","X1993.2017","X1994.2018","X1995.2019","X1996.2020"
"X3.curr.jun",0.695125127860644,0.690391246330288,0.703091273269405,0.712251953979238,0.724602499818412,0.714221214621279,0.712333500173525,0.684982815150986,0.59485108427641,0.583497722368195,0.526833879859273,0.51455658563204,0.462288931478737,0.41782147856081,0.325133280909675,0.33549811992516,0.323103015431447,0.389748811033525,0.459151433880389,0.362230527893844,0.388772069121503,0.381275428426891,0.39763928810978,0.399680842037972,0.397245759760768,0.411100693082903,0.3811808355453,0.381250285589734,0.330977150969942,0.392586444970164,0.237156736950175
"X3.curr.jul",0.544721236852258,0.454360482488801,0.468470444068882,0.474241159822179,0.462936391534381,0.467721266128201,0.482907752878222,0.508444997925021,0.48136388076538,0.341696712893949,0.318597455725038,0.346050010417322,0.312226732171343,0.209106085947959,0.10662095296979,0.120800550001649,0.130726411004345,0.137084431072859,0.145886586946476,0.0946696356282488,0.0162742695042334,0.154781743456963,0.126329110348887,0.110700817627262,0.149339838875696,0.137933294885565,0.133668826847441,0.193297833545092,0.208422359893923,0.198119863772969,0.166303352360579
"X3.curr.aug",0.739387651543179,0.685867649160732,0.709007803001847,0.717872025975131,0.711924955007751,0.702534043836911,0.702715582353022,0.693217963152324,0.625683469100304,0.553831486400334,0.51654019408164,0.531110479783293,0.493466211951074,0.402961058654925,0.284982071906328,0.301173679346788,0.295779038477895,0.336230638972429,0.392085412811441,0.314228800838329,0.26052238105934,0.353315467312107,0.337807332035018,0.324555513820543,0.352159350472234,0.348979562094715,0.344382119089795,0.372208173027681,0.340052745344038,0.406393315837112,0.269701473558322
"X3.curr.sep",0.635048239194459,0.569031738281933,0.618398616934084,0.619440407132426,0.609188152624689,0.584973019233621,0.603650329581868,0.577986746206378,0.571678831844563,0.538140339697789,0.5058225137442,0.509117287055614,0.471590945034687,0.42234804231069,0.308777094415881,0.307765403089764,0.297956917764887,0.32809040001804,0.25915870331108,0.156798156147088,0.140579903919957,0.267431012743247,0.269559912990901,0.25971538332649,0.189391454165724,0.194432016638159,0.171528446260251,0.0971780960236611,0.138748036883496,0.202210501226009,0.0994248147417655
