year,DtanKHA_03_,DtanKHA_06_,DtanKHA_09_,DtanKHA_12_,DtanKHA_14_,DtanKHA_15_,DtanKHA_16_,DtanKHA_17_,DtanKHA_19_,DtanKHA_20_
1680,0,9.61250114440918
1681,0,10.462907791137695
1682,0,11.05578899383545
1683,0,11.809792518615723
1684,0,12.639358520507812
1685,0,13.020479202270508
1686,0,13.761983871459961
1687,0,13.831482887268066,14.45931339263916
1688,0,11.81606388092041,14.233638763427734
1689,0,11.814337730407715,14.299373626708984
1690,0,11.978360176086426,15.036983489990234
1691,0,12.615564346313477,13.131782531738281
1692,0,13.883642196655273,15.403037071228027
1693,0,12.148213386535645,14.80595874786377
1694,0,12.0594482421875,13.323812484741211
1695,0,13.814759254455566,13.968961715698242
1696,0,13.176066398620605,14.421001434326172
1697,0,14.056965827941895,15.58165454864502
1698,0,13.47415542602539,16.648265838623047
1699,0,12.552162170410156,15.528716087341309
1700,0,13.14596939086914,14.649813652038574
1701,0,12.259818077087402,14.15485954284668
1702,0,13.5141019821167,14.825726509094238
1703,0,12.543108940124512,14.584540367126465
1704,0,11.82922649383545,14.629372596740723
1705,0,13.81497859954834,13.784210205078125
1706,0,13.761612892150879,14.662306785583496
1707,0,12.196292877197266,15.001392364501953
1708,0,10.906161308288574,15.210641860961914
1709,0,13.661459922790527,14.447429656982422,0,15.802271842956543
1710,0,12.565048217773438,14.55398178100586,0,15.693609237670898
1711,0,12.533957481384277,15.71331787109375,0,14.851325035095215
1712,0,15.75607967376709,17.15951919555664,0,16.21413803100586
1713,0,13.926302909851074,15.30196475982666,0,15.23831558227539,16.344928741455078
1714,0,12.849571228027344,14.3554105758667,0,16.367286682128906,17.431394577026367
1715,0,14.559958457946777,13.965826988220215,0,15.56192398071289,17.22165870666504
1716,0,14.427953720092773,14.74544620513916,0,16.698747634887695,17.19688606262207
1717,0,15.672920227050781,13.159146308898926,0,15.934549331665039,17.882219314575195
1718,0,15.602797508239746,16.504993438720703,0,16.183740615844727,17.877811431884766
1719,0,14.487174034118652,16.541006088256836,0,15.878864288330078,16.587724685668945,0,0,0,12.0894775390625
1720,0,12.692200660705566,14.97136402130127,0,15.253870964050293,14.854254722595215,0,0,0,14.563963890075684
1721,0,14.435245513916016,15.099122047424316,0,14.154828071594238,15.383119583129883,0,0,0,14.78458023071289
1722,0,14.903265953063965,15.328506469726562,0,16.23657989501953,14.72429370880127,0,0,0,16.014753341674805
1723,0,13.91850757598877,16.54805564880371,0,15.971922874450684,15.813554763793945,0,0,0,17.10828399658203
1724,0,12.339422225952148,16.242416381835938,0,15.391124725341797,14.99496841430664,0,0,0,14.284444808959961
1725,0,13.810429573059082,16.284730911254883,0,14.935139656066895,15.531947135925293,0,0,0,14.143583297729492
1726,0,13.729387283325195,16.44300079345703,0,15.589507102966309,16.75179100036621,0,0,0,14.579224586486816
1727,0,13.948257446289062,15.721948623657227,0,16.343793869018555,15.287557601928711,0,0,0,14.343634605407715
1728,0,13.532153129577637,16.164579391479492,0,15.899287223815918,13.98375129699707,0,0,0,14.523017883300781
1729,0,15.746335983276367,17.950498580932617,0,16.96768569946289,15.293261528015137,0,0,0,14.085447311401367
1730,0,15.271233558654785,18.137414932250977,0,15.246896743774414,14.78481674194336,0,0,0,14.03443717956543
