year,RCTA*KHA_03_,RCTA*KHA_06_,RCTA*KHA_09_,RCTA*KHA_12_,RCTA*KHA_14_,RCTA*KHA_15_,RCTA*KHA_16_,RCTA*KHA_17_,RCTA*KHA_19_,RCTA*KHA_20_
1680,0,3.3109304904937744
1681,0,11.93824291229248
1682,0,13.052835464477539
1683,0,24.046815872192383
1684,0,29.778308868408203
1685,0,30.79544448852539
1686,0,35.17361831665039
1687,0,35.483219146728516,25.576736450195312
1688,0,31.506370544433594,27.577756881713867
1689,0,34.42640686035156,29.286706924438477
1690,0,36.9986686706543,35.963558197021484
1691,0,36.718650817871094,22.263044357299805
1692,0,45.309452056884766,33.14978790283203
1693,0,42.30366516113281,34.13623046875
1694,0,40.01029968261719,29.658668518066406
1695,0,48.72754669189453,31.722623825073242
1696,0,43.36393737792969,33.27446746826172
1697,0,47.535457611083984,37.55714797973633
1698,0,50.37529373168945,42.045772552490234
1699,0,32.62775421142578,28.560808181762695
1700,0,45.23489761352539,31.84551429748535
1701,0,41.44553756713867,28.95723533630371
1702,0,45.12732696533203,35.36124801635742
1703,0,37.93547439575195,31.129878997802734
1704,0,39.85947036743164,33.14570617675781
1705,0,48.275299072265625,26.4114990234375
1706,0,44.96527099609375,27.639244079589844
1707,0,39.808773040771484,23.304370880126953
1708,0,33.56972122192383,16.905668258666992
1709,0,44.8011360168457,26.956880569458008,0,26.688993453979492
1710,0,39.36216354370117,23.2864933013916,0,34.99404525756836
1711,0,38.21021270751953,22.2625789642334,0,34.59502410888672
1712,0,45.8883056640625,32.817508697509766,0,40.46388244628906
1713,0,41.158382415771484,23.30323028564453,0,35.763763427734375,0
1714,0,36.40601348876953,19.40863037109375,0,35.848541259765625,0
1715,0,41.86857986450195,18.01163101196289,0,35.76768493652344,0
1716,0,37.97808074951172,11.684259414672852,0,34.713531494140625,0
1717,0,39.829994201660156,10.869339942932129,0,38.140018463134766,0
1718,0,39.33468246459961,8.888714790344238,0,38.99521255493164,0
1719,0,36.233917236328125,18.042713165283203,0,38.06658172607422,0,0,0,0,0.014435322023928165
1720,0,31.757247924804688,13.665566444396973,0,40.359867095947266,0,0,0,0,12.739995002746582
1721,0,35.2332878112793,20.329296112060547,0,35.22414016723633,0,0,0,0,34.39426803588867
1722,0,37.26768112182617,25.140708923339844,0,36.233272552490234,0,0,0,0,30.35848045349121
1723,0,38.193973541259766,30.287641525268555,0,42.74055099487305,0,0,0,0,32.611305236816406
1724,0,31.72165870666504,28.883602142333984,0,31.688791275024414,0,0,0,0,26.994647979736328
1725,0,34.03733825683594,25.675806045532227,0,37.681602478027344,0,0,0,0,29.019412994384766
1726,0,33.63909912109375,22.08091163635254,0,31.511980056762695,0,0,0,0,28.946979522705078
1727,0,31.06349754333496,19.968399047851562,0,33.682655334472656,0,0,0,0,26.639934539794922
1728,0,29.814420700073242,23.24868392944336,0,29.388832092285156,0,0,0,0,31.320104598999023
1729,0,31.896678924560547,30.783069610595703,0,32.717960357666016,0,0,0,0,28.799968719482422
1730,0,29.43285369873047,31.52350425720215,0,41.30783462524414,0,0,0,0,30.508285522460938
1731,0,29.459030151367188,43.183223724365234,0,47.060211181640625,0,0,0,0,33.29288101196289
1732,0,28.76848602294922,44.127010345458984,0,47.44880294799805,0,0,0,0,29.744924545288086
1733,0,26.818161010742188,39.25448989868164,0,40.69992446899414,0,0,0,0,30.687952041625977
1734,0,28.772497177124023,33.557586669921875,0,37.092350006103516,0,0,0,0,24.67776870727539
1735,0,27.3772029876709,29.105422973632812,0,39.65301513671875,0,0,0,0,27.1951904296875
1736,0,28.242919921875,37.8968391418457,0,41.69189453125,0,0,0,0,27.603729248046875
1737,0,28.74390983581543,34.59529113769531,0,40.440528869628906,0,0,0,0,32.453365325927734
1738,0,27.711580276489258,39.66770935058594,0,43.44984436035156,0,0,0,0,26.307025909423828
1739,0,30.652572631835938,32.68745803833008,0,46.404788970947266,0,0,0,0,22.891334533691406
1740,0,30.249744415283203,26.288957595825195,0,39.354610443115234,0,0,0,0,28.433151245117188
1741,0,38.30168533325195,28.999290466308594,0,44.079341888427734,0,0,0,0,26.701499938964844
1742,0,37.01121139526367,28.899917602539062,0,24.42609214782715,0,0,0,0,35.72670364379883
