year,TB2KHA_03_,TB2KHA_06_,TB2KHA_09_,TB2KHA_12_,TB2KHA_14_,TB2KHA_15_,TB2KHA_16_,TB2KHA_17_,TB2KHA_19_,TB2KHA_20_
1680,0,0.5401172041893005
1681,0,0.3176797926425934
1682,0,0.24386128783226013
1683,0,0.18528161942958832
1684,0,0.1164359375834465
1685,0,0.1050502359867096
1686,0,0.1026378646492958
1687,0,0.1431596428155899,0.10252764821052551
1688,0,0.17002949118614197,0.13463681936264038
1689,0,0.21815335750579834,0.2778216600418091
1690,0,0.23889298737049103,0.13980844616889954
1691,0,0.16156214475631714,0.535599410533905
1692,0,0.10838428139686584,0.1917383223772049
1693,0,0.3385384976863861,0.20055629312992096
1694,0,0.25486472249031067,0.3783361613750458
1695,0,0.13480210304260254,0.33586135506629944
1696,0,0.10205480456352234,0.1751546412706375
1697,0,0.08473310619592667,0.15084661543369293
1698,0,0.09559937566518784,0.09989946335554123
1699,0,0.1264529973268509,0.12679386138916016
1700,0,0.1363120973110199,0.24679848551750183
1701,0,0.21083223819732666,0.268922358751297
1702,0,0.11844044178724289,0.13203896582126617
1703,0,0.20901358127593994,0.20280799269676208
1704,0,0.2550196349620819,0.24599981307983398
1705,0,0.1495639532804489,0.4564198851585388
1706,0,0.17050747573375702,0.31088247895240784
1707,0,0.5504812598228455,0.34384864568710327
1708,0,0.5205199122428894,0.5352053642272949
1709,0,0.25700631737709045,0.33117347955703735,0,0.24572931230068207
1710,0,0.4754590690135956,0.3065447509288788,0,0.1628410518169403
1711,0,0.5014612674713135,0.38374003767967224,0,0.23715171217918396
1712,0,0.11727926135063171,0.17253385484218597,0,0.10231629759073257
1713,0,0.2931005358695984,0.3711630403995514,0,0.2264365702867508,0.25115686655044556
1714,0,0.31752443313598633,0.4202144742012024,0,0.1043243557214737,0.15061967074871063
1715,0,0.2889738380908966,0.6084377765655518,0,0.15460902452468872,0.23613330721855164
1716,0,0.41411563754081726,0.5310165286064148,0,0.10142392665147781,0.25823551416397095
1717,0,0.24682499468326569,1.006919026374817,0,0.1651771366596222,0.1475747525691986
1718,0,0.11024881154298782,0.3781925141811371,0,0.10467163473367691,0.07379177957773209
1719,0,0.3401986062526703,0.49895405769348145,0,0.18411333858966827,0.2935519814491272,0,0,0,0.8051807284355164
1720,0,0.8166888356208801,0.6632721424102783,0,0.17564688622951508,0.344160258769989,0,0,0,0.39012494683265686
