year,CWTtanKHA_03_,CWTtanKHA_06_,CWTtanKHA_09_,CWTtanKHA_12_,CWTtanKHA_14_,CWTtanKHA_15_,CWTtanKHA_16_,CWTtanKHA_17_,CWTtanKHA_19_,CWTtanKHA_20_
1680,0,3.0479540824890137
1681,0,2.6569015979766846
1682,0,2.5226826667785645
1683,0,2.399078130722046
1684,0,2.0669641494750977
1685,0,1.9986236095428467
1686,0,2.1108286380767822
1687,0,2.127965211868286,2.719071388244629
1688,0,2.254409074783325,2.7997827529907227
1689,0,2.4171435832977295,3.2808139324188232
1690,0,2.4565682411193848,3.0586585998535156
1691,0,2.2232484817504883,3.7454874515533447
1692,0,2.2627663612365723,3.449927568435669
1693,0,2.76383900642395,3.2853617668151855
1694,0,2.7640953063964844,4.024323463439941
1695,0,2.3909854888916016,3.480963945388794
1696,0,2.0543317794799805,2.9662654399871826
1697,0,2.0074400901794434,3.0523054599761963
1698,0,2.0093095302581787,2.7368521690368652
1699,0,1.9903347492218018,2.895141124725342
1700,0,2.18727707862854,3.4629297256469727
1701,0,2.3814327716827393,3.4438555240631104
1702,0,2.103834390640259,2.8506319522857666
1703,0,2.3990321159362793,3.2559735774993896
1704,0,2.5333871841430664,3.5368244647979736
1705,0,2.3877854347229004,4.103221416473389
1706,0,2.405245780944824,3.8082692623138428
1707,0,3.016636610031128,4.228578090667725
1708,0,3.3460679054260254,4.761962413787842
1709,0,2.873169183731079,3.9809305667877197,0,3.3247737884521484
1710,0,3.2093586921691895,3.7335517406463623,0,2.455911159515381
1711,0,3.4274373054504395,3.988349199295044,0,2.7750909328460693
1712,0,2.5062873363494873,3.374772548675537,0,2.6418604850769043
1713,0,2.8922274112701416,3.9951963424682617,0,2.956514835357666,3.8697569370269775
1714,0,2.959115743637085,4.177239894866943,0,2.4123849868774414,2.81290602684021
1715,0,3.157294750213623,4.453355312347412,0,2.8298449516296387,3.795550584793091
1716,0,3.169480800628662,5.760828495025635,0,2.5916037559509277,3.705294132232666
1717,0,2.883100748062134,6.205644130706787,0,3.007175922393799,3.101773262023926
1718,0,2.215803384780884,4.626422882080078,0,2.652883768081665,2.2083277702331543
1719,0,3.0949206352233887,5.267506122589111,0,3.043712854385376,3.5621273517608643,0,0,0,4.49189567565918
1720,0,3.704707622528076,6.207250595092773,0,3.30252742767334,3.49560546875,0,0,0,3.5050501823425293
1721,0,2.9060325622558594,3.8554739952087402,0,3.2869505882263184,3.11564302444458,0,0,0,3.5269017219543457
1722,0,2.851489543914795,4.100505828857422,0,2.93125057220459,3.4018476009368896,0,0,0,3.6916427612304688
1723,0,2.9078569412231445,3.3142731189727783,0,2.7199208736419678,3.246654510498047,0,0,0,3.990797519683838
1724,0,3.7494280338287354,3.7461555004119873,0,2.730980396270752,3.403920888900757,0,0,0,4.016238689422607
1725,0,3.293163776397705,4.062516212463379,0,3.244990110397339,3.575580358505249,0,0,0,3.7767300605773926
1726,0,3.248188018798828,4.1418585777282715,0,3.3506762981414795,3.1027579307556152,0,0,0,3.659252882003784
1727,0,3.6843161582946777,5.095569610595703,0,3.2240357398986816,3.558022975921631,0,0,0,3.8490638732910156
1728,0,3.6291654109954834,4.668066024780273,0,3.1193463802337646,4.468654632568359,0,0,0,3.5322258472442627
1729,0,3.136457681655884,4.122262001037598,0,3.2133584022521973,3.6050500869750977,0,0,0,3.798640251159668
1730,0,3.2886595726013184,4.332963466644287,0,3.0709228515625,4.189094066619873,0,0,0,4.120996952056885
1731,0,2.2397377490997314,2.737672805786133,0,2.301631450653076,2.372775077819824,0,0,0,3.113865852355957
1732,0,2.569267511367798,3.061049699783325,0,2.3532297611236572,2.7874646186828613,0,0,0,3.186107635498047
1733,0,3.2282443046569824,3.357465982437134,0,2.566857099533081,3.687654972076416,0,0,0,3.4857046604156494
1734,0,3.948979616165161,4.307333469390869,0,3.221256732940674,4.799172878265381,0,0,0,4.506704807281494
1735,0,3.6398866176605225,4.243988037109375,0,2.950888156890869,3.3931281566619873,0,0,0,3.69962215423584
1736,0,3.104304790496826,3.482192277908325,0,2.942500352859497,3.9720993041992188,0,0,0,3.8704099655151367
1737,0,3.387294292449951,3.643465757369995,0,2.647294521331787,4.726330280303955,0,0,0,3.4703948497772217
1738,0,2.7993271350860596,2.7764780521392822,0,2.439035415649414,2.250356435775757,0,0,0,2.73531436920166
1739,0,3.228750467300415,3.4873993396759033,0,2.45584774017334,3.9811270236968994,0,0,0,3.8492250442504883
1740,-999,3.956103563308716,3.859185218811035,0,2.7772176265716553,4.093891620635986,0,0,0,3.872653007507324
1741,-999,2.963679790496826,3.3888227939605713,0,2.5233733654022217,2.540005683898926,0,0,0,4.0928425788879395
1742,-999,2.898573398590088,3.460683822631836,0,3.048022747039795,2.708817958831787,0,0,0,2.8564083576202393
1743,-999,3.603015422821045,4.254018306732178,0,2.595414638519287,4.927431106567383,0,0,0,4.187254905700684
1744,-999,4.901070594787598,5.317287445068359,0,2.6722328662872314,4.91647481918335,-999,0,0,4.8754353523254395
1745,-999,4.118363857269287,4.493496417999268,0,2.545379638671875,4.294472694396973,-999,0,0,3.5872979164123535
1746,3.5633153915405273,2.959911584854126,3.7354326248168945,0,2.65374493598938,3.4877467155456543,2.6819164752960205,0,0,4.063291072845459
1747,3.0229339599609375,4.478024959564209,4.482111930847168,0,2.390758752822876,4.651846408843994,3.048220157623291,0,0,4.646855354309082
1748,3.4911489486694336,3.532200336456299,4.332950115203857,0,2.7436912059783936,3.712963819503784,3.4247727394104004,0,0,3.8488004207611084
1749,3.724142074584961,3.2472004890441895,4.489821434020996,0,2.781249761581421,3.4525744915008545,3.31986665725708,0,0,4.056092739105225
1750,3.585543155670166,4.039586544036865,5.324406623840332,0,2.6946210861206055,4.430397987365723,3.957118511199951,0,0,4.376504421234131
1751,4.015889644622803,3.5015647411346436,3.7498726844787598,0,2.8104231357574463,3.398663282394409,3.44036865234375,0,0,3.7847049236297607
1752,4.713455677032471,4.102341651916504,4.684548377990723,0,3.0604164600372314,4.580068111419678,3.6371214389801025,0,0,5.017749786376953
1753,3.6252572536468506,4.558206558227539,4.547746658325195,0,2.818632125854492,4.205898284912109,3.751250982284546,0,0,3.9921393394470215
1754,3.322740077972412,3.379223346710205,3.1441712379455566,0,2.623570203781128,3.6059679985046387,3.0345823764801025,0,0,3.35085391998291
1755,3.6871397495269775,3.059995174407959,3.170790195465088,0,2.7715113162994385,3.1722352504730225,3.0188841819763184,0,0,3.2693979740142822
1756,3.231764554977417,3.1071853637695312,3.587225914001465,0,2.6905124187469482,3.7346839904785156,3.185715675354004,0,0,3.8278543949127197
1757,4.729362964630127,3.8772153854370117,4.9553327560424805,0,3.290823221206665,5.072208881378174,4.9960036277771,0,0,4.958197116851807
1758,4.369807720184326,4.0925493240356445,4.046341896057129,0,3.145799398422241,3.88916015625,3.6999459266662598,0,0,4.578366279602051
1759,4.172475337982178,4.143470287322998,4.448341369628906,0,3.3892383575439453,4.581440448760986,4.396382808685303,0,0,4.358185291290283
