year,MaxRWKHA_03_,MaxRWKHA_06_,MaxRWKHA_09_,MaxRWKHA_12_,MaxRWKHA_14_,MaxRWKHA_15_,MaxRWKHA_16_,MaxRWKHA_17_,MaxRWKHA_19_,MaxRWKHA_20_
1680,0,588.8984375
1681,0,203.8828125
1682,0,205.1484375
1683,0,275.8046875
1684,0,181.15625
1685,0,127.9140625
1686,0,290.7734375
1687,0,213.5390625,454.40625
1688,0,90.09375,292.546875
1689,0,159.984375,386.6796875
1690,0,150.921875,285.9765625
1691,0,99.6640625,515.7890625
1692,0,231.5703125,384.2109375
1693,0,332.8515625,483.6484375
1694,0,166.21875,379.140625
1695,0,349.625,416.546875
1696,0,50.421875,120.9921875
1697,0,89.2421875,210.5625
1698,0,58.015625,96.828125
1699,0,31.4375,62.4609375
1700,0,132.7578125,196.9453125
1701,0,96.390625,204.9140625
1702,0,33.5625,113.4375
1703,0,96.1796875,158.96875
1704,0,112.703125,359.4609375
1705,0,185.0703125,623.734375
1706,0,146.7578125,517.3046875
1707,0,238.703125,699.2109375
1708,0,217.46875,367.109375
1709,0,376.1015625,505.984375,0,1074.9375
1710,0,417.4609375,368.390625,0,355.4921875
1711,0,367.4296875,232.6328125,0,420.359375
1712,0,415.9140625,358.671875,0,580.296875
1713,0,435.90625,366.0703125,0,595.4921875,1162.5
1714,0,223.0390625,203.2109375,0,198.125,208.4296875
1715,0,627.7421875,637.28125,0,415.5390625,815.4921875
1716,0,595.8671875,559.40625,0,343.2265625,985.2421875
1717,0,478.1640625,517.6171875,0,385.6640625,828.9140625
1718,0,86.234375,106.6796875,0,134.2421875,155.5859375
1719,0,385.90625,539.2578125,0,340.1171875,722.3984375,0,0,0,1596.921875
1720,0,473.4453125,537.1796875,0,412.0078125,961.5703125,0,0,0,416.2890625
1721,0,279.0703125,340.328125,0,343.4609375,638.375,0,0,0,314.84375
1722,0,296.0390625,346.6328125,0,366.9140625,537.09375,0,0,0,399.2578125
1723,0,209.6171875,260.7734375,0,327.9296875,508.1640625,0,0,0,508.28125
1724,0,219.6328125,378.3203125,0,191.7578125,458.0078125,0,0,0,476.3984375
1725,0,300.0234375,423.3828125,0,386.2734375,437.90625,0,0,0,478.1484375
1726,0,234.0234375,391.3828125,0,396.09375,306.9921875,0,0,0,307.859375
1727,0,613.984375,910.1171875,0,623.328125,1112.4453125,0,0,0,553.0078125
1728,0,272.046875,257.109375,0,260.3515625,530.625,0,0,0,254.828125
1729,0,587.484375,774.53125,0,583.5703125,1190.546875,0,0,0,513.359375
1730,0,485.59375,718.75,0,543.0703125,910.3359375,0,0,0,514.09375
1731,0,363.609375,623.921875,0,440.75,778.7578125,0,0,0,444.671875
1732,0,247.0859375,328.6484375,0,235.4765625,269.890625,0,0,0,228.796875
1733,0,379.59375,455.234375,0,268.3046875,482.625,0,0,0,305.7578125
1734,0,424.0390625,576.6484375,0,368.2890625,527.21875,0,0,0,314.8359375
1735,0,210.015625,338.3828125,0,222.3671875,171.4375,0,0,0,214.4375
1736,0,303.8515625,448.53125,0,279.3984375,351.3203125,0,0,0,270.28125
1737,0,478.703125,419.9453125,0,196.390625,768.5859375,0,0,0,244.3515625
1738,0,232.546875,176.53125,0,179.5,188.3046875,0,0,0,172.046875
1739,0,507.4453125,353.109375,0,274.015625,520.203125,0,0,0,260.671875
1740,747.3515625,465.9140625,316.140625,0,192.75,460.7421875,0,0,0,283.234375
1741,373.265625,429.4453125,321.1015625,0,203.96875,252.890625,0,0,0,277.8359375
1742,361.1796875,144.1328125,215.8984375,0,35.4609375,114.9609375,0,0,0,92.90625
1743,223.1953125,427.4296875,523.828125,0,164.375,856.484375,0,0,0,332.1953125
1744,506.1171875,576.21875,746.234375,0,339.28125,1005.390625,553.7734375,0,0,491.9140625
1745,326.8515625,318.7734375,367.203125,0,208.21875,735.328125,341.421875,0,0,310.265625
1746,547.1171875,568.40625,672.53125,0,344.8125,743.8125,517.1484375,0,0,358.9921875
1747,630.859375,932.1171875,773.8203125,0,467.7109375,914.1015625,786.2578125,0,0,457.1953125
