year,CWTpiKHA_03_,CWTpiKHA_06_,CWTpiKHA_09_,CWTpiKHA_12_,CWTpiKHA_14_,CWTpiKHA_15_,CWTpiKHA_16_,CWTpiKHA_17_,CWTpiKHA_19_,CWTpiKHA_20_
1680,0,3.0425097942352295
1681,0,2.660378932952881
1682,0,2.5665576457977295
1683,0,2.413810968399048
1684,0,2.075648307800293
1685,0,1.9904530048370361
1686,0,2.118213653564453
1687,0,2.1357309818267822,2.677922248840332
1688,0,2.291231155395508,2.7235233783721924
1689,0,2.448791980743408,3.2426047325134277
1690,0,2.4956066608428955,2.9997096061706543
1691,0,2.2324070930480957,3.6785213947296143
1692,0,2.2802751064300537,3.4500746726989746
1693,0,2.7670321464538574,3.282559633255005
1694,0,2.8284425735473633,4.05350923538208
1695,0,2.412421941757202,3.458702802658081
1696,0,2.077423095703125,2.969181776046753
1697,0,2.0028345584869385,3.05700421333313
1698,0,2.029808759689331,2.725015640258789
1699,0,1.997164249420166,2.9892995357513428
1700,0,2.192397356033325,3.5059242248535156
1701,0,2.387761116027832,3.4024899005889893
1702,0,2.2568418979644775,2.824592351913452
1703,0,2.372842788696289,3.2382616996765137
1704,0,2.563060998916626,3.488640785217285
1705,0,2.42598557472229,4.127104759216309
1706,0,2.4130702018737793,3.8242650032043457
1707,0,3.046358346939087,4.199236869812012
1708,0,3.4679837226867676,4.704601287841797
1709,0,2.897214412689209,3.997842788696289,0,3.255481243133545
1710,0,3.2561633586883545,3.732301712036133,0,2.4014790058135986
1711,0,3.489332675933838,3.9489173889160156,0,2.708871364593506
1712,0,2.541095018386841,3.3760552406311035,0,2.634523630142212
1713,0,2.9411356449127197,4.015388488769531,0,2.8866355419158936,3.911940813064575
1714,0,3.0086214542388916,4.165719509124756,0,2.4184625148773193,2.752305269241333
1715,0,3.198328971862793,4.487755298614502,0,2.8165926933288574,3.829087734222412
1716,0,3.212618827819824,5.773222923278809,0,2.5858864784240723,3.7077174186706543
1717,0,2.94071626663208,6.212097644805908,0,2.9905614852905273,3.1369245052337646
1718,0,2.2397804260253906,4.586900234222412,0,2.6121606826782227,2.2248096466064453
1719,0,3.127007484436035,5.301811218261719,0,3.0290112495422363,3.5776865482330322,0,0,0,-999
1720,0,3.7763760089874268,6.200952529907227,0,3.3174548149108887,3.542844533920288,0,0,0,3.4823296070098877
1721,0,3.000767469406128,3.8162195682525635,0,3.3004515171051025,3.1968183517456055,0,0,0,3.5411317348480225
1722,0,2.8898684978485107,4.13065242767334,0,2.939845323562622,3.501112937927246,0,0,0,3.604649066925049
1723,0,2.936915874481201,3.2870378494262695,0,2.712981700897217,3.2905101776123047,0,0,0,4.005112171173096
1724,0,3.8161816596984863,3.7881433963775635,0,2.7154250144958496,3.4531493186950684,0,0,0,4.046748638153076
1725,0,3.4074995517730713,4.131058692932129,0,3.2527413368225098,3.74450421333313,0,0,0,3.8103086948394775
1726,0,3.3140313625335693,4.175372123718262,0,3.366464853286743,3.05808687210083,0,0,0,3.67429780960083
1727,0,3.74837589263916,5.155549049377441,0,3.279170036315918,3.670346736907959,0,0,0,3.8969695568084717
1728,0,3.6757009029388428,4.661258697509766,0,3.1074066162109375,4.5690741539001465,0,0,0,3.568067789077759
1729,0,3.169672966003418,4.125704765319824,0,3.2244200706481934,3.6609930992126465,0,0,0,3.853048086166382
1730,0,3.3657913208007812,4.378720760345459,0,3.095893383026123,4.2770233154296875,0,0,0,4.198660850524902
1731,0,2.233482599258423,2.7288942337036133,0,2.305304527282715,2.3376896381378174,0,0,0,3.1520087718963623
1732,0,2.5577921867370605,3.0287439823150635,0,2.3284096717834473,2.8294835090637207,0,0,0,3.186917781829834
1733,0,3.2804644107818604,3.3787524700164795,0,2.5458970069885254,3.7721357345581055,0,0,0,3.511524200439453
1734,0,4.0682148933410645,4.327430248260498,0,3.2431859970092773,5.0015549659729,0,0,0,4.57692813873291
1735,0,3.7039387226104736,4.218754768371582,0,2.926116466522217,3.5527238845825195,0,0,0,3.698223114013672
1736,0,3.124406337738037,3.4858241081237793,0,2.9335052967071533,4.1147565841674805,0,0,0,3.9095492362976074
1737,0,3.413738965988159,3.586779832839966,0,2.6590874195098877,4.929952144622803,0,0,0,3.500793695449829
1738,0,2.7760348320007324,2.781712532043457,0,2.4366185665130615,2.2543792724609375,0,0,0,2.744783878326416
1739,0,3.238116979598999,3.448369026184082,0,2.4534718990325928,4.092813968658447,0,0,0,3.8251688480377197
1740,-999,4.021881103515625,3.8230929374694824,0,2.747870445251465,4.344324111938477,0,0,0,3.9601378440856934
1741,-999,2.9654250144958496,3.3868274688720703,0,2.5024185180664062,2.556201696395874,0,0,0,4.178630828857422
1742,-999,2.9074740409851074,3.3772897720336914,0,3.218093156814575,2.7260844707489014,0,0,0,2.878593683242798
1743,-999,3.6300532817840576,4.142370223999023,0,2.604957103729248,5.067326068878174,0,0,0,4.228318214416504
1744,-999,4.970449924468994,5.328805923461914,0,2.6776087284088135,5.095213413238525,-999,0,0,4.958844184875488
1745,-999,4.098479270935059,4.467466354370117,0,2.491401195526123,4.466739177703857,-999,0,0,3.6400816440582275
1746,3.664137125015259,2.990825891494751,3.5972208976745605,0,2.6356892585754395,3.5471668243408203,-999,0,0,4.179829120635986
1747,2.9741413593292236,4.544424533843994,4.57087516784668,0,2.401223659515381,4.824370384216309,3.0318973064422607,0,0,4.805424690246582
1748,3.5007920265197754,3.5497026443481445,4.328582763671875,0,2.7674779891967773,3.790306806564331,3.4105961322784424,0,0,3.940157890319824
1749,3.7160863876342773,3.2842304706573486,4.491609573364258,0,2.832458019256592,3.496023178100586,3.3228983879089355,0,0,4.146663188934326
1750,3.651911497116089,4.110098361968994,5.3488593101501465,0,2.687958002090454,4.484529495239258,3.968561887741089,0,0,4.512643814086914
1751,4.0215044021606445,3.564436435699463,3.758251905441284,0,2.823446273803711,3.4217846393585205,3.4296746253967285,0,0,3.87109375
1752,4.828824996948242,4.157164096832275,4.649533271789551,0,3.0539557933807373,4.641285419464111,3.592438220977783,0,0,5.158425807952881
