year,CWTallKHA_03_,CWTallKHA_06_,CWTallKHA_09_,CWTallKHA_12_,CWTallKHA_14_,CWTallKHA_15_,CWTallKHA_16_,CWTallKHA_17_,CWTallKHA_19_,CWTallKHA_20_
1680,0,3.1735005378723145
1681,0,2.783599853515625
1682,0,2.6173362731933594
1683,0,2.480346918106079
1684,0,2.1629488468170166
1685,0,2.123812675476074
1686,0,2.1800029277801514
1687,0,2.2575950622558594,3.1195876598358154
1688,0,2.3836681842803955,3.112990617752075
1689,0,2.5108375549316406,3.5581586360931396
1690,0,2.579047679901123,3.337608814239502
1691,0,2.3563082218170166,4.087197303771973
1692,0,2.3215229511260986,3.6682369709014893
1693,0,2.8705954551696777,3.501901149749756
1694,0,2.847330093383789,4.240102291107178
1695,0,2.4425601959228516,3.743237257003784
1696,0,2.208014965057373,3.290337085723877
1697,0,2.1635735034942627,3.3058719635009766
1698,0,2.1465795040130615,2.91749906539917
1699,0,2.177623987197876,3.1088147163391113
1700,0,2.3328044414520264,3.7617857456207275
1701,0,2.6182408332824707,3.690864324569702
1702,0,2.1639275550842285,3.1775875091552734
1703,0,2.670816659927368,3.5004751682281494
1704,0,2.7499542236328125,3.670912027359009
1705,0,2.5324833393096924,4.252068519592285
1706,0,2.5615615844726562,3.9731485843658447
1707,0,3.1819992065429688,4.469614028930664
1708,0,3.4562296867370605,5.00033712387085
1709,0,2.943021059036255,4.118438720703125,0,3.440396547317505
1710,0,3.3355112075805664,3.9780678749084473,0,2.6337361335754395
1711,0,3.54068922996521,4.421398162841797,0,2.965848684310913
1712,0,2.5635342597961426,3.596118688583374,0,2.794438123703003
1713,0,3.0321412086486816,4.292260646820068,0,3.139538526535034,3.9785404205322266
1714,0,3.1702258586883545,4.384931564331055,0,2.5681185722351074,3.0523664951324463
1715,0,3.2480504512786865,4.691436290740967,0,2.935713768005371,3.868932008743286
1716,0,3.3354403972625732,5.834408760070801,0,2.6776180267333984,3.818403720855713
1717,0,3.043095588684082,6.399277210235596,0,3.064436912536621,3.255958318710327
1718,0,2.4842529296875,5.1905975341796875,0,2.888345956802368,2.470529317855835
1719,0,3.3484134674072266,5.427004814147949,0,3.1446473598480225,3.750927686691284,0,0,0,4.927059650421143
1720,0,3.8955938816070557,6.3397345542907715,0,3.3611249923706055,3.70546555519104,0,0,0,3.7388336658477783
1721,0,3.0503368377685547,4.255853652954102,0,3.517249584197998,3.2176032066345215,0,0,0,3.6789658069610596
1722,0,3.0458154678344727,4.322587490081787,0,3.0368971824645996,3.544398784637451,0,0,0,3.8203539848327637
1723,0,3.1208395957946777,3.5810656547546387,0,2.903442621231079,3.3923747539520264,0,0,0,4.104952335357666
1724,0,3.967280149459839,3.946535110473633,0,2.935746192932129,3.544344186782837,0,0,0,4.144188404083252
1725,0,3.4710114002227783,4.328393936157227,0,3.5021893978118896,3.725358486175537,0,0,0,3.9187283515930176
1726,0,3.5570785999298096,4.435338973999023,0,3.557173490524292,3.395430564880371,0,0,0,3.8376474380493164
1727,0,3.8119866847991943,5.373546600341797,0,3.3317413330078125,3.6790013313293457,0,0,0,3.9679458141326904
1728,0,3.890815496444702,4.976102352142334,0,3.316228151321411,4.643296718597412,0,0,0,3.8340775966644287
1729,0,3.2810590267181396,4.308492183685303,0,3.3607394695281982,3.674896240234375,0,0,0,3.8929710388183594
1730,0,3.4774465560913086,4.4745941162109375,0,3.2440943717956543,4.260488033294678,0,0,0,4.188757419586182
1731,0,2.369328498840332,2.9136006832122803,0,2.4016706943511963,2.469291925430298,0,0,0,3.2289652824401855
1732,0,2.89625883102417,3.3220293521881104,0,2.558289051055908,2.92948317527771,0,0,0,3.4629008769989014
1733,0,3.5540690422058105,3.5374906063079834,0,2.7407333850860596,3.826237678527832,0,0,0,3.6892964839935303
1734,0,4.161531448364258,4.471484184265137,0,3.403851270675659,4.888946056365967,0,0,0,4.653435230255127
1735,0,3.9956164360046387,4.585069179534912,0,3.1897995471954346,3.603804349899292,0,0,0,4.011373043060303
1736,0,3.3851027488708496,3.6686863899230957,0,3.1364336013793945,4.148626327514648,0,0,0,4.068329811096191
1737,0,3.5823216438293457,3.8954122066497803,0,2.8974242210388184,4.78829288482666,0,0,0,3.6752939224243164
1738,0,3.008903741836548,3.0933916568756104,0,2.7086381912231445,2.466878890991211,0,0,0,3.1118311882019043
1739,0,3.4303274154663086,3.743861436843872,0,2.63590407371521,4.081008434295654,0,0,0,4.0294952392578125
1740,-999,4.242551326751709,4.1605706214904785,0,3.0275368690490723,4.180098056793213,0,0,0,4.149761199951172
1741,-999,3.087906837463379,3.5372719764709473,0,2.793837547302246,2.6603503227233887,0,0,0,4.273859977722168
1742,-999,3.2326786518096924,3.71397066116333,0,3.5300254821777344,2.956606149673462,0,0,0,3.025744676589966
1743,-999,3.8239290714263916,4.514125823974609,0,2.8435633182525635,4.974238395690918,0,0,0,4.445845127105713
1744,-999,5.227508068084717,5.466432571411133,0,2.89117693901062,4.930328845977783,-999,0,0,5.077082633972168
1745,-999,4.532727241516113,4.715973377227783,0,2.8972764015197754,4.3185954093933105,-999,0,0,3.8077032566070557
1746,3.9141669273376465,3.1440796852111816,3.8988325595855713,0,2.888305425643921,3.544477939605713,2.9356319904327393,0,0,4.303833484649658
1747,3.099367380142212,4.882707595825195,4.6374053955078125,0,2.6140758991241455,4.890133857727051,3.288540840148926,0,0,4.830741882324219
1748,3.620457410812378,3.713681936264038,4.621398448944092,0,2.9528274536132812,3.7617149353027344,3.784259557723999,0,0,3.9408419132232666
1749,3.9105780124664307,3.4338951110839844,4.730105400085449,0,3.057366371154785,3.5441408157348633,3.573643445968628,0,0,4.177886962890625
1750,3.7533974647521973,4.383124828338623,5.719953536987305,0,2.8282508850097656,4.4888482093811035,4.22353458404541,0,0,4.606001853942871
1751,4.186744689941406,3.6394617557525635,4.139283657073975,0,3.130735397338867,3.522444248199463,3.76416277885437,0,0,4.009088039398193
1752,4.888729095458984,4.293456077575684,4.888843536376953,0,3.2434380054473877,4.664450168609619,3.8180294036865234,0,0,5.134361743927002
1753,3.8893609046936035,4.829593658447266,4.929166793823242,0,3.1383798122406006,4.463645935058594,4.0680341720581055,0,0,4.270360469818115
1754,3.4740490913391113,3.5123167037963867,3.4001128673553467,0,2.836030960083008,3.8180859088897705,3.322492837905884,0,0,3.4814555644989014
1755,3.831385612487793,3.4017279148101807,3.5637872219085693,0,3.1276657581329346,3.3780357837677,3.2700355052948,0,0,3.5768189430236816
1756,3.4588582515716553,3.26947283744812,3.8980648517608643,0,2.9542555809020996,3.9527740478515625,3.522188425064087,0,0,4.064301013946533
1757,4.900529384613037,4.153584003448486,5.202212810516357,0,3.50451397895813,5.227266788482666,5.258766174316406,0,0,5.146378040313721
1758,4.518022060394287,4.1311354637146,4.346176624298096,0,3.3168396949768066,3.973254680633545,3.8676061630249023,0,0,4.7709503173828125
1759,4.298771381378174,4.353421688079834,4.72179651260376,0,3.649282455444336,4.786505222320557,4.632696628570557,0,0,4.658679485321045
1760,3.1995625495910645,3.9462945461273193,3.7397494316101074,0,3.6869707107543945,2.652674674987793,3.7408242225646973,0,0,3.0444188117980957
1761,3.8025918006896973,4.375838279724121,3.981895923614502,3.3327012062072754,2.714216947555542,4.801293849945068,3.945253849029541,0,0,4.1896843910217285
1762,4.51361608505249,4.684351921081543,3.823199510574341,3.6018619537353516,3.443498134613037,4.960884094238281,4.2218217849731445,0,0,4.414243698120117
1763,4.822339057922363,4.577639102935791,5.636412143707275,3.419541358947754,3.1060140132904053,4.690905570983887,4.4232497215271,0,0,4.961109161376953
1764,3.864356279373169,3.182222843170166,4.692866802215576,2.4482204914093018,2.9361283779144287,3.697045087814331,3.9697561264038086,0,0,4.125479221343994
1765,4.1544508934021,4.620996952056885,4.957806587219238,3.098430871963501,3.0620124340057373,5.354202747344971,5.543050289154053,0,0,4.584052085876465
