year,MinRWKHA_03_,MinRWKHA_06_,MinRWKHA_09_,MinRWKHA_12_,MinRWKHA_14_,MinRWKHA_15_,MinRWKHA_16_,MinRWKHA_17_,MinRWKHA_19_,MinRWKHA_20_
1764,358.703125,190.9453125,219,828.3203125,139.625,264.8046875,220.5078125,0,0,268.328125
1765,651.5546875,473.4375,381.4140625,993.703125,262.4921875,461.4921875,467.4375,0,0,340.390625
1766,512.734375,500.5546875,315.609375,1071.4609375,258.6640625,625.0234375,316.5,0,0,400.1796875
1767,740.9296875,598.5546875,421.234375,707.8671875,296.5859375,631.609375,410.1796875,0,0,478.6953125
1768,449.9765625,409.328125,278.4765625,297.9140625,186.5,196.78125,308.4921875,0,0,326.90625
1769,559.0703125,668.8828125,643.640625,737.015625,399.1953125,803.640625,509.890625,0,0,380.15625
1770,273.078125,331.5078125,244.9921875,376.8671875,128.5859375,183.4375,286.9609375,0,0,154.375
1771,151.359375,152.8984375,168.890625,254.75,116.21875,79.2578125,68.3671875,0,0,52.28125
1772,240,262.109375,180.703125,461.1953125,112.2578125,121.6484375,152.984375,0,0,169.4375
1773,114.46875,87.75,39.78125,252.703125,44.8984375,42.4140625,98.25,0,0,75.6015625
1774,490.234375,419.1640625,270.5234375,340.140625,168.4453125,410.71875,396.4375,0,0,293.2734375
1775,875.8125,501.9375,327.5703125,431.2578125,185.640625,485.359375,496.2890625,0,0,489.796875
1776,561.90625,415.0703125,225.8828125,456.1171875,144.4765625,135.2421875,465.5625,0,0,362.1796875
1777,587.875,444.40625,362.8984375,763.7421875,249.3125,554.78125,592.3984375,0,0,438.375
1778,656.9921875,420.6328125,379.40625,646.9375,172.0703125,519.40625,548,0,0,424.578125
1779,323.359375,361.6015625,217.4609375,411.0625,151.6328125,65.8515625,295.0078125,0,0,214.421875
1780,270,377.6953125,273.40625,362.0234375,152.03125,294.8515625,281.9375,0,0,252.3671875
1781,264.28125,250.0546875,123.5859375,398.140625,64.5,133.0546875,298.75,0,0,189.1875
1782,478.703125,443.375,375.6875,546.34375,182.546875,518.40625,401.421875,0,0,270.5546875
1783,393.2734375,367.375,301.0234375,545.453125,144.9296875,150.40625,324.203125,0,0,251.328125
1784,699.4296875,646.4375,631.2265625,663.5546875,255.90625,523.8359375,472.8125,0,0,372.484375
1785,530.390625,548.8125,592.6875,544.0859375,369.5234375,577.21875,378.078125,0,0,316.015625
1786,141.2265625,158.625,102.9375,312.609375,84.46875,111.0234375,113.484375,0,0,88.703125
1787,671.203125,497.9453125,589.2109375,612.1875,320.03125,764.7734375,436.2890625,0,0,343.4453125
1788,302.53125,298.6640625,369.1171875,438.875,143.65625,340.796875,353.703125,0,0,248.6640625
1789,361.859375,415.0703125,351.8984375,600.6875,167.0859375,419.4453125,574.53125,0,0,261.2265625
1790,629.40625,385.046875,450.03125,632.1796875,0,607.953125,697.0625,0,0,367.7734375
1791,230.0625,195.1640625,238.9375,377.515625,0,317.7109375,563.125,0,0,184.8125
1792,317.1484375,179.9453125,308.71875,434.5078125,0,278.34375,562.6484375,0,44.375,173.109375
1793,512.09375,399.78125,627.7265625,629.0234375,0,741.265625,771.90625,0,522.515625,273.734375
1794,1102.296875,606.7578125,1037.25,984.703125,610.2734375,981.7109375,654.671875,0,529.21875,519.515625
1795,480.1640625,354.0625,387.375,449.5390625,205.2890625,131.2109375,416.7421875,0,209.4921875,189.625
1796,589.7421875,311.5859375,466.2109375,711.578125,237.3515625,467.203125,403.2421875,0,372.6640625,226.1640625
1797,410.6171875,307.3671875,423.2734375,628.6328125,209.0859375,368.234375,457.1640625,0,318.7109375,260.6953125
1798,148.1875,116.2734375,145.5078125,385.7265625,89.6953125,41.953125,155.5,0,126.8984375,91.109375
1799,249.6640625,248.6796875,266.640625,396.9765625,143.65625,276.71875,314.4609375,0,152.46875,215.25
1800,96.1640625,224.3125,148.78125,297.1953125,55.7265625,38.4453125,127.59375,0,105.640625,148.5234375
1801,390.046875,436.703125,338.2265625,495.703125,338.7109375,470.328125,423.171875,0,191.984375,262.5625
1802,446.78125,385.0546875,560.421875,523.1484375,356.375,397.59375,567.2578125,0,414.1015625,315.6015625
1803,546.7890625,468.90625,298.7265625,400.984375,273.15625,483.1171875,601.0703125,0,371.6953125,259.4921875
1804,402.8515625,345.625,317.5546875,334.375,214.2421875,391.9609375,465.2734375,0,217.125,289.078125
1805,662.921875,371.3203125,476.375,583.6328125,305.1640625,-15.0234375,503.4140625,0,308.9921875,382.3515625
1806,987.7890625,451.375,663.109375,692.5,445.0703125,429.640625,645.8359375,0,413.34375,459.21875
1807,188.875,62.3046875,52.3984375,214.0390625,127.328125,-19.4609375,211.7109375,0,146.2265625,114.9453125
1808,429.7265625,346.0390625,433.6640625,534.796875,280.6328125,528.640625,489.140625,0,404.453125,243.1171875
1809,392.203125,304.703125,282.9921875,429.421875,274.4921875,-4.8515625,378.4296875,0,296.984375,204.1328125
1810,203.9140625,144.84375,236.0234375,276.125,245.546875,60.5625,428.15625,0,303.2109375,126.859375
1811,257.5234375,226.28125,104.734375,276.671875,160.015625,431.8515625,289.5625,0,193.8828125,132.09375
1812,25.53125,35.796875,32.421875,287.1015625,34.46875,-28.71875,101.7265625,0,58.7734375,29.15625
1813,100.640625,111.875,40.0625,390.640625,39.1796875,264.8984375,173.8359375,0,124.203125,64.5703125
1814,210.7734375,168.4296875,128.2578125,488.890625,99.03125,311.65625,254,0,141.21875,116.03125
1815,124.1953125,105.421875,36.8828125,316.765625,65.484375,127.7265625,162.78125,0,49.21875,127.7578125
1816,151.140625,193.953125,89.3984375,425.65625,61.8984375,196.2734375,253.6328125,0,144.296875,163.984375
1817,221.515625,269.9765625,171.4609375,529.9375,98.5703125,87.5,262.3125,0,249.1875,181.0078125
1818,430.09375,308.71875,211.125,384.546875,111.3515625,76.7734375,277.6171875,0,420.5078125,199.796875
1819,189.1875,201.5234375,117.7265625,287.890625,11.0703125,123.3515625,118.1328125,0,102.609375,34.0390625
1820,162.25,146.6953125,68.203125,155.28125,21.6484375,11.0390625,145.5,0,74.75,103.5703125
1821,333.6875,301.3515625,228.3125,373.8984375,94.5703125,234.25,412.1796875,0,353.078125,152.9140625
1822,490.2890625,377.515625,188.09375,430.4453125,86.6484375,166.21875,421.6015625,0,402.2578125,258.625
1823,159.3671875,222.640625,83.6171875,175.7109375,23.0234375,22.5390625,131.4453125,0,243.0703125,123.3671875
1824,217.5546875,207.40625,142.7421875,398.8515625,23.8125,15.8984375,133.5390625,0,264.8203125,190.7578125
1825,16.984375,31.25,-0.0703125,311.3125,3.640625,-3.09375,8.4765625,0,27.265625,7.4609375
1826,124.984375,196.109375,76.6640625,135.8984375,27.765625,19.8359375,53.234375,0,159.1953125,128.171875
1827,256.0546875,202.4765625,122.1640625,159.375,53.9140625,13.265625,109.4765625,0,103.5546875,141.46875
