year,rTSRKHA_03_,rTSRKHA_06_,rTSRKHA_09_,rTSRKHA_12_,rTSRKHA_14_,rTSRKHA_15_,rTSRKHA_16_,rTSRKHA_17_,rTSRKHA_19_,rTSRKHA_20_
1680,0,1.8288745880126953
1681,0,1.430741310119629
1682,0,1.2456250190734863
1683,0,1.0176647901535034
1684,0,0.979702889919281
1685,0,1.0310673713684082
1686,0,0.7778047323226929
1687,0,1.0181175470352173,0.5612491369247437
1688,0,1.2153619527816772,0.6668105125427246
1689,0,1.177617073059082,0.9240930080413818
1690,0,1.2626850605010986,0.7113353610038757
1691,0,1.2005021572113037,1.4311087131500244
1692,0,0.7950140237808228,0.9004678726196289
1693,0,1.2700421810150146,0.8057268261909485
1694,0,1.1736760139465332,1.3683080673217773
1695,0,0.8069321513175964,1.084517478942871
1696,0,0.9960207343101501,1.2577927112579346
1697,0,0.8558865189552307,0.9065495133399963
1698,0,0.9001930356025696,0.9586414694786072
1699,0,1.223867654800415,1.2635422945022583
1700,0,1.1183220148086548,1.2937250137329102
1701,0,1.3889135122299194,1.1263552904129028
1702,0,1.0606111288070679,1.0127085447311401
1703,0,1.4470710754394531,1.05601966381073
1704,0,1.4617116451263428,0.9269540905952454
1705,0,0.9854360818862915,1.1698603630065918
1706,0,1.0882833003997803,1.01058030128479
1707,0,1.572580337524414,1.0973538160324097
1708,0,1.5971599817276,1.4517159461975098
1709,0,1.0559256076812744,1.1321343183517456,0,1.1159898042678833
1710,0,1.4242019653320312,1.1219497919082642,0,0.8835442066192627
1711,0,1.4825977087020874,1.5732388496398926,0,0.9337418675422668
1712,0,0.7770642042160034,0.9811614751815796,0,0.6401808857917786
1713,0,1.188241720199585,1.515520453453064,0,0.9881100058555603,1.015708088874817
1714,0,1.3852074146270752,1.320436954498291,0,0.7317588329315186,1.2693380117416382
1715,0,1.0931885242462158,1.4517712593078613,0,0.7497764825820923,0.9752832055091858
1716,0,1.4421749114990234,1.4041526317596436,0,0.666951060295105,1.0636169910430908
1717,0,1.197613000869751,2.0713186264038086,0,0.7568754553794861,0.8563135266304016
1718,0,1.2271653413772583,1.2689613103866577,0,0.915770411491394,0.9607826471328735
1719,0,1.4385946989059448,1.358346700668335,0,0.8264687061309814,1.20268976688385,0,0,0,1.6808643341064453
1720,0,1.9774839878082275,1.5748059749603271,0,0.7656740546226501,1.1374772787094116,0,0,0,1.0892338752746582
1721,0,1.1136393547058105,1.5546218156814575,0,1.2359076738357544,0.8048200607299805,0,0,0,1.3781702518463135
1722,0,1.2385685443878174,1.3468501567840576,0,0.8694882988929749,0.9846016764640808,0,0,0,1.3116053342819214
1723,0,1.205875039100647,1.0723391771316528,0,0.7824158072471619,0.9450250267982483,0,0,0,1.1456445455551147
1724,0,1.7132039070129395,1.1477385759353638,0,1.0616018772125244,1.0751712322235107,0,0,0,1.4695696830749512
1725,0,1.2282352447509766,1.2961660623550415,0,1.0519309043884277,1.0590177774429321,0,0,0,1.3915129899978638
1726,0,1.579405665397644,1.4570125341415405,0,0.9665059447288513,1.4191138744354248,0,0,0,1.598319411277771
1727,0,1.4190868139266968,1.6501142978668213,0,0.8933843374252319,1.0297203063964844,0,0,0,1.4969643354415894
1728,0,1.6006405353546143,1.623923420906067,0,0.9300928115844727,1.4547066688537598,0,0,0,1.9344860315322876
1729,0,1.143886923789978,1.2278739213943481,0,0.8974810838699341,0.8854494094848633,0,0,0,1.540197491645813
1730,0,1.2593193054199219,1.1943261623382568,0,0.9838700294494629,1.0461803674697876,0,0,0,1.8113781213760376
1731,0,0.6987709999084473,0.6753042340278625,0,0.5252702236175537,0.5706620216369629,0,0,0,0.8704849481582642
1732,0,1.1141841411590576,0.9260085821151733,0,0.6827702522277832,0.9346325397491455,0,0,0,1.3954367637634277
1733,0,1.619903564453125,0.9377833008766174,0,0.6886147260665894,1.7324544191360474,0,0,0,1.7099506855010986
1734,0,1.5591694116592407,1.2039501667022705,0,0.9919272065162659,2.26501202583313,0,0,0,2.380061388015747
1735,0,1.881629228591919,1.4818825721740723,0,0.9567965269088745,1.4644761085510254,0,0,0,2.145139217376709
1736,0,1.4224516153335571,0.9396528601646423,0,0.8154773116111755,1.6484620571136475,0,0,0,1.7924726009368896
1737,0,1.318832516670227,1.0329749584197998,0,0.7946904301643372,2.2805614471435547,0,0,0,2.0227320194244385
1738,0,0.9195270538330078,1.0748039484024048,0,0.7494334578514099,0.7703756093978882,0,0,0,1.6402188539505005
1739,0,1.2503325939178467,0.9199262857437134,0,0.51678466796875,1.9450799226760864,0,0,0,1.8617867231369019
1740,-999,1.6741516590118408,1.1004631519317627,0,0.8760398626327515,1.5829476118087769,0,0,0,2.551785469055176
1741,-999,0.9432981610298157,0.8618959188461304,0,0.7227526307106018,0.8102723956108093,0,0,0,1.7475827932357788
1742,-999,1.5127739906311035,1.0509973764419556,0,1.7470186948776245,1.1859458684921265,0,0,0,1.5119316577911377
1743,-999,1.324954628944397,1.3354706764221191,0,0.7668776512145996,1.9211689233779907,0,0,0,2.1360394954681396
1744,-999,1.960272192955017,1.1817641258239746,0,0.6860899925231934,2.3383116722106934,-999,0,0,2.5561699867248535
1745,-999,1.9453926086425781,1.779926061630249,0,0.7999590635299683,1.3275361061096191,-999,0,0,1.879612684249878
1746,0.9632048606872559,1.1008113622665405,1.3906528949737549,0,0.7310733199119568,1.3053205013275146,0.3977265954017639,0,0,2.1512064933776855
1747,0.6193153858184814,2.362215042114258,1.3888449668884277,0,0.5229339003562927,2.871997356414795,0.9632678031921387,0,0,3.770965099334717
1748,0.8916767239570618,0.9182571172714233,1.63666570186615,0,0.7203417420387268,1.002680778503418,0.7998990416526794,0,0,1.8217849731445312
1749,1.2292555570602417,0.9494251608848572,1.7603516578674316,0,0.8803696036338806,0.8783910870552063,1.0829246044158936,0,0,2.277179002761841
1750,1.0431392192840576,1.6370280981063843,2.4978187084198,0,0.6889652609825134,1.3280166387557983,1.4527151584625244,0,0,3.1476192474365234
1751,1.4037396907806396,1.1390575170516968,1.5427957773208618,0,0.9231110215187073,0.8536302447319031,1.0294774770736694,0,0,1.7874104976654053
1752,1.5128223896026611,1.4721744060516357,1.6223737001419067,0,0.8215658664703369,1.6539950370788574,1.1047651767730713,0,0,2.5036590099334717
1753,1.241294026374817,2.0615994930267334,2.6950929164886475,0,0.9918889403343201,1.5526597499847412,1.3778659105300903,0,0,2.337139129638672
1754,1.0312119722366333,1.0158790349960327,1.4262272119522095,0,0.783720850944519,0.844330906867981,1.0000718832015991,0,0,1.3285409212112427
1755,1.1155818700790405,0.9742563366889954,1.1808810234069824,0,1.0427504777908325,0.871962308883667,1.0152056217193604,0,0,1.8009682893753052
1756,1.0480049848556519,0.638332724571228,1.419542908668518,0,0.8173617124557495,1.0518978834152222,1.0975055694580078,0,0,1.7196751832962036
1757,1.4994510412216187,1.5952625274658203,2.0466184616088867,0,0.9759129881858826,1.8103389739990234,1.8625023365020752,0,0,2.5331268310546875
1758,1.3992621898651123,0.8961421847343445,1.3036516904830933,0,0.827889621257782,0.9636764526367188,1.0420466661453247,0,0,1.9523144960403442
1759,1.197662591934204,1.759878396987915,1.818008542060852,0,1.1050373315811157,1.330169677734375,1.5617039203643799,0,0,2.2190616130828857
1760,0.8516541123390198,1.8617862462997437,2.038731336593628,0,2.253892183303833,0.9907252788543701,1.3251007795333862,0,0,1.3729099035263062
1761,0.8899818062782288,2.127316951751709,1.9462532997131348,1.1777598857879639,0.9182813763618469,1.866104006767273,1.3668229579925537,0,0,2.512117862701416
1762,1.4061836004257202,2.0711147785186768,1.2957574129104614,1.1712726354599,1.1017781496047974,1.761900782585144,1.4199426174163818,0,0,2.5322558879852295
1763,1.5841928720474243,2.138542652130127,2.1824893951416016,1.0780996084213257,0.6430168151855469,1.6782633066177368,1.6302237510681152,0,0,2.9483182430267334
1764,1.0355030298233032,1.234152913093567,1.6409424543380737,0.5645304918289185,0.7721966505050659,1.0675498247146606,1.0717500448226929,0,0,1.6695761680603027
1765,1.2186899185180664,1.8769890069961548,1.3875292539596558,0.7991448640823364,0.6925914883613586,1.9037833213806152,1.7613075971603394,0,0,2.641169309616089
