year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1869,424.9325866699219,491.59173583984375,232.50433349609375,431.9216003417969,375.6831359863281,0,413.2304382324219,306.4836730957031,354.0926818847656,410.4127197265625
1870,277.6144714355469,268.61285400390625,476.96417236328125,215.4729461669922,298.93658447265625,461.5176086425781,331.83123779296875,253.4984588623047,241.8556671142578,331.30511474609375
1871,432.0797424316406,365.3285217285156,554.5711059570312,478.5140686035156,434.097412109375,454.70050048828125,380.8590087890625,334.16766357421875,449.58074951171875,437.48382568359375
1872,363.89306640625,317.98162841796875,386.9012756347656,427.0783386230469,347.17266845703125,356.85064697265625,316.45611572265625,310.30474853515625,498.5719299316406,458.76507568359375
1873,257.64642333984375,355.7637939453125,524.3115234375,451.2931823730469,340.77459716796875,405.4811706542969,261.3893127441406,322.3476867675781,403.0594787597656,327.2250061035156
1874,423.24993896484375,361.235107421875,482.9010925292969,392.0317687988281,255.5660858154297,427.0174255371094,361.073486328125,353.9140625,422.23876953125,430.90057373046875
1875,537.4642333984375,323.93231201171875,607.9630126953125,385.8590087890625,378.12451171875,320.3299255371094,423.033203125,345.0473327636719,624.1738891601562,362.5454406738281
1876,423.50079345703125,348.8157958984375,425.1465148925781,337.12158203125,425.3551330566406,388.0255432128906,332.5111389160156,311.88104248046875,484.899169921875,374.9336853027344
1877,601.2830200195312,354.9393310546875,576.4915771484375,336.7075500488281,506.27081298828125,329.40447998046875,397.9683532714844,353.5149841308594,628.5438232421875,351.56402587890625
1878,79.6329116821289,183.24917602539062,575.5093383789062,295.2410583496094,550.3810424804688,283.709716796875,425.4508972167969,284.6038513183594,659.65087890625,311.32147216796875
1879,569.3867797851562,366.1206359863281,506.9587097167969,382.2428283691406,512.2449340820312,365.1659851074219,416.5713195800781,400.2890319824219,743.7130126953125,248.69964599609375
1880,287.5744323730469,300.7497863769531,612.8304443359375,490.1202697753906,492.47991943359375,293.837646484375,463.0919494628906,373.8115234375,693.2426147460938,156.5330810546875
1881,229.7614288330078,315.22479248046875,399.2200927734375,417.9527587890625,375.4927978515625,255.8717041015625,270.9800109863281,309.22808837890625,769.0938110351562,162.56443786621094
1882,279.5262451171875,349.08074951171875,554.102783203125,371.86444091796875,501.9897766113281,353.0514221191406,401.8649597167969,358.7935485839844,772.549560546875,207.67103576660156
1883,258.82244873046875,321.2314147949219,462.0775146484375,527.5296020507812,437.257080078125,296.2656555175781,365.32574462890625,323.0543212890625,906.1469116210938,182.6021728515625
1884,362.5932922363281,398.99365234375,388.9796142578125,542.6732788085938,189.772705078125,427.6246643066406,367.613037109375,339.7793884277344,641.6129150390625,309.9050598144531
1885,346.04364013671875,386.0244140625,218.11862182617188,0,153.5555419921875,387.0744934082031,409.2570495605469,331.1533508300781,495.1474914550781,319.2177734375
1886,262.0434875488281,342.9917297363281,420.7946472167969,0,403.55596923828125,401.89434814453125,352.8673095703125,306.1078186035156,685.39404296875,255.4095916748047
1887,377.5370178222656,336.7934265136719,626.1627807617188,0,445.3921813964844,343.3084716796875,413.0094909667969,288.91815185546875,797.4581298828125,215.87106323242188
1888,363.9897155761719,309.0732116699219,557.0223388671875,0,481.2987976074219,310.03564453125,451.0895690917969,303.46075439453125,689.4412841796875,164.12057495117188
1889,304.2309875488281,287.6171875,0,0,360.8484802246094,368.73675537109375,297.05584716796875,315.7516784667969,701.5383911132812,182.90000915527344
1890,294.65625,309.9580383300781,0,0,462.3017883300781,390.18829345703125,442.5740051269531,358.1341857910156,888.9035034179688,229.5450897216797
1891,317.58148193359375,327.7987365722656,0,0,521.9794921875,409.7326354980469,445.106689453125,350.5808410644531,1008.4689331054688,172.7310028076172
1892,216.98716735839844,252.30038452148438,0,0,389.79205322265625,297.68096923828125,351.2568054199219,285.383056640625,0,161.5011749267578
1893,251.63182067871094,309.549072265625,0,0,497.67626953125,279.28607177734375,348.9452209472656,307.4161071777344,656.92919921875,187.2863311767578
1894,225.5249481201172,290.26287841796875,0,0,472.08709716796875,247.39602661132812,355.19940185546875,286.9139099121094,330.7626647949219,170.7517547607422
1895,319.64569091796875,361.27099609375,0,0,459.7649230957031,260.086181640625,424.77276611328125,313.6883544921875,400.0978698730469,200.99346923828125
