year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1680,0,0.8965867464623756
1681,0,0.5900294594665922
1682,0,0.4260194535912234
1683,0,0.645082780774942
1684,0,0.41143623255689477
1685,0,0.2694015210224734
1686,0,0.6998880469409698
1687,0,0.5678099591276435,1.1474394549777855
1688,0,0.23244107490117472,0.8794029700891741
1689,0,0.4415349988289847,1.136565723568495
1690,0,0.3833225105595375,0.8187341408356872
1691,0,0.2801317155917644,1.2930856124077366
1692,0,0.6860056656617388,1.2345676604544593
1693,0,0.9730323537045535,1.599099881064177
1694,0,0.5256883486749047,1.2419496161685544
1695,0,1.144626450267694,1.4120356064069028
1696,0,0.13526829250886863,0.38047319946660707
1697,0,0.24542429138116972,0.6519804797471096
1698,0,0.1605149607239298,0.24358109020546692
1699,0,0.05900880171680001,0.15012555141007056
1700,0,0.3474412685120427,0.6011774088610906
1701,0,0.29318920364579526,0.6150985293329398
1702,0,0.06584291892069416,0.31674533760907764
1703,0,0.24913862598900494,0.5068203567158918
1704,0,0.3123969023954203,1.2000708208330337
1705,0,0.5679066069063907,2.1646084308938214
1706,0,0.4572063818865928,1.5964769428422585
1707,0,0.6999321775992229,2.059961869078762
1708,0,0.6964443330551546,1.1528029102458106
1709,0,1.1875597579023633,1.6978805551113538,0,3.1130102899526406
1710,0,1.3926852667762688,1.1369090038154468,0,1.0931699278295781
1711,0,1.1994073755485317,0.6902270849666792,0,1.361888015078975
1712,0,1.3423804280115945,1.109866312573999,0,1.8030203322827418
1713,0,1.4728010369822186,1.1395946684676233,0,1.9216342801226318,3.6153962851970647
1714,0,0.6740491281267538,0.5911522800597027,0,0.5346802744344927,0.6229182260262576
1715,0,2.0967490957524717,1.9150106899627843,0,1.136912181961108,2.7572947243084656
1716,0,1.8814425813784794,1.8301240742827218,0,0.8817523192643506,3.32236580828112
1717,0,1.5234911917868743,1.673829849199123,0,1.2172898227765216,2.6420836120638853
1718,0,0.22957531639644913,0.2931343320683766,0,0.36968839650998575,0.2521195356045496
1719,0,1.2928565437572814,1.626187009744342,0,1.0260681789437172,2.2106211706515495,0,0,0,2.792380971004505
1720,0,1.520454810200789,1.801170441391406,0,1.0896081218042042,2.912922332959397,0,0,0,0.9970862687049475
1721,0,0.8765610986023233,1.0411574142700033,0,0.9295468872699075,2.0125453113030005,0,0,0,0.9122958478293697
1722,0,0.8716548730942719,1.0932481783035968,0,1.1012893842014506,1.6576672544492368,0,0,0,1.2602772182431607
1723,0,0.6455818868199827,0.8216419360768725,0,1.0158853884527304,1.6940825110287108,0,0,0,1.4923968667917507
1724,0,0.6702278038554397,1.1305241396165258,0,0.5943180827855628,1.4718043083024241,0,0,0,1.4515181265377777
1725,0,0.9509618494591336,1.3912767160813075,0,1.2225129056739092,1.437291222574956,0,0,0,1.4475696211299436
1726,0,0.6767267939366945,1.2623461396052846,0,1.2241698253180857,0.8202052976747467,0,0,0,0.9430887709313964
1727,0,2.0111387291614733,3.1004435552449223,0,2.0422868015776032,3.7137651975635464,0,0,0,1.582923508173721
1728,0,0.8529968184711549,0.8239341225746841,0,0.7916546691932211,1.7157465178208753,0,0,0,0.738291460382456
1729,0,1.984340531388483,2.612794547530271,0,1.9198919426406746,3.8792269703833995,0,0,0,1.6746695186564153
1730,0,1.6162953992361935,2.413951462979554,0,1.6280351249042155,2.8925813572275274,0,0,0,1.5613031864621263
1731,0,1.1638243237451462,2.040593873287932,0,1.4753729147918335,2.5093719556651024,0,0,0,1.1695685077074387
1732,0,0.7956291842460956,0.9829325525438009,0,0.7037997046704447,0.881597662284662,0,0,0,0.7356754154083092
1733,0,1.2462325976434698,1.5075332885381272,0,0.7921913418280013,1.5947914898054734,0,0,0,0.9747738876767755
1734,0,1.380787586454403,1.8927811317791168,0,1.0222904871635308,1.7249249122553323,0,0,0,1.0083484193108063
1735,0,0.6655736993618291,0.9606426599397793,0,0.6847137160140022,0.5397002280112417,0,0,0,0.6432610256268276
1736,0,0.9805771587105454,1.3677510759425928,0,0.8405503691106873,1.129267235421736,0,0,0,0.8107957214164827
1737,0,1.5856235846866582,1.33707946868482,0,0.6323239155130551,2.4576801882039945,0,0,0,0.7375074428536692
1738,0,0.6558315221039237,0.5301258991434992,0,0.5533535189006358,0.5086761116630498,0,0,0,0.48558745544454496
1739,0,1.701055412965644,1.1065154847604788,0,0.8526630723231818,1.7219428911509738,0,0,0,0.682891598405746
1740,1.6915319542691236,1.5137362067988533,0.9428445080395562,0,0.6199754797473105,1.5040335150662685,0,0,0,0.8329981327183731
1741,1.197708439802227,1.4057093115160058,1.0471839071155244,0,0.6176227725822372,0.8281379543118277,0,0,0,0.7879670347051189
1742,1.1737990431803809,0.4499965720472545,0.556736543036962,0,0.0759267863295463,0.33340096184110735,0,0,0,0.25091645610665125
1743,0.6597037741371992,1.4019885336930287,1.7223661654507083,0,0.5230285462566684,2.7459579760927397,0,0,0,0.998485425496412
1744,1.5553748676379087,1.9766874298567387,2.5181603849727594,0,1.040834160874681,3.332790712332482,1.8369704463859762,0,0,1.5949771226741234
1745,1.0978111740582506,0.9860950285045078,1.1860435951666517,0,0.6359616245905073,2.4690252316746637,1.0909021705375324,0,0,0.8795553402826783
1746,1.824748782809536,1.9214665385495096,2.2957851540973024,0,1.1168281249484693,2.483062174737796,1.7273363848580914,0,0,1.1662239336801008
