year,DhKHA_03_,DhKHA_06_,DhKHA_09_,DhKHA_12_,DhKHA_14_,DhKHA_15_,DhKHA_16_,DhKHA_17_,DhKHA_19_,DhKHA_20_
1680,0,15.108949661254883
1681,0,15.579325675964355
1682,0,13.953886985778809
1683,0,17.08087921142578
1684,0,17.693458557128906
1685,0,17.652847290039062
1686,0,17.769556045532227
1687,0,19.136375427246094,18.689146041870117
1688,0,17.114337921142578,18.549388885498047
1689,0,17.13531494140625,20.593271255493164
1690,0,18.26072120666504,19.660329818725586
1691,0,17.871400833129883,19.134231567382812
1692,0,19.229995727539062,21.486034393310547
1693,0,18.18860626220703,20.78472900390625
1694,0,18.11074447631836,18.758350372314453
1695,0,19.20803451538086,20.730072021484375
1696,0,16.71453857421875,18.867393493652344
1697,0,17.99359130859375,21.870058059692383
1698,0,18.31414222717285,20.70064926147461
1699,0,11.159355163574219,17.846097946166992
1700,0,18.540176391601562,22.327993392944336
1701,0,19.311433792114258,20.485015869140625
1702,0,14.803004264831543,20.39166259765625
1703,0,18.132488250732422,21.55181884765625
1704,0,19.061256408691406,22.240583419799805
1705,0,20.112606048583984,21.83692741394043
1706,0,19.846601486206055,22.20088005065918
1707,0,19.355512619018555,20.47962188720703
1708,0,19.141494750976562,21.471467971801758
1709,0,20.408828735351562,22.366273880004883,0,22.232486724853516
1710,0,21.152868270874023,22.16083526611328,0,21.702787399291992
1711,0,20.667686462402344,23.017654418945312,0,22.287799835205078
1712,0,22.036460876464844,24.736562728881836,0,21.684619903564453
1713,0,22.010738372802734,22.883560180664062,0,21.614049911499023,28.867481231689453
1714,0,19.99713134765625,22.143035888671875,0,20.494693756103516,26.29012680053711
1715,0,21.668731689453125,21.31090545654297,0,21.34341812133789,28.581871032714844
1716,0,22.433992385864258,20.63947296142578,0,20.69241714477539,29.993408203125
1717,0,23.488431930541992,17.976669311523438,0,22.49690818786621,28.585275650024414
1718,0,20.29987144470215,17.64282989501953,0,23.607166290283203,21.306589126586914
1719,0,22.882003784179688,23.340106964111328,0,22.293163299560547,28.075626373291016,0,0,0,11.534481048583984
1720,0,22.9125919342041,18.96277618408203,0,22.34212875366211,27.92545509338379,0,0,0,23.7239933013916
1721,0,21.441638946533203,19.136978149414062,0,21.136350631713867,25.743791580200195,0,0,0,24.119678497314453
1722,0,22.413480758666992,24.336597442626953,0,21.819534301757812,25.65852928161621,0,0,0,23.437955856323242
1723,0,21.964086532592773,24.41652488708496,0,22.04995346069336,27.766719818115234,0,0,0,25.362646102905273
1724,0,20.34373664855957,25.606632232666016,0,21.322843551635742,25.699481964111328,0,0,0,24.071884155273438
1725,0,21.915658950805664,25.589462280273438,0,23.91390037536621,23.811979293823242,0,0,0,23.629493713378906
1726,0,21.53011703491211,25.433013916015625,0,24.27310562133789,25.954376220703125,0,0,0,24.582225799560547
1727,0,21.894800186157227,25.663923263549805,0,24.226165771484375,25.424715042114258,0,0,0,23.68644905090332
1728,0,20.20009994506836,23.32964324951172,0,23.640684127807617,24.339191436767578,0,0,0,25.357690811157227
1729,0,23.392345428466797,26.68181610107422,0,25.310144424438477,27.571308135986328,0,0,0,23.91195297241211
1730,0,23.953571319580078,28.373275756835938,0,23.62030029296875,28.316028594970703,0,0,0,25.502458572387695
1731,0,23.11588478088379,29.89931297302246,0,24.88582420349121,31.925443649291992,0,0,0,24.213985443115234
1732,0,22.91582679748535,26.451725006103516,0,22.275375366210938,29.83670997619629,0,0,0,24.572362899780273
1733,0,24.511829376220703,29.204792022705078,0,24.028676986694336,32.951725006103516,0,0,0,25.45627784729004
1734,0,23.80976676940918,28.465595245361328,0,23.854084014892578,32.84209060668945,0,0,0,23.881746292114258
1735,0,24.399810791015625,24.72450828552246,0,24.10173797607422,33.485191345214844,0,0,0,25.335607528686523
1736,0,24.041208267211914,30.824087142944336,0,24.664838790893555,33.82023620605469,0,0,0,25.934391021728516
1737,0,24.899669647216797,29.09187126159668,0,24.54047966003418,33.235435485839844,0,0,0,24.382287979125977
1738,0,22.10062599182129,26.62470245361328,0,23.50902557373047,29.123464584350586,0,0,0,23.5219783782959
1739,0,25.483556747436523,29.87741470336914,0,23.568410873413086,31.398496627807617,0,0,0,23.88910484313965
1740,0,26.64488983154297,29.374542236328125,0,24.56529998779297,32.568199157714844,0,0,0,25.99953842163086
1741,0,24.91153335571289,30.440879821777344,0,24.439531326293945,29.718107223510742,0,0,0,24.378190994262695
1742,0,22.515148162841797,25.703672409057617,0,13.82656478881836,24.25174331665039,0,0,0,24.87152099609375
1743,0,25.647184371948242,30.838764190673828,0,23.860755920410156,30.014434814453125,0,0,0,24.60226058959961
1744,0,21.916303634643555,25.75006675720215,0,24.78423309326172,29.885639190673828,10.00778579711914,0,0,23.12873077392578
1745,0,22.11933708190918,21.901460647583008,0,25.96921730041504,29.424266815185547,0,0,0,25.393970489501953
1746,22.66756248474121,27.772279739379883,28.13823890686035,0,25.29202651977539,30.86795997619629,28.222692489624023,0,0,24.33493423461914
1747,22.191177368164062,26.601398468017578,28.259931564331055,0,25.80948829650879,30.484909057617188,23.180543899536133,0,0,24.268468856811523
1748,23.39981460571289,25.335800170898438,24.708816528320312,0,26.795534133911133,34.554176330566406,25.205598831176758,0,0,24.505502700805664
1749,22.743566513061523,26.396018981933594,29.97820472717285,0,25.3015193939209,31.65633201599121,25.62058448791504,0,0,24.312742233276367
1750,24.33325958251953,25.631202697753906,26.532428741455078,0,26.1184139251709,31.26618003845215,23.743276596069336,0,0,25.146488189697266
1751,22.474021911621094,23.71495246887207,27.047712326049805,0,24.937639236450195,31.981338500976562,25.600811004638672,0,0,23.563037872314453
1752,25.01532745361328,25.575830459594727,31.686933517456055,0,26.963218688964844,32.663997650146484,23.9368953704834,0,0,23.06035804748535
1753,22.764535903930664,22.971290588378906,27.930133819580078,0,25.79422378540039,33.357177734375,22.54475212097168,0,0,25.266706466674805
1754,24.6550235748291,26.2379150390625,29.503032684326172,0,27.1633358001709,36.076148986816406,23.942306518554688,0,0,24.076414108276367
1755,23.08414077758789,26.531967163085938,26.846073150634766,0,25.440858840942383,33.57615280151367,23.426803588867188,0,0,24.21964454650879
1756,25.394594192504883,28.675722122192383,29.230472564697266,0,26.596940994262695,33.693817138671875,24.789052963256836,0,0,25.079816818237305
1757,24.547990798950195,27.598764419555664,29.10492515563965,0,26.418018341064453,31.322078704833984,22.191146850585938,0,0,23.865266799926758
1758,21.6269474029541,27.66340446472168,28.084745407104492,0,25.628158569335938,30.053361892700195,23.04547691345215,0,0,23.659780502319336
1759,27.105539321899414,27.431957244873047,29.170703887939453,0,25.194978713989258,28.1185245513916,22.954130172729492,0,0,23.304386138916016
1760,25.4384765625,28.11941146850586,18.720869064331055,0,12.309625625610352,24.703916549682617,25.213661193847656,0,0,21.125028610229492
1761,27.27776336669922,27.627361297607422,27.074066162109375,12.385595321655273,22.15644645690918,32.40937423706055,25.586217880249023,0,0,22.83941078186035
