year,DradKHA_03_,DradKHA_06_,DradKHA_09_,DradKHA_12_,DradKHA_14_,DradKHA_15_,DradKHA_16_,DradKHA_17_,DradKHA_19_,DradKHA_20_
1680,0,8.900753021240234
1681,0,10.568310737609863
1682,0,9.778241157531738
1683,0,13.255023002624512
1684,0,13.13107681274414
1685,0,12.20071792602539
1686,0,14.913016319274902
1687,0,13.128979682922363,21.12206268310547
1688,0,10.958258628845215,19.019351959228516
1689,0,11.454991340637207,18.95119285583496
1690,0,11.50441837310791,19.44232749938965
1691,0,11.399165153503418,13.76344108581543
1692,0,15.758674621582031,19.499540328979492
1693,0,13.64885139465332,19.511812210083008
1694,0,12.608268737792969,14.557625770568848
1695,0,15.829789161682129,17.58495330810547
1696,0,11.463282585144043,12.891233444213867
1697,0,13.422950744628906,18.545082092285156
1698,0,12.872905731201172,15.444476127624512
1699,0,7.499574184417725,11.626306533813477
1700,0,11.805302619934082,15.128613471984863
1701,0,11.726125717163086,17.046945571899414
1702,0,9.778352737426758,16.19982147216797
1703,0,9.951638221740723,17.389781951904297
1704,0,11.414234161376953,20.0018310546875
1705,0,15.378355979919434,18.598615646362305
1706,0,14.090743064880371,20.197162628173828
1707,0,12.807735443115234,17.55841636657715
1708,0,11.300856590270996,16.804641723632812
1709,0,15.4511079788208,20.02473258972168,0,16.382253646850586
1710,0,14.058780670166016,19.853734970092773,0,17.074108123779297
1711,0,13.772238731384277,16.01786994934082,0,17.08209228515625
1712,0,18.359159469604492,19.841327667236328,0,20.30069351196289
1713,0,15.420356750488281,15.9232177734375,0,17.954124450683594,19.873422622680664
1714,0,12.559643745422363,18.12641143798828,0,16.899612426757812,15.111124992370605
1715,0,17.22100257873535,17.7145938873291,0,18.43998908996582,23.410871505737305
1716,0,15.842459678649902,18.402881622314453,0,18.440542221069336,21.093568801879883
1717,0,17.70871353149414,15.429271697998047,0,20.445032119750977,21.732128143310547
1718,0,11.102494239807129,15.791792869567871,0,16.7507381439209,13.419844627380371
1719,0,16.86385154724121,20.10746192932129,0,19.897174835205078,21.427940368652344,0,0,0,10.024717330932617
1720,0,14.280403137207031,17.752914428710938,0,21.10515022277832,20.222414016723633,0,0,0,21.015209197998047
1721,0,14.820396423339844,11.990565299987793,0,15.947293281555176,20.681583404541016,0,0,0,16.592487335205078
1722,0,14.602421760559082,17.709074020385742,0,18.656187057495117,19.34499168395996,0,0,0,19.043622970581055
1723,0,15.199810028076172,19.845033645629883,0,19.721866607666016,22.35846519470215,0,0,0,21.09394645690918
1724,0,12.699637413024902,21.14140510559082,0,15.7100830078125,19.513612747192383,0,0,0,17.814706802368164
1725,0,14.841279983520508,18.949705123901367,0,18.91271209716797,18.022932052612305,0,0,0,18.24768829345703
1726,0,12.101049423217773,18.885517120361328,0,20.83657455444336,15.21132755279541,0,0,0,19.113258361816406
1727,0,15.057905197143555,17.29596519470215,0,21.123010635375977,20.509958267211914,0,0,0,19.801298141479492
1728,0,12.804272651672363,16.700963973999023,0,19.363628387451172,16.758346557617188,0,0,0,16.282602310180664
1729,0,17.923242568969727,20.875925064086914,0,21.09414291381836,26.69215965270996,0,0,0,18.67470932006836
1730,0,15.902962684631348,21.320045471191406,0,19.198537826538086,24.513336181640625,0,0,0,16.888635635375977
1731,0,17.410036087036133,23.32060432434082,0,22.493896484375,23.57088279724121,0,0,0,18.566905975341797
1732,0,15.52703857421875,20.945152282714844,0,18.976924896240234,19.939298629760742,0,0,0,17.467458724975586
1733,0,15.115803718566895,23.266382217407227,0,22.150854110717773,18.274526596069336,0,0,0,18.469684600830078
1734,0,15.569676399230957,22.359699249267578,0,19.540132522583008,16.267980575561523,0,0,0,14.392878532409668
1735,0,13.723320960998535,17.280689239501953,0,19.7439022064209,15.589208602905273,0,0,0,14.382702827453613
1736,0,16.568424224853516,24.069454193115234,0,22.34130859375,17.761781692504883,0,0,0,17.343692779541016
1737,0,17.527816772460938,23.04332733154297,0,19.674602508544922,16.696216583251953,0,0,0,17.56121063232422
1738,0,15.728833198547363,17.465925216674805,0,18.862201690673828,18.658409118652344,0,0,0,14.645334243774414
1739,0,19.40003776550293,24.40420913696289,0,22.97848892211914,18.266103744506836,0,0,0,16.602827072143555
1740,0,15.766666412353516,21.623817443847656,0,20.221525192260742,18.82417869567871,0,0,0,15.531444549560547
1741,0,20.119895935058594,24.692596435546875,0,20.047786712646484,19.21510887145996,0,0,0,14.069572448730469
1742,0,12.102620124816895,18.351123809814453,0,7.793319225311279,12.282283782958984,0,0,0,13.914923667907715
1743,0,17.867107391357422,23.133424758911133,0,19.2562198638916,17.00658416748047,0,0,0,13.760403633117676
1744,0,14.543166160583496,22.012956619262695,0,20.963550567626953,15.359491348266602,22.334989547729492,0,0,12.620901107788086
1745,0,14.224754333496094,15.20318603515625,0,20.258020401000977,18.80817413330078,0,0,0,17.762554168701172
1746,19.458629608154297,20.008464813232422,18.983457565307617,0,22.099014282226562,20.074247360229492,19.68071174621582,0,0,15.284424781799316
1747,23.485313415527344,14.90116024017334,19.671663284301758,0,24.329593658447266,14.69235610961914,17.212270736694336,0,0,14.397601127624512
1748,19.968170166015625,18.786399841308594,14.577848434448242,0,22.771724700927734,22.92806053161621,21.968997955322266,0,0,15.90079116821289
1749,16.919584274291992,18.681987762451172,17.934749603271484,0,18.701871871948242,21.29493522644043,17.843795776367188,0,0,14.25463581085205
1750,20.027894973754883,15.979918479919434,14.37411880493164,0,22.40985679626465,19.92452621459961,16.467639923095703,0,0,13.113508224487305
1751,16.447738647460938,16.73881721496582,15.43753433227539,0,18.904682159423828,24.215232849121094,19.07392692565918,0,0,15.258000373840332
1752,16.54686164855957,17.91747283935547,20.1615047454834,0,23.64708137512207,20.44582748413086,19.714393615722656,0,0,13.718876838684082
1753,16.752614974975586,13.830629348754883,13.891425132751465,0,19.506006240844727,18.53774070739746,16.701791763305664,0,0,14.354058265686035
1754,18.34557342529297,18.864887237548828,13.461395263671875,0,20.493024826049805,26.165571212768555,18.360809326171875,0,0,15.370614051818848
1755,17.373872756958008,20.23406982421875,17.15030288696289,0,17.26805305480957,25.004913330078125,17.428300857543945,0,0,13.85792064666748
1756,19.637718200683594,27.028703689575195,18.23097801208496,0,21.374561309814453,23.166616439819336,18.04851531982422,0,0,15.704239845275879
1757,18.00469398498535,19.705081939697266,18.932029724121094,0,23.030927658081055,18.366256713867188,15.166902542114258,0,0,13.134051322937012
1758,16.061004638671875,23.0288028717041,18.444969177246094,0,21.004304885864258,21.108318328857422,17.86515998840332,0,0,14.295758247375488
1759,21.26226806640625,15.050657272338867,16.575483322143555,0,20.399032592773438,17.222352981567383,15.640742301940918,0,0,12.990774154663086
1760,18.9058837890625,14.41430377960205,8.860490798950195,0,6.851787090301514,13.291561126708984,17.336206436157227,0,0,12.257364273071289
1761,22.83501625061035,15.130802154541016,14.452728271484375,11.642857551574707,15.408090591430664,20.60926055908203,19.39101219177246,0,0,12.45154094696045
1762,18.805559158325195,17.64021110534668,14.562172889709473,13.462419509887695,19.66123390197754,23.179616928100586,19.22395896911621,0,0,13.353508949279785
1763,17.205142974853516,15.091684341430664,15.885079383850098,14.674165725708008,23.896554946899414,22.887544631958008,17.151716232299805,0,0,10.185256004333496
1764,20.513940811157227,16.732431411743164,16.039871215820312,20.360607147216797,21.817039489746094,25.108278274536133,18.955963134765625,0,0,16.405616760253906
1765,21.983415603637695,17.14147186279297,22.11728286743164,20.320697784423828,24.610790252685547,17.449932098388672,16.270023345947266,0,0,13.680794715881348
1766,15.122657775878906,18.425861358642578,17.10748863220215,15.74272632598877,21.72813606262207,22.659015655517578,16.43227767944336,0,0,13.390670776367188
1767,21.22493553161621,19.52731704711914,24.18500328063965,21.875185012817383,23.52703094482422,22.568592071533203,19.441097259521484,0,0,13.447237968444824
1768,18.874277114868164,18.10189437866211,19.744958877563477,20.84012794494629,22.160320281982422,18.55054473876953,20.37478256225586,0,0,15.248946189880371
1769,21.665645599365234,19.5025577545166,20.404592514038086,21.814197540283203,22.56907844543457,21.87444305419922,16.49675941467285,0,0,15.82151985168457
1770,17.18248176574707,14.863348007202148,18.775466918945312,18.16731834411621,19.727487564086914,13.679497718811035,14.8106050491333,0,0,11.473487854003906
1771,15.835405349731445,16.467687606811523,16.732852935791016,18.277162551879883,17.69772720336914,17.00276756286621,14.632406234741211,0,0,13.325544357299805
1772,20.567514419555664,18.671598434448242,16.956186294555664,21.160587310791016,19.513744354248047,19.318246841430664,15.741044998168945,0,0,13.935286521911621
1773,21.630674362182617,16.429161071777344,16.49353790283203,21.66667366027832,17.642812728881836,19.071578979492188,18.70194435119629,0,0,17.53143310546875
1774,21.264522552490234,21.109121322631836,23.594057083129883,20.36747169494629,23.312286376953125,23.68463706970215,20.847209930419922,0,0,15.625861167907715
1775,19.948009490966797,21.018739700317383,21.519426345825195,20.27552604675293,22.522613525390625,19.587657928466797,16.58737564086914,0,0,12.886466026306152
1776,20.381067276000977,18.898344039916992,18.05098533630371,20.424705505371094,20.18465805053711,15.213235855102539,17.655681610107422,0,0,12.100967407226562
1777,21.641569137573242,20.380115509033203,20.98223114013672,22.71201515197754,20.442108154296875,20.0330810546875,17.153749465942383,0,0,12.818318367004395
1778,22.42249298095703,19.446426391601562,19.75872802734375,21.513782501220703,20.45550537109375,18.370037078857422,17.1852970123291,0,0,13.9177885055542
1779,24.404624938964844,20.37164306640625,24.176273345947266,22.22831153869629,24.92746925354004,12.398808479309082,20.209077835083008,0,0,17.002857208251953
1780,20.964250564575195,20.824506759643555,20.787872314453125,21.240503311157227,21.150680541992188,19.940553665161133,18.773454666137695,0,0,17.30303955078125
1781,24.355451583862305,18.948654174804688,20.46332359313965,22.698720932006836,20.464218139648438,18.951637268066406,18.131101608276367,0,0,19.903928756713867
1782,21.03306007385254,20.808895111083984,21.09332275390625,20.82990837097168,20.513795852661133,22.408048629760742,18.080345153808594,0,0,20.13552474975586
1783,22.50273895263672,21.114503860473633,25.746625900268555,23.82364845275879,23.38274383544922,25.702266693115234,20.85997200012207,0,0,22.14325714111328
1784,21.713695526123047,22.30815315246582,22.39736557006836,22.32823371887207,25.33738899230957,19.372777938842773,15.7687406539917,0,0,17.109249114990234
1785,16.9724178314209,22.172889709472656,20.481534957885742,21.643714904785156,24.323421478271484,22.126903533935547,16.5524959564209,0,0,17.7179012298584
1786,17.14449691772461,14.129766464233398,16.883808135986328,22.509811401367188,20.26384925842285,21.348196029663086,15.245019912719727,0,0,17.632566452026367
1787,22.55853843688965,21.97372817993164,31.26210594177246,24.749916076660156,25.90985679626465,26.30288314819336,20.078832626342773,0,0,21.624343872070312
1788,20.32284164428711,20.05848503112793,29.211904525756836,23.34722328186035,24.46744728088379,27.201126098632812,21.520645141601562,0,0,22.677040100097656
1789,19.912343978881836,20.791122436523438,28.28277015686035,23.79821014404297,27.133708953857422,21.730567932128906,17.888460159301758,0,0,19.710018157958984
1790,20.886960983276367,18.59612274169922,28.803287506103516,23.0579891204834,0,19.99365234375,20.681459426879883,0,0,17.957324981689453
1791,16.20442771911621,15.105687141418457,22.27764129638672,18.105497360229492,0,12.810430526733398,16.50775146484375,0,0,14.017759323120117
1792,18.756502151489258,17.820173263549805,25.843971252441406,19.79820442199707,0,18.32154083251953,20.05016326904297,0,20.09032440185547,16.014482498168945
1793,19.68755531311035,24.493865966796875,27.127426147460938,25.629886627197266,0,20.46328353881836,22.754344940185547,0,23.88303565979004,19.862384796142578
1794,21.875808715820312,21.844011306762695,29.769514083862305,26.548171997070312,26.546741485595703,18.617616653442383,22.23576545715332,0,24.26342010498047,21.328205108642578
1795,21.228342056274414,21.875165939331055,24.608266830444336,22.41877555847168,24.072967529296875,18.67967414855957,23.753124237060547,0,20.872636795043945,17.782119750976562
1796,22.10262680053711,21.698116302490234,27.01422119140625,26.84720802307129,30.136926651000977,24.260656356811523,26.788400650024414,0,22.80826187133789,19.702930450439453
1797,20.389318466186523,20.795690536499023,26.445777893066406,27.13233757019043,29.765451431274414,20.22083854675293,28.579689025878906,0,22.75627899169922,19.682138442993164
1798,18.155738830566406,16.922758102416992,22.21804428100586,24.297489166259766,26.550289154052734,15.953248977661133,19.188199996948242,0,18.701522827148438,17.30760955810547
1799,20.755537033081055,22.184133529663086,29.81838607788086,25.790075302124023,31.365217208862305,23.300750732421875,35.968074798583984,0,20.718528747558594,20.830081939697266
1800,14.456158638000488,16.086973190307617,22.013856887817383,20.615779876708984,20.915388107299805,18.22847557067871,0,0,15.18504810333252,16.539579391479492
1801,19.872377395629883,22.64049530029297,26.103952407836914,23.529773712158203,30.577007293701172,22.730581283569336,0,0,16.611499786376953,18.307470321655273
1802,20.019813537597656,23.716304779052734,28.887144088745117,26.462743759155273,31.216169357299805,23.04896354675293,0,0,22.326087951660156,21.46416473388672
1803,20.499475479125977,22.779062271118164,26.147449493408203,20.778305053710938,25.760372161865234,22.457815170288086,0,0,21.80756187438965,20.48160743713379
1804,17.436115264892578,21.347150802612305,29.068208694458008,22.642465591430664,25.01044273376465,21.270315170288086,0,0,21.080320358276367,19.24644660949707
1805,20.57687759399414,21.527629852294922,28.19305992126465,24.0704402923584,28.585620880126953,24.88484764099121,0,0,21.47475242614746,20.701032638549805
1806,18.135122299194336,21.39108657836914,29.703208923339844,23.706859588623047,28.79619026184082,21.461240768432617,0,0,20.644763946533203,17.871681213378906
1807,13.877798080444336,14.594189643859863,14.865057945251465,21.042404174804688,20.51411247253418,21.957395553588867,0,0,19.96240997314453,15.557598114013672
1808,16.582910537719727,19.477909088134766,27.2468318939209,20.710268020629883,24.325321197509766,22.015195846557617,0,0,21.134868621826172,17.073766708374023
1809,16.928930282592773,21.032665252685547,22.608245849609375,21.430757522583008,20.11809539794922,12.028634071350098,0,0,19.183942794799805,17.727344512939453
1810,16.5096435546875,16.348541259765625,24.755075454711914,18.578123092651367,22.43935203552246,19.326051712036133,0,0,17.185266494750977,15.179559707641602
1811,17.34636878967285,18.82246971130371,32.17270278930664,20.016544342041016,23.76979637145996,23.049556732177734,25.211811065673828,0,19.37203025817871,16.441442489624023
1812,15.343504905700684,16.680587768554688,17.369592666625977,20.430795669555664,16.148569107055664,4.341282367706299,25.4592342376709,0,20.716766357421875,15.773913383483887
1813,19.0654354095459,22.66446304321289,19.84404182434082,22.726181030273438,19.20100212097168,20.077913284301758,31.435012817382812,0,22.710981369018555,19.155590057373047
1814,20.24964141845703,21.197818756103516,29.412900924682617,22.10417938232422,21.61643409729004,21.52876853942871,31.82990264892578,0,20.72794532775879,17.524534225463867
1815,17.88484001159668,18.372041702270508,22.092153549194336,17.50076675415039,20.754758834838867,19.001174926757812,27.922819137573242,0,18.29311180114746,18.49292755126953
1816,16.452762603759766,18.81795883178711,22.173845291137695,17.83632469177246,19.702590942382812,24.447132110595703,24.881511688232422,0,18.862394332885742,15.461639404296875
1817,18.470182418823242,21.78937530517578,25.66770362854004,18.212827682495117,21.998044967651367,20.58066177368164,24.379440307617188,0,19.200462341308594,17.577394485473633
1818,19.886587142944336,19.568378448486328,28.524953842163086,21.23496437072754,26.157283782958984,18.73642921447754,31.26329231262207,0,19.71298599243164,14.836811065673828
1819,16.03891944885254,18.898195266723633,21.7391300201416,26.142704010009766,11.06004810333252,26.277984619140625,24.721904754638672,0,15.644685745239258,10.414785385131836
1820,19.089698791503906,19.32254409790039,24.47905921936035,16.234594345092773,14.755608558654785,11.452493667602539,31.518537521362305,0,19.058595657348633,16.70857810974121
1821,19.13545799255371,20.765134811401367,28.41359519958496,24.42310333251953,21.999839782714844,29.720317840576172,31.465246200561523,0,19.919187545776367,17.780811309814453
1822,23.712215423583984,22.31967544555664,25.67633628845215,25.67877960205078,20.95701789855957,30.247604370117188,29.44163703918457,0,18.680395126342773,17.238025665283203
1823,17.896282196044922,17.976167678833008,17.85698699951172,21.248149871826172,9.909337043762207,15.550615310668945,26.645780563354492,0,15.946417808532715,14.430136680603027
1824,19.46038246154785,19.70244598388672,20.402307510375977,20.503284454345703,17.822490692138672,9.69672966003418,14.761417388916016,0,18.685123443603516,16.772071838378906
1825,12.524599075317383,19.120058059692383,0,17.394071578979492,10.574869155883789,13.507780075073242,18.109542846679688,0,16.010332107543945,8.425233840942383
1826,19.63884162902832,21.575620651245117,19.5792236328125,22.115222930908203,15.973052978515625,11.897262573242188,29.466331481933594,0,17.357223510742188,16.28946876525879
1827,25.442609786987305,23.00929832458496,26.543413162231445,21.063329696655273,20.768123626708984,17.29593276977539,28.638343811035156,0,16.537994384765625,19.245080947875977
1828,20.567867279052734,18.7906551361084,26.892345428466797,23.849660873413086,23.031946182250977,28.71082878112793,35.30609893798828,0,21.250825881958008,17.73862075805664
1829,21.27690315246582,20.228601455688477,22.496610641479492,22.344337463378906,19.28732681274414,31.56788444519043,30.45598793029785,0,20.768211364746094,16.853593826293945
1830,18.25739097595215,7.720020771026611,12.15404987335205,13.192611694335938,11.733763694763184,28.335006713867188,19.250410079956055,0,17.24842643737793,14.530502319335938
1831,25.569561004638672,20.079261779785156,25.468961715698242,23.202924728393555,24.797569274902344,23.209880828857422,39.549373626708984,0,23.447481155395508,19.590700149536133
1832,23.30671501159668,19.970722198486328,24.344757080078125,23.768234252929688,19.94743537902832,36.13571548461914,26.6444034576416,0,21.43767738342285,20.20524787902832
1833,18.91152000427246,20.480005264282227,8.496129989624023,21.324438095092773,16.77542495727539,0,0,0,19.795879364013672,18.078832626342773
1834,24.221153259277344,18.66895866394043,22.920438766479492,22.43809700012207,23.511417388916016,26.863536834716797,0,11.560348510742188,21.013534545898438,18.342655181884766
1835,24.571617126464844,22.75634765625,28.569303512573242,22.65180778503418,25.769758224487305,32.71976852416992,38.35713195800781,14.113216400146484,23.618663787841797,21.053800582885742
1836,21.071929931640625,16.96595573425293,23.639007568359375,22.545969009399414,20.569381713867188,34.56856918334961,0,15.950833320617676,22.36882781982422,14.998285293579102
1837,22.690271377563477,20.88703155517578,20.790332794189453,23.306697845458984,17.525442123413086,34.785118103027344,36.5607795715332,14.74374008178711,20.36895751953125,17.242721557617188
1838,17.560279846191406,15.142236709594727,19.07941246032715,14.721302032470703,18.884984970092773,22.861936569213867,21.197940826416016,13.126007080078125,18.22618865966797,16.00666618347168
1839,25.889148712158203,22.018930435180664,26.149187088012695,23.109207153320312,21.515317916870117,33.25056457519531,27.085947036743164,15.136625289916992,22.19355583190918,22.345176696777344
1840,24.4488582611084,20.064626693725586,26.35920524597168,22.662521362304688,22.932985305786133,35.35126876831055,29.90930938720703,13.986573219299316,25.05750274658203,19.613893508911133
1841,20.305755615234375,16.514163970947266,28.153039932250977,23.136159896850586,26.40127182006836,35.00224304199219,37.18708801269531,13.477429389953613,0,14.473870277404785
1842,24.827598571777344,16.828439712524414,29.335472106933594,27.410356521606445,23.944719314575195,41.02090072631836,36.43038558959961,13.531227111816406,0,22.363744735717773
1843,20.332286834716797,17.49704933166504,17.45123863220215,22.59455108642578,18.08434295654297,0,0,14.804033279418945,0,15.861570358276367
1844,17.703771591186523,19.80341911315918,23.543352127075195,21.809484481811523,22.212003707885742,0,27.63422203063965,13.468944549560547,0,17.87911033630371
1845,18.978412628173828,15.533726692199707,19.30253028869629,20.821819305419922,19.385587692260742,0,30.809040069580078,12.663616180419922,0,16.146419525146484
1846,21.360292434692383,14.653295516967773,25.813011169433594,22.052322387695312,23.499719619750977,0,34.02186965942383,12.923796653747559,0,19.300336837768555
1847,22.766740798950195,18.916688919067383,20.220951080322266,22.325698852539062,20.03181266784668,0,31.12001609802246,15.669163703918457,0,22.387121200561523
1848,17.92538833618164,14.972712516784668,19.257253646850586,19.837400436401367,20.818702697753906,0,26.082759857177734,15.935895919799805,0,17.29960060119629
1849,19.570585250854492,17.962614059448242,19.811466217041016,15.738663673400879,15.798218727111816,21.317520141601562,12.470890045166016,15.926359176635742,0,15.23196029663086
1850,25.932714462280273,23.147981643676758,28.259254455566406,21.283180236816406,22.591894149780273,30.8626708984375,37.22842788696289,18.706090927124023,0,17.549360275268555
1851,18.46070098876953,16.695823669433594,23.349105834960938,25.003446578979492,19.749897003173828,21.202465057373047,30.933176040649414,16.07818603515625,0,14.112823486328125
1852,25.098217010498047,18.989213943481445,30.44541358947754,20.215511322021484,24.16068458557129,20.451459884643555,34.013641357421875,18.166751861572266,0,16.86018943786621
1853,21.020923614501953,14.369840621948242,24.95675277709961,21.502450942993164,25.17296600341797,15.442172050476074,32.485107421875,16.791885375976562,0,14.99532699584961
1854,21.45147132873535,16.283172607421875,20.71614646911621,24.093969345092773,21.014991760253906,14.490015983581543,33.26061248779297,20.239593505859375,12.51418399810791,15.706643104553223
1855,20.441415786743164,16.442996978759766,24.61397933959961,21.49863624572754,20.93650245666504,13.883218765258789,30.6133975982666,17.40053939819336,18.209915161132812,16.524763107299805
1856,18.58253288269043,13.962164878845215,23.612531661987305,19.83395767211914,24.344772338867188,13.764606475830078,30.516176223754883,18.688106536865234,26.945077896118164,15.39253044128418
1857,27.124267578125,17.399824142456055,25.2509708404541,29.54863929748535,26.22385025024414,18.71823501586914,30.01629638671875,20.53374671936035,0,19.075660705566406
1858,25.71133041381836,20.17516326904297,29.363872528076172,31.990020751953125,28.562469482421875,20.756553649902344,37.76005935668945,19.59308624267578,23.576932907104492,22.815013885498047
1859,19.23390007019043,15.884469032287598,22.205175399780273,21.97164535522461,21.790494918823242,15.371538162231445,23.674814224243164,17.986806869506836,20.353633880615234,18.051862716674805
1860,19.534318923950195,17.664583206176758,30.8004207611084,25.950895309448242,22.50660514831543,14.883956909179688,25.82003402709961,19.84879493713379,28.374372482299805,15.860025405883789
1861,23.785053253173828,18.959856033325195,27.58492660522461,26.630882263183594,29.666799545288086,17.470930099487305,25.39694595336914,21.224956512451172,28.755298614501953,23.277389526367188
1862,23.314777374267578,20.0694637298584,30.735761642456055,27.400602340698242,26.7554874420166,20.444503784179688,31.83149528503418,21.03730010986328,29.124649047851562,26.654306411743164
1863,16.138795852661133,13.825563430786133,23.913406372070312,24.319488525390625,27.575634002685547,12.852643013000488,33.15986251831055,19.689617156982422,27.387290954589844,24.577192306518555
1864,21.564882278442383,18.311912536621094,25.841476440429688,25.733449935913086,26.309917449951172,15.837846755981445,0,21.438610076904297,30.010334014892578,29.906360626220703
1865,22.00471305847168,15.83836841583252,27.087369918823242,22.623754501342773,25.00706672668457,13.720101356506348,19.658615112304688,20.77225112915039,29.395109176635742,27.05915641784668
1866,21.360393524169922,17.177186965942383,21.284114837646484,23.39753532409668,21.718706130981445,19.95045280456543,19.042089462280273,21.21718978881836,23.248136520385742,28.57646369934082
1867,18.408302307128906,13.641220092773438,18.62840461730957,21.083311080932617,21.79245376586914,16.84771156311035,16.65597152709961,18.991832733154297,21.634931564331055,15.893085479736328
1868,23.271753311157227,18.461748123168945,30.58554458618164,24.74350929260254,29.470134735107422,21.440645217895508,24.39301109313965,23.327219009399414,30.21826934814453,25.56907844543457
1869,23.32841682434082,22.949161529541016,13.340912818908691,24.456735610961914,21.274751663208008,0,23.08151626586914,19.36238670349121,20.133886337280273,21.485605239868164
1870,18.299728393554688,13.95965576171875,25.361427307128906,14.611604690551758,17.93585205078125,25.15384292602539,20.783357620239258,17.822172164916992,16.206544876098633,18.04237174987793
1871,25.558942794799805,19.687219619750977,28.648298263549805,26.245716094970703,25.116962432861328,25.580623626708984,23.936019897460938,22.533510208129883,27.347469329833984,23.931320190429688
1872,22.42665672302246,17.774524688720703,20.466861724853516,25.054418563842773,21.672456741333008,20.868898391723633,21.24286460876465,21.055721282958984,28.744340896606445,23.551668167114258
1873,15.4039306640625,18.540021896362305,26.193233489990234,25.354576110839844,20.546344757080078,22.746610641479492,17.305574417114258,20.443885803222656,22.880537033081055,17.466190338134766
1874,21.785802841186523,19.00484848022461,24.01891326904297,23.839658737182617,15.258891105651855,24.298906326293945,23.04666519165039,22.26095962524414,23.880207061767578,22.033512115478516
1875,27.86685562133789,17.552326202392578,30.689117431640625,23.4457950592041,20.026317596435547,19.842472076416016,26.865318298339844,21.395118713378906,34.64309310913086,20.046987533569336
1876,22.766923904418945,17.889484405517578,22.988637924194336,21.501083374023438,22.85373306274414,21.03128433227539,21.273290634155273,20.91864776611328,25.94712257385254,20.01549530029297
1877,28.98455810546875,18.714828491210938,30.94833755493164,22.87434959411621,28.323488235473633,19.887733459472656,24.543102264404297,23.211366653442383,35.03124237060547,19.352556228637695
1878,7.774596691131592,11.420215606689453,30.039575576782227,19.73624610900879,30.16775131225586,17.771595001220703,25.352760314941406,19.168153762817383,34.49115753173828,17.96327018737793
1879,28.709943771362305,19.891090393066406,26.357816696166992,24.45770835876465,27.99951934814453,20.535545349121094,25.313623428344727,24.504419326782227,36.300132751464844,15.190801620483398
1880,17.182430267333984,17.264413833618164,30.02019500732422,29.47067642211914,28.380359649658203,19.524940490722656,27.231189727783203,23.65282440185547,36.32724380493164,12.124387741088867
