year,RWDKHA_03_,RWDKHA_06_,RWDKHA_09_,RWDKHA_12_,RWDKHA_14_,RWDKHA_15_,RWDKHA_16_,RWDKHA_17_,RWDKHA_19_,RWDKHA_20_
1680,0,0.7463257312774658
1681,0,0.6787877678871155
1682,0,0.6477624773979187
1683,0,0.5736757516860962
1684,0,0.5442557334899902
1685,0,0.537197470664978
1686,0,0.48950764536857605
1687,0,0.5405327677726746,0.5438518524169922
1688,0,0.6145113110542297,0.5239651203155518
1689,0,0.6152562499046326,0.528923511505127
1690,0,0.6225976943969727,0.5374952554702759
1691,0,0.5976137518882751,0.6095806360244751
1692,0,0.5192500948905945,0.5478840470314026
1693,0,0.6039263606071472,0.5736569166183472
1694,0,0.6338813900947571,0.6826139688491821
1695,0,0.5305018424987793,0.5767723321914673
1696,0,0.5494435429573059,0.6380536556243896
1697,0,0.5226290225982666,0.5398741364479065
1698,0,0.5482629537582397,0.5545443296432495
1699,0,0.6238440871238708,0.5987570285797119
1700,0,0.5811523199081421,0.6552777290344238
1701,0,0.6366368532180786,0.5735927224159241
1702,0,0.5855954885482788,0.572177529335022
1703,0,0.6364990472793579,0.5603374242782593
1704,0,0.6427167654037476,0.5895420908927917
1705,0,0.5496331453323364,0.6550801992416382
1706,0,0.5657643675804138,0.6163042783737183
1707,0,0.6539353728294373,0.6286259293556213
1708,0,0.7133357524871826,0.5954965353012085
1709,0,0.5840506553649902,0.6364446878433228,0,0.5491684079170227
1710,0,0.653679609298706,0.6172498464584351,0,0.4446445405483246
1711,0,0.6588776111602783,0.6663849949836731,0,0.4856663644313812
1712,0,0.5296772718429565,0.5806189775466919,0,0.47060006856918335
1713,0,0.6222432851791382,0.7036247253417969,0,0.5010626912117004,0.5916610956192017
1714,0,0.6546652913093567,0.626987636089325,0,0.4563470184803009,0.5410428643226624
1715,0,0.5996825098991394,0.6695106029510498,0,0.5108839273452759,0.5545946955680847
1716,0,0.6264327764511108,0.7402628660202026,0,0.46664199233055115,0.5674102306365967
1717,0,0.6009206771850586,0.7451747059822083,0,0.4887102246284485,0.5438161492347717
1718,0,0.589945912361145,-999,0,0.519097089767456,0.5462045669555664
1719,0,0.6292878985404968,0.6758594512939453,0,0.49944955110549927,0.5784198641777039,0,0,0,-999
1720,0,0.7215219140052795,0.7320767045021057,0,0.5235187411308289,0.6260228753089905,0,0,0,0.5324022769927979
1721,0,0.6400974988937378,0.6897813081741333,0,0.6002293825149536,0.5915893912315369,0,0,0,0.6556596159934998
