year,CWTleKHA_03_,CWTleKHA_06_,CWTleKHA_09_,CWTleKHA_12_,CWTleKHA_14_,CWTleKHA_15_,CWTleKHA_16_,CWTleKHA_17_,CWTleKHA_19_,CWTleKHA_20_
1680,0,3.3736367225646973
1681,0,2.974658250808716
1682,0,2.7254955768585205
1683,0,2.585874319076538
1684,0,2.2701308727264404
1685,0,2.2298574447631836
1686,0,2.244795799255371
1687,0,2.3953630924224854,3.5811336040496826
1688,0,2.5575108528137207,3.3848133087158203
1689,0,2.6109089851379395,3.7787392139434814
1690,0,2.715754747390747,3.56438946723938
1691,0,2.50614857673645,4.225174903869629
1692,0,2.3924386501312256,3.878171682357788
1693,0,2.9898951053619385,3.69098162651062
1694,0,2.9545822143554688,4.454699516296387
1695,0,2.5127615928649902,3.9209253787994385
1696,0,2.3744001388549805,3.6141719818115234
1697,0,2.3321428298950195,3.5395448207855225
1698,0,2.3065805435180664,3.1424434185028076
1699,0,2.3771731853485107,3.2827367782592773
1700,0,2.498728036880493,4.095762252807617
1701,0,2.862271547317505,3.823115348815918
1702,0,2.2314252853393555,3.516979932785034
1703,0,2.954463481903076,3.7256112098693848
1704,0,2.9778530597686768,3.780963897705078
1705,0,2.6865415573120117,4.333584308624268
1706,0,2.752048969268799,4.0731048583984375
1707,0,3.398003578186035,4.683996677398682
1708,0,3.5839273929595947,5.096646785736084
1709,0,3.0376908779144287,4.253033638000488,0,3.435199737548828
1710,0,3.485301971435547,4.190816402435303,0,2.7341296672821045
1711,0,3.6961944103240967,4.832082748413086,0,2.977525472640991
1712,0,2.646921157836914,3.817220449447632,0,2.9197309017181396
1713,0,3.186222553253174,4.627264976501465,0,3.2097086906433105,4.095649242401123
1714,0,3.418735980987549,4.512877464294434,0,2.663309097290039,3.264674663543701
1715,0,3.3731815814971924,4.8559699058532715,0,3.014497756958008,3.9525537490844727
1716,0,3.5451242923736572,5.883783340454102,0,2.769472360610962,3.916290760040283
1717,0,3.2514829635620117,6.646754264831543,0,3.0908257961273193,3.426555871963501
1718,0,2.7627670764923096,5.900793552398682,0,3.085566282272339,2.7605233192443848
1719,0,3.676755905151367,5.559853553771973,0,3.2224557399749756,3.8912434577941895,0,0,0,2.250225067138672
1720,0,4.218095779418945,6.480072975158691,0,3.391300678253174,3.91432523727417,0,0,0,3.8291397094726562
1721,0,3.2487268447875977,4.671517848968506,0,3.6795661449432373,3.360870599746704,0,0,0,3.7948031425476074
1722,0,3.290862560272217,4.493101119995117,0,3.0809884071350098,3.776477098464966,0,0,0,3.8294761180877686
1723,0,3.3754656314849854,3.859189510345459,0,3.106147527694702,3.5977654457092285,0,0,0,4.1454668045043945
1724,0,4.271444797515869,4.12368106842041,0,3.006014823913574,3.70426082611084,0,0,0,4.255419731140137
1725,0,3.7215254306793213,4.602383136749268,0,3.7585811614990234,3.9043526649475098,0,0,0,3.994474172592163
1726,0,3.92333722114563,4.722620010375977,0,3.607621669769287,3.668692111968994,0,0,0,3.9666552543640137
1727,0,4.011168956756592,5.702098369598389,0,3.360383987426758,3.8613078594207764,0,0,0,4.083258152008057
1728,0,4.188161373138428,5.320126056671143,0,3.3690710067749023,4.896529197692871,0,0,0,4.059655666351318
1729,0,3.4795126914978027,4.481106758117676,0,3.4560933113098145,3.760227918624878,0,0,0,3.954169273376465
1730,0,3.7465062141418457,4.642390251159668,0,3.418480157852173,4.369328498840332,0,0,0,4.294904708862305
1731,0,2.4640228748321533,3.0307388305664062,0,2.5181331634521484,2.5365653038024902,0,0,0,3.2929060459136963
1732,0,3.258695363998413,3.5677804946899414,0,2.762617349624634,3.140777587890625,0,0,0,3.7554426193237305
1733,0,3.960232973098755,3.6982500553131104,0,2.8569939136505127,3.97444486618042,0,0,0,3.8938934803009033
1734,0,4.519287586212158,4.5578227043151855,0,3.4499549865722656,5.137860298156738,0,0,0,4.865002632141113
1735,0,4.3962202072143555,4.907712459564209,0,3.4104716777801514,3.8549764156341553,0,0,0,4.325601100921631
1736,0,3.71407151222229,3.744180202484131,0,3.308218002319336,4.462216854095459,0,0,0,4.298888206481934
1737,0,3.852182388305664,4.040531158447266,0,3.162827253341675,5.02012300491333,0,0,0,3.89202618598938
1738,0,3.1659622192382812,3.4058332443237305,0,2.999732732772827,2.643580913543701,0,0,0,3.4360511302948
1739,0,3.6659507751464844,3.7897942066192627,0,2.8366353511810303,4.338534355163574,0,0,0,4.22327184677124
1740,-999,4.645686149597168,4.285534381866455,0,3.2566561698913574,4.36633825302124,0,0,0,4.465569019317627
1741,-999,3.2610459327697754,3.624147415161133,0,3.0786662101745605,2.748345375061035,0,0,0,4.513790607452393
1742,-999,3.5608513355255127,3.8407862186431885,0,4.0536017417907715,3.231682538986206,0,0,0,3.1631221771240234
1743,-999,4.0779032707214355,4.49738883972168,0,3.056997776031494,5.119253158569336,0,0,0,4.746520519256592
1744,-999,5.655977725982666,5.434872627258301,0,3.099552869796753,5.08563232421875,-999,0,0,5.343868255615234
1745,-999,4.9106855392456055,4.96243143081665,0,3.2674002647399902,4.414974212646484,-999,0,0,4.020500659942627
1746,4.315436840057373,3.3640286922454834,4.1018476486206055,0,3.1454803943634033,3.635798931121826,3.1287522315979004,0,0,4.619275093078613
1747,3.1343700885772705,5.40772819519043,4.658130168914795,0,2.8433401584625244,5.238531589508057,3.4642038345336914,0,0,5.09486722946167
1748,3.692310094833374,3.89939546585083,4.957239627838135,0,3.220895767211914,3.8179523944854736,3.937711000442505,0,0,4.1212310791015625
