year,CD*KHA_03_,CD*KHA_06_,CD*KHA_09_,CD*KHA_12_,CD*KHA_14_,CD*KHA_15_,CD*KHA_16_,CD*KHA_17_,CD*KHA_19_,CD*KHA_20_
1680,0,431.3971862792969
1681,0,1228.46728515625
1682,0,1454.1021728515625
1683,0,1778.1939697265625
1684,0,2111.134521484375
1685,0,2292.657958984375
1686,0,2051.566162109375
1687,0,2207.283447265625,1050.1446533203125
1688,0,2795.99267578125,1252.4134521484375
1689,0,2925.082763671875,1285.308349609375
1690,0,3026.93359375,1515.872314453125
1691,0,2942.71533203125,1428.0157470703125
1692,0,2443.4912109375,1321.0264892578125
1693,0,2863.937744140625,1415.1231689453125
1694,0,3025.164306640625,1810.3834228515625
1695,0,2617.20654296875,1501.552001953125
1696,0,3470.81201171875,2212.265625
1697,0,3029.586669921875,1546.84814453125
1698,0,3455.32470703125,2012.379150390625
1699,0,4361.81298828125,1969.7471923828125
1700,0,3417.74658203125,1661.5399169921875
1701,0,3214.068359375,1418.73876953125
1702,0,4185.2314453125,1797.3134765625
1703,0,3484.19873046875,1446.3631591796875
1704,0,3250.542724609375,1325.467041015625
1705,0,2606.311767578125,1198.4384765625
1706,0,2638.384521484375,1096.9130859375
1707,0,2725.448974609375,1085.2135009765625
1708,0,2997.701904296875,777.4313354492188
1709,0,2410.010498046875,1083.3001708984375,0,1183.814697265625
1710,0,2396.75439453125,954.1615600585938,0,1542.3729248046875
1711,0,2413.577392578125,1017.8740844726562,0,1589.6260986328125
1712,0,1860.0218505859375,1131.8524169921875,0,1490.382080078125
1713,0,2115.174560546875,1095.994384765625,0,1539.426513671875,0
1714,0,2556.680419921875,862.4706420898438,0,1568.09228515625,0
1715,0,1896.6214599609375,835.1576538085938,0,1496.369873046875,0
1716,0,1794.8048095703125,524.506103515625,0,1379.16845703125,0
1717,0,1590.5206298828125,629.23583984375,0,1396.4403076171875,0
1718,0,2682.5849609375,429.643798828125,0,1724.2047119140625,0
1719,0,1623.137451171875,641.0862426757812,0,1428.1558837890625,0,0,0,0,1.4777580499649048
1720,0,1769.3553466796875,629.2304077148438,0,1500.255859375,0,0,0,0,472.6219787597656
1721,0,1913.993896484375,1370.8739013671875,0,1828.1717529296875,0,0,0,0,1544.4605712890625
1722,0,1930.1456298828125,1058.6031494140625,0,1423.7550048828125,0,0,0,0,1128.6705322265625
1723,0,2044.8677978515625,1086.29638671875,0,1641.2886962890625,0,0,0,0,1041.8350830078125
1724,0,2215.3525390625,969.0736083984375,0,1549.603271484375,0,0,0,0,1158.6058349609375
1725,0,1878.8935546875,969.564453125,0,1549.4266357421875,0,0,0,0,1242.7520751953125
1726,0,2207.987060546875,797.87158203125,0,1128.89892578125,0,0,0,0,1130.8604736328125
1727,0,1632.923095703125,831.2329711914062,0,1137.6015625,0,0,0,0,1041.99951171875
1728,0,1926.700439453125,1002.6707153320312,0,1130.33251953125,0,0,0,0,1397.9337158203125
1729,0,1283.2303466796875,942.110107421875,0,1066.0616455078125,0,0,0,0,1193.181396484375
1730,0,1369.80224609375,925.2640991210938,0,1636.9403076171875,0,0,0,0,1352.0789794921875
1731,0,1124.4617919921875,1028.9300537109375,0,1432.392333984375,0,0,0,0,1221.2591552734375
1732,0,1279.4105224609375,1294.291259765625,0,1840.93701171875,0,0,0,0,1155.9822998046875
1733,0,1293.507080078125,991.4492797851562,0,1339.646240234375,0,0,0,0,1150.430419921875
1734,0,1396.4415283203125,945.0716552734375,0,1437.884033203125,0,0,0,0,1375.2183837890625
1735,0,1498.3477783203125,1120.55712890625,0,1468.731689453125,0,0,0,0,1326.329345703125
1736,0,1245.068359375,893.8793334960938,0,1367.8499755859375,0,0,0,0,1117.7552490234375
1737,0,1179.9388427734375,892.7478637695312,0,1437.6297607421875,0,0,0,0,1377.2720947265625
