year,Dh2KHA_03_,Dh2KHA_06_,Dh2KHA_09_,Dh2KHA_12_,Dh2KHA_14_,Dh2KHA_15_,Dh2KHA_16_,Dh2KHA_17_,Dh2KHA_19_,Dh2KHA_20_
1680,0,11.012249946594238
1681,0,12.1307373046875
1682,0,11.204580307006836
1683,0,13.86177921295166
1684,0,14.117728233337402
1685,0,13.977826118469238
1686,0,15.312862396240234
1687,0,15.501700401306152,17.2772274017334
1688,0,13.097099304199219,16.807470321655273
1689,0,13.295206069946289,17.517147064208984
1690,0,13.768633842468262,17.527271270751953
1691,0,13.753918647766113,15.24654769897461
1692,0,16.076324462890625,18.44757652282715
1693,0,14.724896430969238,17.973243713378906
1694,0,13.995054244995117,15.27332878112793
1695,0,16.09385108947754,17.231740951538086
1696,0,13.368707656860352,14.691892623901367
1697,0,14.88426399230957,18.3448543548584
1698,0,14.547142028808594,17.127233505249023
1699,0,9.54374885559082,14.276928901672363
1700,0,14.217429161071777,17.0614070892334
1701,0,14.321348190307617,16.84168243408203
1702,0,12.180404663085938,16.64436149597168
1703,0,13.242352485656738,17.465211868286133
1704,0,14.07935905456543,18.439594268798828
1705,0,16.43501091003418,17.411869049072266
1706,0,15.935466766357422,18.51353645324707
1707,0,15.144308090209961,16.917827606201172
1708,0,13.526042938232422,17.571224212646484
1709,0,16.454715728759766,18.176860809326172,0,18.009986877441406
1710,0,16.007061004638672,18.037460327148438,0,17.866947174072266
1711,0,15.678067207336426,18.05491828918457,0,17.49347496032715
1712,0,18.33844757080078,20.249500274658203,0,18.84633445739746
1713,0,17.06659698486328,17.79796028137207,0,17.775148391723633,20.902671813964844
1714,0,14.837000846862793,17.824979782104492,0,17.33502960205078,18.584491729736328
1715,0,17.719430923461914,17.113277435302734,0,17.863061904907227,22.05321502685547
1716,0,17.661060333251953,17.043935775756836,0,17.847265243530273,21.878355026245117
1717,0,19.021347045898438,15.254000663757324,0,19.04058265686035,21.39000129699707
1718,0,15.055453300476074,16.24887466430664,0,18.138599395751953,16.06913948059082
1719,0,18.173572540283203,19.586835861206055,0,18.826557159423828,20.741308212280273,0,0,0,10.967256546020508
1720,0,17.015533447265625,16.73195457458496,0,18.916114807128906,19.894214630126953,0,0,0,19.160058975219727
1721,0,16.440937042236328,14.609881401062012,0,16.61557388305664,19.052614212036133,0,0,0,18.264137268066406
1722,0,17.185771942138672,18.768474578857422,0,18.296262741088867,18.220041275024414,0,0,0,19.31172752380371
1723,0,16.789539337158203,19.745359420776367,0,18.734994888305664,20.259742736816406,0,0,0,20.932844161987305
1724,0,15.095730781555176,20.57493019104004,0,17.130050659179688,18.71178436279297,0,0,0,18.625444412231445
1725,0,16.51917839050293,19.585241317749023,0,18.73884391784668,18.029800415039062,0,0,0,18.368209838867188
1726,0,15.639837265014648,20.1203670501709,0,19.606460571289062,18.534847259521484,0,0,0,19.219038009643555
1727,0,16.876047134399414,19.064714431762695,0,19.9725399017334,18.776100158691406,0,0,0,18.732633590698242
1728,0,15.369845390319824,18.373085021972656,0,18.95289421081543,17.408153533935547,0,0,0,18.857555389404297
1729,0,18.878217697143555,21.715234756469727,0,20.652780532836914,21.07413673400879,0,0,0,18.530193328857422
1730,0,17.99889373779297,22.46626091003418,0,18.935815811157227,21.002397537231445,0,0,0,18.767234802246094
1731,0,18.751781463623047,24.288387298583984,0,20.948143005371094,23.927139282226562,0,0,0,19.397085189819336
1732,0,18.102020263671875,22.094335556030273,0,18.864444732666016,22.611940383911133,0,0,0,19.351186752319336
1733,0,18.229318618774414,23.865516662597656,0,20.203351974487305,22.519208908081055,0,0,0,19.854490280151367
1734,0,17.9523983001709,22.91766929626465,0,19.249656677246094,20.904098510742188,0,0,0,16.975738525390625
1735,0,17.425395965576172,19.479393005371094,0,19.54234504699707,21.53843879699707,0,0,0,18.282238006591797
1736,0,18.332489013671875,24.78203773498535,0,20.41872787475586,22.73430061340332,0,0,0,19.467914581298828
1737,0,19.156116485595703,23.727649688720703,0,20.08047866821289,21.913593292236328,0,0,0,18.6818904876709
1738,0,17.664602279663086,21.527000427246094,0,19.109167098999023,21.957250595092773,0,0,0,17.85293197631836
1739,0,20.28463363647461,25.140439987182617,0,20.202878952026367,21.558666229248047,0,0,0,18.04419708251953
1740,0,19.74176025390625,23.352266311645508,0,20.14179229736328,22.425128936767578,0,0,0,18.958423614501953
1741,0,20.39119529724121,25.27640724182129,0,20.243680953979492,22.653470993041992,0,0,0,17.489160537719727
1742,0,16.449613571166992,21.296178817749023,0,10.754626274108887,17.234790802001953,0,0,0,17.706621170043945
1743,0,20.498727798461914,25.14299774169922,0,20.074748992919922,20.95703887939453,0,0,0,16.821239471435547
1744,0,17.050039291381836,20.5642032623291,0,20.553220748901367,19.398983001708984,10.00778579711914,0,0,15.202605247497559
1745,0,17.434167861938477,17.552583694458008,0,20.87346839904785,20.43889617919922,0,0,0,19.189308166503906
1746,19.014524459838867,22.243417739868164,21.77774429321289,0,21.213138580322266,22.08061408996582,24.099252700805664,0,0,17.841533660888672
1747,19.1265811920166,19.303312301635742,21.41053581237793,0,21.997116088867188,19.618112564086914,18.61895751953125,0,0,17.702396392822266
1748,19.24640655517578,20.50912094116211,17.871646881103516,0,21.85577392578125,25.81011199951172,20.893909454345703,0,0,17.71834373474121
1749,17.699811935424805,20.406423568725586,22.138839721679688,0,20.118816375732422,24.175451278686523,20.04775619506836,0,0,17.26082420349121
1750,19.32421112060547,18.88714599609375,18.521312713623047,0,21.432064056396484,23.05753517150879,18.130468368530273,0,0,16.715179443359375
1751,17.432958602905273,18.507761001586914,19.540843963623047,0,20.016611099243164,25.562593460083008,19.855924606323242,0,0,16.94221305847168
1752,18.068035125732422,19.77060890197754,23.944486618041992,0,22.027767181396484,23.69852066040039,19.592409133911133,0,0,15.909011840820312
1753,17.81709861755371,17.08714485168457,19.374996185302734,0,20.84547996520996,23.14978790283203,17.40117073059082,0,0,17.774036407470703
1754,18.867048263549805,20.60037612915039,19.534761428833008,0,21.13689613342285,28.4345645904541,18.982017517089844,0,0,17.782320022583008
1755,17.975378036499023,21.379167556762695,21.119651794433594,0,19.83665657043457,27.827098846435547,19.429397583007812,0,0,17.784852981567383
1756,20.258129119873047,24.972139358520508,22.38724136352539,0,21.825016021728516,26.22097396850586,19.867855072021484,0,0,18.27630615234375
1757,18.617599487304688,22.070270538330078,21.877384185791016,0,21.803239822387695,20.902915954589844,16.82175064086914,0,0,15.826915740966797
1758,16.322269439697266,23.432565689086914,21.459558486938477,0,20.149341583251953,21.807315826416016,18.03944969177246,0,0,16.544363021850586
1759,20.734159469604492,19.484758377075195,20.36181640625,0,20.372236251831055,19.49150276184082,17.250452041625977,0,0,16.44475746154785
1760,20.152873992919922,20.013011932373047,12.694140434265137,0,9.524515151977539,18.226943969726562,19.527734756469727,0,0,15.989544868469238
1761,21.615188598632812,20.766756057739258,19.354633331298828,10.775871276855469,18.22909164428711,23.224742889404297,20.02248764038086,0,0,16.029762268066406
1762,20.012453079223633,21.909624099731445,19.133586883544922,12.678942680358887,20.83531379699707,23.81513786315918,20.866235733032227,0,0,16.49735450744629
1763,18.940608978271484,19.954456329345703,19.085689544677734,13.666095733642578,21.984312057495117,23.947526931762695,20.570911407470703,0,0,14.558353424072266
1764,19.756614685058594,20.98413848876953,18.781593322753906,17.54950523376465,21.774778366088867,26.39315414428711,21.07093620300293,0,0,17.814836502075195
1765,21.94457244873047,21.6540584564209,22.248498916625977,18.011642456054688,23.23579978942871,22.20319366455078,17.932327270507812,0,0,16.58734703063965
1766,16.59341049194336,21.901487350463867,18.75498390197754,14.62719440460205,22.330617904663086,24.08477210998535,18.90372085571289,0,0,15.725394248962402
1767,20.665884017944336,22.958234786987305,24.374183654785156,19.080333709716797,22.857603073120117,23.130460739135742,20.40534782409668,0,0,15.70546817779541
1768,18.4302978515625,21.921510696411133,21.269399642944336,18.7491455078125,22.26042366027832,21.5782413482666,21.263370513916016,0,0,17.15806770324707
1769,21.411991119384766,22.757890701293945,22.199947357177734,19.103519439697266,22.134178161621094,21.955759048461914,18.596723556518555,0,0,17.815282821655273
1770,19.224124908447266,19.196163177490234,19.95052146911621,17.610198974609375,21.67068099975586,18.754276275634766,18.06695556640625,0,0,16.256275177001953
1771,20.13266944885254,20.390657424926758,19.281831741333008,18.031896591186523,20.433704376220703,21.395349502563477,16.945608139038086,0,0,17.08879852294922
1772,22.75558090209961,21.457561492919922,19.707674026489258,19.790231704711914,21.2180118560791,21.95230484008789,18.299238204956055,0,0,17.731077194213867
1773,23.01752281188965,20.98335075378418,19.85223960876465,20.168567657470703,20.167259216308594,21.965389251708984,20.714134216308594,0,0,19.59294319152832
1774,22.478281021118164,23.831249237060547,24.429851531982422,19.167713165283203,22.715543746948242,24.945409774780273,20.97972297668457,0,0,18.311206817626953
1775,20.03740882873535,23.388376235961914,22.277469635009766,19.203041076660156,22.19750213623047,21.984821319580078,17.863252639770508,0,0,15.944008827209473
1776,20.36746597290039,21.551891326904297,19.759355545043945,18.76546287536621,21.353540420532227,20.289030075073242,17.952051162719727,0,0,15.155306816101074
1777,22.462120056152344,22.515003204345703,22.87236785888672,20.683692932128906,21.981754302978516,20.86764144897461,18.270214080810547,0,0,15.233664512634277
