year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1758,8595.59375,8787.53125,10202.359375,0,7514.5859375,1326.109375,6807.9375,0,0,6021.015625
1759,8949.5078125,400.65625,10493.3515625,0,7754.0625,1710.4140625,7298.46875,0,0,6255.421875
1760,9086.4765625,559.59375,10528.9765625,0,7767.828125,1785.75,7496.28125,0,0,6315.90625
1761,9435.921875,837.5859375,10655.0625,589.6953125,7859.921875,2265.84375,7882.15625,0,0,6513.1640625
1762,9785.9609375,1121.9765625,10779.515625,1288.5546875,7956.5625,2691.5546875,8125.6796875,0,0,6733.453125
1763,10219.640625,1460.1953125,11092.9296875,2456.828125,8153.9921875,3227.2578125,8451.765625,0,0,6997.265625
1764,10610.9375,1671.8125,11343.0859375,3371.65625,8342.2109375,3550.75,8705.796875,0,0,7291.3359375
1765,11309.125,2186.5703125,11751.515625,4414.3984375,8651.3046875,4059.671875,9241.7421875,0,0,7669.2265625
1766,11864.0078125,2745.3671875,1279.6015625,5527.828125,8940.25,4720.2109375,9643.328125,0,0,8097.328125
1767,12643.296875,3388.4453125,1758.9453125,6360.4296875,9269.421875,5405.125,10115.890625,0,0,8606.484375
1768,13138.359375,3820.6171875,2082.5625,716.3359375,9492.890625,5671.9296875,10470.3515625,0,0,8953.5859375
1769,13753.265625,4517.9453125,2789.0625,1494.640625,9921.4609375,6528.046875,11012.2109375,0,0,9382.09375
1770,1149.9375,4882.625,3098.2421875,1910.0625,10081.640625,6748.390625,11325.8359375,0,0,9571.9140625
1771,1322.953125,5055.8515625,3288.953125,2210.875,10226.2109375,6857.1015625,11420.3515625,0,0,9635.5625
1772,1598.625,5347.046875,3487.6640625,2708.984375,10359.9453125,7053.4140625,417.671875,0,0,9831.78125
1773,1750.8515625,5452.796875,3545.609375,2990.328125,10422.421875,7131.3671875,554.875,0,0,9942.2734375
1774,2289.921875,5912.109375,3832.546875,3350.4453125,10614.5703125,7590.46875,1016.2578125,0,0,10279.25
1775,3194.1875,6462.875,4175.765625,3809.28125,10823.4296875,8125.484375,1635.7890625,0,0,10811.8515625
1776,3771.40625,6896.6328125,4434.78125,4303.3828125,10992.1953125,8290.921875,2147.7578125,0,0,11218.90625
1777,4390.8203125,7380.046875,4860.203125,5097.3046875,11267.6484375,8890.8125,2807.6875,0,0,11690.6484375
1778,5067.734375,7848.6015625,5269.6328125,5794.0625,11472.453125,9460.296875,3411.546875,0,0,3007.3984375
1779,5411.2109375,8227.1953125,5513.8828125,6233.3046875,11648.4140625,9556.3828125,3742.40625,0,0,3258.484375
1780,5707.421875,8627.953125,5820.9140625,1339.03125,11820.265625,9887.484375,4051.7421875,0,0,3546.5703125
1781,5996.90625,8904.40625,5962.9609375,1767.4375,11919.15625,10050.34375,4379.8515625,0,0,3765.6796875
1782,6503.1953125,9371.140625,6378.59375,2341.7890625,12143.0859375,10611.90625,4874.984375,0,0,4078.859375
1783,6918.890625,9760.1015625,6731.234375,2940.765625,12310.96875,10796.6875,5262.7265625,0,0,4354.9453125
1784,7676.8515625,10427.46875,7399.6796875,3640.8359375,12591.859375,11343.59375,5799.9375,0,0,4757.375
1785,4739.859375,11011.0546875,8027.546875,4216.2265625,12996.0625,11957.1640625,6212.4296875,0,0,5119.234375
1786,4893.78125,11190.4375,8165.3125,4555.703125,13105.3515625,12086.953125,6403.9140625,0,0,5228.09375
1787,5608.65625,11705.890625,8782.8203125,5208.3984375,13453.9296875,12893.21875,6942.53125,0,0,5602.2734375
1788,5940.59375,12055.796875,9175.7734375,5678.4296875,13625.484375,13273.8515625,7350.6171875,0,0,5873.6171875
1789,6356.6328125,12522.609375,9566.828125,6371.75,13839.9296875,13761.4921875,7965.515625,0,0,6165.8671875
1790,7048.7109375,12937.90625,10050.4140625,7035.6484375,0,1463.0078125,8712.96875,0,0,6560
1791,7306.96875,539.5703125,10354.875,7440.5546875,0,1810.40625,9366,0,0,6780.3828125
1792,7656.78125,747.640625,10726.0078125,7895.8046875,0,2154.46875,9976.8671875,0,649.2421875,6971.859375
1793,8251.03125,1185.296875,11395.0546875,8585.5703125,0,2930.328125,10798.421875,0,1237.1484375,7265.765625
1794,9397.125,1835.0703125,1092.609375,9613.6796875,831.4765625,3956.46875,11504.765625,0,1851.0078125,7836.6953125
1795,9922.5078125,2214.4140625,1517.203125,10116.4921875,1096.7109375,4124.265625,11957.421875,0,2125.2421875,620.390625
1796,10552.3984375,2547.3125,2023.9609375,10887.109375,1386.9765625,4638.7265625,12423.734375,0,2559.2421875,880.1640625
1797,758.203125,2890.28125,2468.4609375,3308.5859375,1635.9765625,5036.2421875,12899.5859375,0,2927.828125,1168.2578125
1798,923.90625,3029.03125,2647.6484375,3745.21875,1758.0546875,5109.1171875,13090.859375,0,3072.796875,1292.4765625
1799,1199.90625,3300.546875,2941.6484375,4173.203125,1931.734375,5403.90625,13473.8984375,0,3248.3828125,1525.6484375
1800,1320.5078125,3550.21875,3120.7578125,4508.015625,2002.953125,5469.234375,2928.34375,0,3375.03125,1692.140625
1801,1747.140625,4015.0625,3504.2734375,5060.953125,2368.6875,5996.1171875,3421.9140625,0,3611.2578125,1977.234375
1802,2261.6484375,4431.296875,4104.125,5654.875,2750.421875,6460.9609375,4016.484375,0,4064.796875,2331.390625
1803,2831.328125,4925.5703125,4426.2578125,6120.0625,3048.5390625,6997.9921875,4667.8125,0,4477.2109375,2616.8828125
1804,3304.9140625,5293.015625,4777.6796875,6490.234375,3288.515625,7444.6640625,5152.8125,0,4727.7265625,2941.90625
1805,4019.4921875,5691.234375,5309.1328125,7096.671875,3610.546875,7445,5686.34375,0,5073.625,3346.1015625
1806,5107.40625,6177.8984375,6004.0625,7816.234375,4089.8359375,7930.96875,6392.3125,0,5524.515625,3839.7890625
1807,5321.5390625,6256.0234375,6072.6171875,8056.59375,4243.2734375,7934.2890625,6635.375,0,5698.625,3981.828125
1808,5813.6484375,6619.6328125,6540.75,8626.3984375,4556.234375,8494.53125,7161.265625,0,6126.0078125,4267.546875
1809,6238.3046875,6946.2421875,6851.078125,9079.1640625,4880.7109375,8497.8203125,7582.1328125,0,6465.4609375,4496.7421875
1810,6475.40625,7128.2578125,7119.453125,9397.015625,5165.78125,8574.9375,8030.8046875,0,432.0390625,4647.921875
1811,6766.984375,7380.8515625,7317.3046875,1166.7734375,5354.0859375,9056.609375,8347.90625,0,670.484375,4809.1640625
1812,6807.53125,7429.421875,7368.75,1581.3828125,5402.15625,9058.4765625,8470.6171875,0,7038.109375,4856.203125
1813,6952.71875,7555.203125,7424.9296875,2005.59375,5467.9609375,9359.2265625,8675.40625,0,7182.4609375,4939.625
