year,Ks*KHA_03_,Ks*KHA_06_,Ks*KHA_09_,Ks*KHA_12_,Ks*KHA_14_,Ks*KHA_15_,Ks*KHA_16_,Ks*KHA_17_,Ks*KHA_19_,Ks*KHA_20_
1680,0,0.00015869900149248424
1681,0,0.0006639973650613815
1682,0,0.0005737083358269092
1683,0,0.001650004880832481
1684,0,0.0021384329381401866
1685,0,0.002196831841574697
1686,0,0.002808446127657039
1687,0,0.0031659411165376027,0.002346464727496014
1688,0,0.002059046165382374,0.0024866191290032953
1689,0,0.002283509701134241,0.0030402371635986233
1690,0,0.0027234593344196037,0.0035650234729209572
1691,0,0.0026402144633425944,0.0019099598517678075
1692,0,0.004083052558415156,0.0038166803704760047
1693,0,0.003367813857043223,0.0036877815252745723
1694,0,0.0029191822022795705,0.0024533200527480383
1695,0,0.0043932110992212624,0.0033058377896920672
1696,0,0.0027791425508990834,0.002584779844766275
1697,0,0.0037113185490381057,0.004374876958190829
1698,0,0.0038727509949022035,0.0043037029304068206
1699,0,0.0009371552207081348,0.002045702798631392
1700,0,0.0034803311745984387,0.0035148835101940024
1701,0,0.003399187203182659,0.0028777948605378605
1702,0,0.0023063579281962857,0.0034537860972819975
1703,0,0.002661712697842184,0.0033796952091230364
1704,0,0.0031948527829414866,0.003875426519408367
1705,0,0.004741169601529941,0.002792844974501979
1706,0,0.004237557300277651,0.003246663968310776
1707,0,0.0035695103927894903,0.0022141937315020275
1708,0,0.002516518258202772,0.0018453701756502745
1709,0,0.004420554997400897,0.003068915145502786,0,0.0031119350237365268
1710,0,0.003965666198478193,0.0026011430459615794,0,0.00393600592156391
1711,0,0.0036739893139856035,0.0027037829712507505,0,0.0037839526181039874
1712,0,0.005328281561570537,0.004768310273450206,0,0.004719910294844469
1713,0,0.004548633613368445,0.0027588308155821017,0,0.0039030916953664337,0
1714,0,0.003121299525824357,0.0022006080684547668,0,0.003596921330248831,0
1715,0,0.0047080224175354846,0.0018506337055507356,0,0.0038494970763528935,0
1716,0,0.004438592668935527,0.0011189406947218008,0,0.0035615493205533063,0
1717,0,0.005264167556652837,0.0008643782602753812,0,0.004636162975027833,0
1718,0,0.0034523853991917887,0.0007424309892777556,0,0.004647058796078748,0
1719,0,0.004479179735075421,0.00237290053727689,0,0.004550024831314335,0,0,0,0,5.362133224400195e-7
1720,0,0.0037684744047323943,0.0012399801304698666,0,0.004843754365866062,0,0,0,0,0.0016384774761215549
1721,0,0.003545366885992837,0.00156403560566106,0,0.003530379826754972,0,0,0,0,0.0043793065378837
1722,0,0.004226204903041977,0.003297129429834949,0,0.0040671768558161485,0,0,0,0,0.003980605494034969
1723,0,0.004107321690180354,0.004177876560719242,0,0.00508275783379268,0,0,0,0,0.005026625412575339
1724,0,0.0028807706024088636,0.004388100243233518,0,0.00335264279605608,0,0,0,0,0.0035304073807288306
1725,0,0.0035398312545941,0.0036094522637869853,0,0.004834061920347292,0,0,0,0,0.0036212012157610667
1726,0,0.003325819962773833,0.0033141334241101783,0,0.004253698856114076,0,0,0,0,0.003966150431376769
1727,0,0.003345680245854177,0.0027690761548399808,0,0.004604236722249093,0,0,0,0,0.0033413216014942303
1728,0,0.002706707629634566,0.0028710100022806126,0,0.0037116578790616765,0,0,0,0,0.004475230422903516
1729,0,0.004104313641906901,0.005243428760518985,0,0.004892545321524159,0,0,0,0,0.0036383869508360878
1730,0,0.0036544671023040556,0.005901208223017025,0,0.005310696902394654,0,0,0,0,0.004291112052935072
1731,0,0.0035557728450143003,0.009030370426069877,0,0.006974462445895686,0,0,0,0,0.004370849750930923
1732,0,0.0034545358561337163,0.007648670289686028,0,0.0058068638347799646,0,0,0,0,0.004119689545207433
1733,0,0.0036000029725850044,0.008047973585529975,0,0.00563072323068797,0,0,0,0,0.004564689963677244
1734,0,0.0036461941321471966,0.006514954827135778,0,0.0049484166370437664,0,0,0,0,0.002953284810000063
1735,0,0.003489642641224385,0.0040413573760345115,0,0.0054076808466061305,0,0,0,0,0.0037567419266960477
1736,0,0.0036032707674622843,0.008482233094638341,0,0.006001076224778481,0,0,0,0,0.004082643386313122
1737,0,0.004014405865025483,0.007076114451543735,0,0.00582383055208076,0,0,0,0,0.004344348861577846
