year,CNoKHA_03_,CNoKHA_06_,CNoKHA_09_,CNoKHA_12_,CNoKHA_14_,CNoKHA_15_,CNoKHA_16_,CNoKHA_17_,CNoKHA_19_,CNoKHA_20_
1817,931,1122,615,3025,393,381,297,0,2184,641
1818,1342,1289,586,2176,211,371,202,0,3017,617
1819,917,1051,498,1319,68,299,121,0,950,345
1820,623,748,397,878,95,112,113,0,627,364
1821,1074,1209,799,1577,311,449,422,0,1620,499
1822,1331,1353,659,1601,307,271,372,0,2310,792
1823,500,988,407,1023,77,104,77,0,1666,446
1824,731,955,650,907,175,78,109,0,1718,666
1825,162,220,0,721,19,17,27,0,426,103
1826,433,713,384,593,127,155,113,0,1028,448
1827,649,565,489,565,242,112,269,0,747,381
1828,2284,1227,899,1169,411,276,134,0,2100,868
1829,1961,1036,730,999,313,235,99,0,1571,618
1830,971,455,191,389,181,1,18,0,614,459
1831,1289,809,495,1100,304,138,1,0,1363,605
1832,1030,628,450,923,263,254,1,0,973,468
1833,417,418,122,498,138,0,0,0,551,302
1834,988,916,956,1242,497,67,0,69,1917,787
1835,1132,1163,1346,1401,680,154,1,460,2743,923
1836,839,726,1046,1247,356,130,0,505,1670,461
1837,458,290,298,635,168,32,1,350,583,182
1838,683,506,606,756,285,88,2,894,1118,539
1839,587,400,553,776,276,30,2,1378,1147,361
1840,721,758,704,645,318,84,2,976,1558,508
1841,774,456,740,797,317,55,3,754,0,848
1842,1378,495,919,998,460,89,2,1618,0,669
1843,1823,562,537,1014,408,0,0,2663,0,1049
1844,808,400,511,597,355,0,159,2806,0,506
1845,889,643,830,734,480,0,139,2996,0,606
1846,834,743,754,817,376,0,162,3228,0,590
1847,755,379,330,642,236,0,60,2090,0,570
1848,787,1086,419,968,284,0,144,2815,0,619
1849,436,336,4,1681,113,160,67,1992,0,268
1850,747,800,635,1849,414,485,316,2096,0,384
1851,636,578,533,1351,222,232,152,1360,0,452
1852,822,1068,1005,2495,824,1120,463,3154,0,933
1853,739,885,445,1022,572,922,287,3949,0,449
1854,1599,1014,663,1672,1765,851,280,6773,17,702
1855,3595,915,746,1403,1375,1235,355,6371,143,504
1856,1661,834,391,1434,954,1197,511,5081,177,616
1857,2238,794,777,2181,1328,1049,677,4581,0,569
1858,939,512,693,1850,552,565,487,3423,491,374
1859,941,790,713,1704,1196,547,853,3010,1735,309
1860,1641,871,725,2657,1194,1143,692,4286,2641,653
1861,1914,858,889,2306,807,772,825,4662,1788,357
1862,1380,915,630,2173,959,458,801,4088,1573,194
1863,1031,849,789,2124,833,723,654,4048,1746,111
1864,1179,1003,1030,2585,1448,754,0,3574,1904,110
1865,2060,1096,903,3257,1786,1021,1142,4366,1867,383
1866,677,384,289,1355,437,256,598,1397,479,255
1867,1041,374,428,1922,687,640,1124,2294,703,309
1868,2325,881,941,2871,1246,1022,2013,3217,1535,684
1869,801,283,3,1100,278,0,474,1333,300,196
1870,1919,643,449,1174,386,955,918,1473,994,260
1871,2204,604,423,1655,491,759,1058,2031,955,330
1872,2808,1141,681,2091,769,1315,1902,3886,969,508
1873,1062,528,270,1232,353,459,758,1931,424,281
1874,619,430,5,1274,141,402,719,1442,326,257
1875,1285,536,475,2188,257,1118,960,2034,599,535
1876,1086,517,252,1641,280,611,774,2117,511,401
1877,1550,580,491,3305,677,1283,1431,3766,885,876
1878,417,929,409,2759,609,2112,1553,5125,1110,1193
1879,657,994,378,2825,735,1629,1505,3449,841,1418
1880,1498,696,218,2838,533,2530,1480,3477,843,1725
1881,1663,623,200,2369,425,1166,1503,2464,387,1603
1882,1786,458,280,2938,479,927,1157,2148,345,1616
1883,1632,526,189,2370,725,1536,1758,3589,431,1733
1884,481,155,110,678,35,432,458,1679,189,417
1885,404,123,44,0,52,257,404,1850,120,360
1886,616,391,140,0,498,689,877,2874,245,761
1887,641,374,136,0,690,930,1380,3847,258,1329
1888,647,266,76,0,515,932,913,3753,246,1284
1889,607,362,0,0,456,1010,538,2132,83,898
1890,467,251,0,0,348,758,771,1880,160,1125
1891,739,766,0,0,912,1463,1588,3537,242,2538
1892,1184,1355,0,0,1205,2028,2064,4692,0,3550
1893,620,915,0,0,613,1963,1602,2338,2,1616
1894,948,900,0,0,963,2366,2176,3488,18,1517
1895,406,912,0,0,544,649,937,2587,202,657
1896,718,845,0,0,644,1826,1552,3919,299,741
1897,751,963,0,0,862,2325,1473,4695,434,626
1898,456,741,0,0,278,1209,1058,2298,213,298
1899,480,426,0,0,321,665,787,1984,365,289
1900,657,554,0,0,468,957,775,1043,364,326
1901,456,529,0,0,423,1116,1356,1493,359,432
1902,514,450,0,0,397,1835,1151,1518,248,515
1903,397,637,0,0,381,1421,1144,1453,395,399
1904,554,665,0,0,283,1881,948,1147,365,281
1905,371,476,0,744,276,1009,845,971,294,288
1906,284,363,0,963,430,960,713,1169,378,431
1907,285,288,0,888,366,1019,616,1049,227,357
1908,701,932,0,1827,793,1863,913,2384,958,639
1909,562,397,0,889,468,447,329,2524,526,421
1910,520,633,0,562,431,1630,392,2501,169,390
1911,441,576,0,674,300,1607,280,1398,234,268
1912,320,193,0,408,207,399,182,1568,149,276
1913,319,295,0,594,234,607,331,1297,179,592
1914,794,756,0,1007,542,2144,473,2334,305,575
1915,604,938,0,606,438,1048,352,2147,292,536
1916,668,317,0,1025,601,1511,383,2562,305,596
1917,487,260,0,792,696,1630,462,2674,147,545
1918,631,246,0,1369,1020,1571,545,2520,263,571
1919,551,293,0,1014,647,1457,476,2446,280,424
1920,537,349,0,1370,776,1405,589,2310,261,557
1921,466,299,0,1002,824,1984,292,1685,146,491
1922,537,415,0,1968,1177,1650,532,1792,196,419
1923,660,386,0,1764,1014,1341,531,1928,244,437
1924,756,542,0,1652,1513,1321,292,2768,267,617
1925,486,309,0,1373,851,1142,160,1474,191,353
1926,548,514,0,1934,1276,1213,352,3108,418,538
1927,419,390,0,1314,687,659,215,1548,221,347
1928,481,561,0,1572,1110,1294,843,2507,406,633
1929,666,498,0,1120,940,1567,567,1649,382,589
1930,490,621,0,1786,1277,1836,798,1979,468,918
1931,176,344,0,644,529,324,494,1070,312,403
1932,0,476,0,1464,1069,2,806,1684,348,373
1933,0,513,0,1884,732,0,1030,1693,392,445
1934,0,621,0,1774,930,0,1126,2267,457,438
1935,0,601,0,1190,714,0,1248,2722,501,411
1936,0,769,0,1133,2439,639,1649,3833,987,488
1937,1,647,0,1057,1380,705,1440,2685,624,368
1938,266,862,0,1658,1806,973,1607,3227,960,410
1939,515,773,0,1743,1287,1627,1794,3010,1614,606
1940,467,803,0,2139,1049,1041,1601,3095,1362,677
1941,698,840,146,1675,1009,1289,2017,367,1804,987
1942,553,626,218,1809,664,918,1730,3437,5517,918
1943,772,557,202,2688,920,923,1543,3750,3142,1120
1944,801,619,209,2110,864,806,1227,2896,1210,925
1945,607,702,230,3021,742,1071,1718,3627,1253,923
1946,539,660,188,2550,1152,1220,1493,2246,1446,979
1947,336,280,21,2024,296,529,868,837,478,332
1948,488,494,154,3123,1116,1399,1789,2482,1025,550
1949,295,241,71,2530,725,1519,1333,1120,856,441
1950,357,281,95,2681,515,835,1042,1485,434,526
1951,378,417,94,3847,931,1079,1160,1314,601,559
1952,429,390,165,2665,556,663,1040,1218,451,563
1953,505,537,166,4433,1087,1102,1740,2445,908,555
1954,303,363,85,1142,409,576,841,1410,422,274
1955,274,283,167,849,378,0,1195,1758,664,270
1956,307,284,151,2391,354,0,987,1278,1133,412
1957,361,324,73,2286,404,0,827,1246,1036,437
1958,604,281,243,2235,502,0,765,1045,1153,372
1959,342,357,160,1657,376,0,1076,1372,507,495
1960,337,220,130,1272,505,0,695,1395,339,395
1961,401,300,151,1251,521,0,830,1604,325,311
1962,368,380,98,1124,464,0,577,1275,171,369
1963,263,213,97,823,294,0,444,1006,342,226
