year,CWTriKHA_03_,CWTriKHA_06_,CWTriKHA_09_,CWTriKHA_12_,CWTriKHA_14_,CWTriKHA_15_,CWTriKHA_16_,CWTriKHA_17_,CWTriKHA_19_,CWTriKHA_20_
1680,0,3.332167387008667
1681,0,2.941300868988037
1682,0,2.7257080078125
1683,0,2.5675570964813232
1684,0,2.243776559829712
1685,0,2.2698659896850586
1686,0,2.2652409076690674
1687,0,2.4069221019744873,3.597181797027588
1688,0,2.5216352939605713,3.4646520614624023
1689,0,2.618032217025757,3.7919440269470215
1690,0,2.732926368713379,3.587123155593872
1691,0,2.512709617614746,4.317783832550049
1692,0,2.377797842025757,3.8201029300689697
1693,0,3.015244483947754,3.702899217605591
1694,0,2.9275448322296143,4.499448299407959
1695,0,2.514606237411499,3.911489486694336
1696,0,2.3780481815338135,3.6393895149230957
1697,0,2.3242695331573486,3.587131977081299
1698,0,2.3083786964416504,3.1470420360565186
1699,0,2.3832247257232666,3.3039557933807373
1700,0,2.4931228160858154,4.108733177185059
1701,0,2.905512571334839,3.898869276046753
1702,0,2.212125778198242,3.515773057937622
1703,0,2.971508026123047,3.747486114501953
1704,0,3.0163040161132812,3.801936149597168
1705,0,2.698981285095215,4.350356578826904
1706,0,2.738826036453247,4.122938632965088
1707,0,3.388085126876831,4.676894187927246
1708,0,3.5863893032073975,5.05106782913208
1709,0,3.0448198318481445,4.262301445007324,0,3.4913461208343506
1710,0,3.5107550621032715,4.1714324951171875,0,2.6864776611328125
1711,0,3.689523696899414,4.810597896575928,0,2.9980547428131104
1712,0,2.6441586017608643,3.889263391494751,0,2.935328245162964
1713,0,3.224778890609741,4.585599422454834,0,3.182300329208374,4.113734722137451
1714,0,3.41456937789917,4.483062267303467,0,2.6938867568969727,3.3065378665924072
1715,0,3.3765387535095215,4.867390155792236,0,3.007235050201416,3.969430446624756
1716,0,3.542562484741211,5.934879302978516,0,2.7112154960632324,3.9204893112182617
1717,0,3.2587621212005615,6.669869422912598,0,3.056788444519043,3.4251720905303955
1718,0,2.7034173011779785,5.830141544342041,0,3.1094205379486084,2.8094329833984375
1719,0,3.6696786880493164,5.523365020751953,0,3.201451301574707,3.935001850128174,0,0,0,4.585838317871094
1720,0,4.185487747192383,6.529466152191162,0,3.4065730571746826,3.9772822856903076,0,0,0,3.7894558906555176
1721,0,3.22598934173584,4.703922271728516,0,3.716853618621826,3.404681444168091,0,0,0,3.8255932331085205
1722,0,3.2957136631011963,4.510728359222412,0,3.0862014293670654,3.7828116416931152,0,0,0,3.857546806335449
1723,0,3.401163339614868,3.865217685699463,0,3.0573716163635254,3.5596530437469482,0,0,0,4.216198444366455
1724,0,4.2563934326171875,4.159279823303223,0,3.046609878540039,3.787914276123047,0,0,0,4.295170307159424
1725,0,3.723700761795044,4.65162992477417,0,3.8120744228363037,3.982586622238159,0,0,0,4.042881011962891
1726,0,3.9311201572418213,4.672938346862793,0,3.614732027053833,3.705587148666382,0,0,0,4.0567851066589355
1727,0,4.039714813232422,5.7027692794799805,0,3.3374369144439697,3.8878793716430664,0,0,0,4.171520233154297
1728,0,4.237400531768799,5.274911403656006,0,3.4778635501861572,4.867841720581055,0,0,0,4.0905537605285645
1729,0,3.4926154613494873,4.456540107727051,0,3.500248432159424,3.80086088180542,0,0,0,4.025465488433838
1730,0,3.7490296363830566,4.656905174255371,0,3.4491586685180664,4.4065775871276855,0,0,0,4.306204319000244
1731,0,2.487551212310791,3.0562636852264404,0,2.4978997707366943,2.429987907409668,0,0,0,3.306049346923828
1732,0,3.267770528793335,3.561162233352661,0,2.7959234714508057,3.0885226726531982,0,0,0,3.7446534633636475
1733,0,3.940070867538452,3.7230989933013916,0,2.9058735370635986,4.0043134689331055,0,0,0,3.9064903259277344
1734,0,4.480975151062012,4.544000625610352,0,3.5232479572296143,5.155646800994873,0,0,0,4.886966705322266
1735,0,4.521847724914551,4.886469841003418,0,3.405874729156494,3.865368366241455,0,0,0,4.408552169799805
1736,0,3.775193452835083,3.763425350189209,0,3.333911418914795,4.523636341094971,0,0,0,4.268423557281494
1737,0,3.866755962371826,4.083250045776367,0,3.1710946559906006,4.991560935974121,0,0,0,3.926847457885742
1738,0,3.2097604274749756,3.3844876289367676,0,2.997039794921875,2.634413480758667,0,0,0,3.5391809940338135
1739,0,3.689077138900757,3.8853697776794434,0,2.8122098445892334,4.260490894317627,0,0,0,4.267141342163086
1740,-999,4.680319309234619,4.299278259277344,0,3.258063554763794,4.398484230041504,0,0,0,4.487308025360107
1741,-999,3.215388774871826,3.7258427143096924,0,3.0851023197174072,2.763317108154297,0,0,0,4.554721355438232
1742,-999,3.5807721614837646,3.8900201320648193,0,4.1691389083862305,3.2065999507904053,0,0,0,3.2321672439575195
1743,-999,4.1492743492126465,4.421527862548828,0,3.0377888679504395,5.12882137298584,0,0,0,4.823266983032227
1744,-999,5.655048370361328,5.524408340454102,0,3.0773751735687256,5.108240604400635,-999,0,0,5.410096645355225
1745,-999,4.950033664703369,4.90968656539917,0,3.290414333343506,4.408513069152832,-999,0,0,4.050962924957275
1746,4.137660980224609,3.385510206222534,3.9626007080078125,0,3.164321184158325,3.6198172569274902,2.761500835418701,0,0,4.626585483551025
1747,3.1700799465179443,5.3599042892456055,4.64799165725708,0,2.8188605308532715,5.196423530578613,3.481279134750366,0,0,5.056466579437256
1748,3.6599791049957275,3.8965981006622314,4.963254928588867,0,3.222633123397827,3.7724504470825195,4.010113716125488,0,0,4.147282600402832
1749,4.0918989181518555,3.6536436080932617,5.009991645812988,0,3.4058048725128174,3.679563045501709,3.809591770172119,0,0,4.385317802429199
1750,3.8168177604675293,4.823198318481445,6.307312965393066,0,2.9235692024230957,4.313351631164551,4.480586528778076,0,0,4.925686359405518
1751,4.368166923522949,3.8314926624298096,4.511914253234863,0,3.52707576751709,3.6153435707092285,4.079104423522949,0,0,4.283607482910156
1752,5.047317981719971,4.607785701751709,5.030145645141602,0,3.3553764820098877,4.645623683929443,3.8460726737976074,0,0,5.357710838317871
1753,4.159548759460449,5.117018699645996,5.337324619293213,0,3.372898578643799,4.396509647369385,4.242862224578857,0,0,4.602470397949219
