year,MRWKHA_03_,MRWKHA_06_,MRWKHA_09_,MRWKHA_12_,MRWKHA_14_,MRWKHA_15_,MRWKHA_16_,MRWKHA_17_,MRWKHA_19_,MRWKHA_20_
1680,0,259.0859375
1681,0,162.29226684570312
1682,0,115.609375
1683,0,176.8167724609375
1684,0,112.99022674560547
1685,0,74.46746826171875
1686,0,194.68093872070312
1687,0,158.28652954101562,329.3046875
1688,0,64.77899169921875,248.11976623535156
1689,0,123.17706298828125,320.3179016113281
1690,0,107.54462432861328,230.9635467529297
1691,0,78.3554916381836,364.35797119140625
1692,0,193.40850830078125,347.25543212890625
1693,0,273.0187072753906,450.1339416503906
1694,0,147.80575561523438,349.524658203125
1695,0,321.83038330078125,397.31329345703125
1696,0,37.971214294433594,107.09404754638672
1697,0,68.8394775390625,183.43467712402344
1698,0,45.13835525512695,68.68281555175781
1699,0,16.656240463256836,42.09431076049805
1700,0,97.7328872680664,169.1307373046875
1701,0,82.53302001953125,173.36656188964844
1702,0,18.567262649536133,89.38255310058594
1703,0,70.05068969726562,143.04356384277344
1704,0,87.831787109375,338.3192138671875
1705,0,159.5492401123047,609.9749755859375
1706,0,128.49105834960938,450.20013427734375
1707,0,196.493408203125,579.76416015625
1708,0,195.69668579101562,325.07586669921875
1709,0,334.6274108886719,477.537109375,0,885.0859375
1710,0,391.96044921875,319.40106201171875,0,306.4046630859375
1711,0,337.8185119628906,195.03953552246094,0,382.3851318359375
1712,0,378.18927001953125,313.7388610839844,0,507.2186584472656
1713,0,414.8244934082031,321.2669677734375,0,537.6238403320312,1026.9765625
1714,0,190.0384063720703,166.93975830078125,0,149.68263244628906,175.05609130859375
1715,0,591.0195922851562,537.9413452148438,0,318.6898498535156,775.7072143554688
1716,0,531.2138061523438,517.3973388671875,0,247.23287963867188,933.1808471679688
1717,0,430.5851135253906,472.492919921875,0,343.0899963378906,741.2373657226562
1718,0,64.35977172851562,82.71595764160156,0,103.74536895751953,70.93875122070312
1719,0,365.2864685058594,458.0248718261719,0,288.4635925292969,621.0905151367188,0,0,0,797.8984375
1720,0,429.7955627441406,509.305908203125,0,305.9452209472656,821.404541015625,0,0,0,261.0002746582031
1721,0,246.79925537109375,293.9179382324219,0,262.362060546875,569.4607543945312,0,0,0,243.0390625
1722,0,245.9852294921875,309.1207275390625,0,310.58013916015625,468.8083190917969,0,0,0,332.4200744628906
1723,0,182.34100341796875,231.98736572265625,0,286.9016418457031,478.2947998046875,0,0,0,390.8804016113281
1724,0,188.8180389404297,319.7081298828125,0,167.75253295898438,415.8235778808594,0,0,0,382.857177734375
1725,0,268.39495849609375,393.3077392578125,0,345.5318298339844,406.4792175292969,0,0,0,384.1031494140625
1726,0,191.19778442382812,356.6414489746094,0,346.14990234375,232.21649169921875,0,0,0,251.74313354492188
1727,0,568.1398315429688,876.349609375,0,576.360107421875,1050.2042236328125,0,0,0,426.2676086425781
1728,0,241.00375366210938,232.68145751953125,0,224.32737731933594,484.8299865722656,0,0,0,200.50328063964844
1729,0,560.3101806640625,739.3732299804688,0,542.4939575195312,1096.6090087890625,0,0,0,456.3847351074219
1730,0,456.5129089355469,681.9794921875,0,459.5686950683594,818.4080810546875,0,0,0,425.5485534667969
1731,0,328.86566162109375,576.708740234375,0,416.0159606933594,701.83837890625,0,0,0,316.194091796875
1732,0,224.51539611816406,277.92242431640625,0,198.55747985839844,245.31349182128906,0,0,0,197.35049438476562
1733,0,351.6665954589844,425.87786865234375,0,223.29734802246094,444.0757141113281,0,0,0,262.23291015625
1734,0,389.7649230957031,535.3908081054688,0,287.6234130859375,480.9261779785156,0,0,0,272.4425048828125
1735,0,187.7910614013672,271.0663757324219,0,192.49534606933594,150.6631622314453,0,0,0,174.13851928710938
1736,0,276.61932373046875,386.7607727050781,0,236.0786590576172,315.7289123535156,0,0,0,220.0794677734375
1737,0,448.05255126953125,377.9574890136719,0,177.5917510986328,690.5957641601562,0,0,0,207.6109619140625
1738,0,184.37405395507812,149.75967407226562,0,155.3818817138672,143.56101989746094,0,0,0,137.08802795410156
1739,0,480.5014343261719,312.7969970703125,0,239.72052001953125,485.6649169921875,0,0,0,186.43045043945312
1740,483.4765625,426.6398010253906,265.989990234375,0,174.2646484375,424.7817077636719,0,0,0,234.8642578125
1741,333.565185546875,397.1356506347656,296.2899475097656,0,173.39999389648438,233.7598114013672,0,0,0,216.9482879638672
1742,327.2827453613281,127.03694915771484,157.1436767578125,0,21.22647476196289,93.85424041748047,0,0,0,69.37590026855469
1743,183.45016479492188,395.5902404785156,486.9440612792969,0,147.25148010253906,775.58251953125,0,0,0,276.7543029785156
1744,433.2744445800781,558.5044555664062,710.0946044921875,0,292.6224365234375,941.2916870117188,523.71875,0,0,444.27783203125
1745,304.9880065917969,278.1679382324219,334.6011047363281,0,179.1581573486328,697.5064086914062,308.03045654296875,0,0,247.70838928222656
1746,508.1094970703125,542.9700317382812,647.7837524414062,0,314.4205627441406,701.6016845703125,487.6745300292969,0,0,329.5968322753906
1747,562.8909912109375,837.4940795898438,750.0745849609375,0,412.8673400878906,858.19140625,725.5844116210938,0,0,394.16192626953125
1748,723.76220703125,728.3486938476562,564.9004516601562,0,391.7109069824219,848.806884765625,786.5755615234375,0,0,349.0351867675781
