year,MinLAKHA_03_,MinLAKHA_06_,MinLAKHA_09_,MinLAKHA_12_,MinLAKHA_14_,MinLAKHA_15_,MinLAKHA_16_,MinLAKHA_17_,MinLAKHA_19_,MinLAKHA_20_
1680,0,10.238139152526855
1681,0,10.015522956848145
1682,0,11.754791259765625
1683,0,10.891765594482422
1684,0,12.026200294494629
1685,0,12.503524780273438
1686,0,12.351531982421875
1687,0,10.419820785522461,41.8094482421875
1688,0,12.775063514709473,40.691253662109375
1689,0,10.134797096252441,40.11632537841797
1690,0,10.451882362365723,40.15401077270508
1691,0,10.01282024383545,40.02693557739258
1692,0,11.022249221801758,40.27918243408203
1693,0,10.127082824707031,40.376708984375
1694,0,10.4360990524292,40.05341339111328
1695,0,10.330498695373535,40.108421325683594
1696,0,15.27130126953125,40.051326751708984
1697,0,16.264249801635742,40.05156707763672
1698,0,12.970348358154297,40.34469985961914
1699,0,13.879104614257812,40.47465896606445
1700,0,11.070793151855469,40.00257873535156
1701,0,10.110664367675781,40.2314453125
1702,0,13.561838150024414,40.07545852661133
1703,0,10.94061279296875,40.09973907470703
1704,0,10.305514335632324,40.067405700683594
1705,0,10.772684097290039,40.016170501708984
1706,0,10.289292335510254,40.108436584472656
1707,0,10.021086692810059,40.84882354736328
1708,0,10.300762176513672,40.16507339477539
1709,0,10.420276641845703,40.017635345458984,0,40.113189697265625
1710,0,10.056215286254883,40.08271408081055,0,40.16749572753906
1711,0,10.012805938720703,40.018070220947266,0,40.178565979003906
1712,0,10.723700523376465,40.11615753173828,0,40.050933837890625
1713,0,10.252025604248047,40.100162506103516,0,40.08397674560547,40.01260757446289
1714,0,11.363697052001953,40.612648010253906,0,40.2299919128418,40.29539108276367
1715,0,11.338982582092285,40.06858825683594,0,40.067413330078125,40.306785583496094
1716,0,10.146208763122559,40.262420654296875,0,40.94084930419922,40.04325866699219
1717,0,10.04527473449707,40.064510345458984,0,40.03527069091797,40.19757080078125
1718,0,15.361102104187012,87.85520935058594,0,40.27104949951172,40.8648681640625
1719,0,10.15828800201416,40.19499206542969,0,40.53968811035156,40.07600021362305,0,0,0,39.6766357421875
1720,0,10.015241622924805,40.26280212402344,0,40.050697326660156,40.01860046386719,0,0,0,10.908319473266602
1721,0,16.11297607421875,40.00202560424805,0,40.049949645996094,40.25507354736328,0,0,0,10.330236434936523
1722,0,15.442264556884766,40.127620697021484,0,40.03595733642578,40.12487030029297,0,0,0,11.73034381866455
1723,0,15.255461692810059,40.124046325683594,0,40.09952163696289,40.00922775268555,0,0,0,10.761139869689941
1724,0,16.00419044494629,40.060089111328125,0,40.01799011230469,40.0955696105957,0,0,0,10.183863639831543
1725,0,16.2896785736084,40.066707611083984,0,40.01191329956055,40.07585144042969,0,0,0,10.037349700927734
1726,0,15.067793846130371,40.003604888916016,0,40.03424835205078,40.099178314208984,0,0,0,10.36264419555664
1727,0,15.466597557067871,40.09092712402344,0,40.05875778198242,40.05316925048828,0,0,0,10.802268981933594
1728,0,15.409543991088867,40.117313385009766,0,40.00254440307617,40.04591369628906,0,0,0,10.148368835449219
1729,0,15.971451759338379,40.02604675292969,0,40.01865768432617,40.09974670410156,0,0,0,10.403473854064941
1730,0,16.012556076049805,40.08367156982422,0,40.002079010009766,40.290714263916016,0,0,0,10.101856231689453
1731,0,18.717525482177734,40.40034866333008,0,40.43379592895508,5.375393390655518,0,0,0,11.314787864685059
1732,0,15.255278587341309,40.118263244628906,0,40.092166900634766,16.055879592895508,0,0,0,10.728585243225098
1733,0,15.109463691711426,40.00577926635742,0,40.06807327270508,6.007687568664551,0,0,0,10.096833229064941
1734,0,15.266382217407227,40.45415115356445,0,40.00241470336914,5.128530502319336,0,0,0,10.232562065124512
1735,0,15.2257661819458,40.00107192993164,0,40.246826171875,9.697966575622559,0,0,0,10.574958801269531
1736,0,15.791662216186523,40.05173110961914,0,40.002323150634766,5.519339561462402,0,0,0,10.255982398986816
1737,0,15.068153381347656,40.01899719238281,0,40.00215530395508,5.079737663269043,0,0,0,6.094512462615967
1738,0,19.83002471923828,40.24081039428711,0,40.00114059448242,5.942300319671631,0,0,0,6.512298583984375
1739,0,15.0925931930542,40.60730743408203,0,40.340171813964844,5.022810459136963,0,0,0,10.061848640441895
1740,0,15.500297546386719,40.084136962890625,0,40.14847946166992,5.399847030639648,0,0,0,7.082115173339844
1741,0,15.369101524353027,40.770259857177734,0,40.97857666015625,5.356780529022217,0,0,0,10.280817985534668
1742,0,15.190163612365723,40.24544143676758,0,40.37641525268555,18.60939598083496,0,0,0,14.603633880615234
1743,0,15.09227466583252,40.0771598815918,0,40.01850891113281,5.334743499755859,0,0,0,10.094690322875977
1744,0,15.184837341308594,5.242015838623047,0,40.25996017456055,5.107242107391357,134.33477783203125,0,0,10.040342330932617
1745,0,15.141253471374512,5.886200904846191,0,40.36011505126953,5.3833723068237305,0,0,0,6.463984489440918
1746,40.059383392333984,15.060138702392578,5.153157711029053,0,40.050148010253906,5.046689033508301,88.67144012451172,0,0,6.203596591949463
1747,40.61275100708008,15.010416984558105,5.560362815856934,0,40.35232162475586,5.082180976867676,40.051109313964844,0,0,6.0397210121154785
1748,40.051856994628906,15.092750549316406,5.375820636749268,0,40.1265983581543,5.023530006408691,40.00263214111328,0,0,7.7446184158325195
1749,40.03492736816406,17.258453369140625,6.099949836730957,0,40.01844024658203,5.030785083770752,40.4034423828125,0,0,7.7850728034973145
1750,40.192901611328125,15.23877239227295,6.935853958129883,0,40.01763153076172,5.1086812019348145,40.050453186035156,0,0,6.691737651824951
1751,40.012550354003906,17.6732120513916,10.200281143188477,0,40.07895278930664,5.1370062828063965,40.06806945800781,0,0,7.4722137451171875
1752,40.00223159790039,15.042125701904297,7.637641906738281,0,40.011531829833984,5.347911357879639,40.019683837890625,0,0,6.79156494140625
1753,40.017799377441406,15.021540641784668,5.602339267730713,0,40.24497604370117,5.015971660614014,40.00212860107422,0,0,6.15401029586792
1754,40.05957794189453,15.914313316345215,7.4899091720581055,0,40.07052993774414,5.0798187255859375,40.3204231262207,0,0,12.069693565368652
1755,40.20602035522461,19.536815643310547,18.87517738342285,0,40.26020812988281,5.005706310272217,40.36670684814453,0,0,7.717767715454102
