year,RAOIARKHA_03_,RAOIARKHA_06_,RAOIARKHA_09_,RAOIARKHA_12_,RAOIARKHA_14_,RAOIARKHA_15_,RAOIARKHA_16_,RAOIARKHA_17_,RAOIARKHA_19_,RAOIARKHA_20_
1680,0,0.9451731443405151
1681,0,0.9816465973854065
1682,0,0.9795389771461487
1683,0,0.989163875579834
1684,0,0.9918286800384521
1685,0,0.9919459819793701
1686,0,0.9928023815155029
1687,0,0.9908265471458435,0.20762287080287933
1688,0,0.9927982687950134,0.4366411864757538
1689,0,0.9906609058380127,0.542147159576416
1690,0,0.9915478825569153,0.5446709394454956
1691,0,0.9905358552932739,0.7389129996299744
1692,0,0.9915029406547546,0.8823028206825256
1693,0,0.9895999431610107,0.6722366809844971
1694,0,0.9901634454727173,0.9859091639518738
1695,0,0.9902991652488708,0.9816364049911499
1696,0,0.9907476305961609,0.9902374744415283
1697,0,0.9890590310096741,0.990535318851471
1698,0,0.9903734922409058,0.9912595748901367
1699,0,0.9911566972732544,0.9886139631271362
1700,0,0.9894368648529053,0.9894143342971802
1701,0,0.9910507202148438,0.9899925589561462
1702,0,0.9936908483505249,0.9896847605705261
1703,0,0.9884905219078064,0.9903705716133118
1704,0,0.9905892610549927,0.8201397657394409
1705,0,0.9899380803108215,0.8815573453903198
1706,0,0.9842158555984497,0.9008674621582031
1707,0,0.9894285798072815,0.6080223917961121
1708,0,0.9804670214653015,0.8345233201980591
1709,0,0.9906850457191467,0.906654417514801,0,0.2109212577342987
1710,0,0.9902452230453491,0.930605411529541,0,0.551124095916748
1711,0,0.9894270300865173,0.9101602435112,0,0.6875832080841064
1712,0,0.9902921319007874,0.9652360677719116,0,0.9187944531440735
1713,0,0.9887262582778931,0.9313828945159912,0,0.9648612141609192,0.7369487285614014
1714,0,0.9785235524177551,0.9397375583648682,0,0.9910643696784973,0.9889692664146423
1715,0,0.9902755618095398,0.8291791081428528,0,0.9706091284751892,0.9846192598342896
1716,0,0.9754112362861633,0.6370307207107544,0,0.9509863257408142,0.9909657835960388
1717,0,0.9682459831237793,0.7697508335113525,0,0.9847297668457031,0.9800547957420349
1718,0,0.9779919981956482,0.8532599806785583,0,0.9886741042137146,0.9911154508590698
1719,0,0.9569396376609802,0.7191802859306335,0,0.9785206317901611,0.989234447479248,0,0,0,0.9695886373519897
1720,0,0.9785386919975281,0.4336266815662384,0,0.6486572623252869,0.9026409387588501,0,0,0,0.9521827697753906
1721,0,0.9880931377410889,0.5297232270240784,0,0.950481116771698,0.9477934837341309,0,0,0,0.987637996673584
1722,0,0.9845374822616577,0.9889846444129944,0,0.9469617009162903,0.9322801828384399,0,0,0,0.8981892466545105
1723,0,0.9904138445854187,0.990800678730011,0,0.9723261594772339,0.8890579342842102,0,0,0,0.8730850219726562
1724,0,0.9811187386512756,0.9898513555526733,0,0.9902992248535156,0.898033857345581,0,0,0,0.990127682685852
1725,0,0.9639961123466492,0.9907498359680176,0,0.9909483790397644,0.9004446864128113,0,0,0,0.9532559514045715
1726,0,0.9885789752006531,0.9901360869407654,0,0.99103182554245,0.9310784935951233,0,0,0,0.9245206117630005
1727,0,0.9200524687767029,0.9904676079750061,0,0.977779746055603,0.8792993426322937,0,0,0,0.9356903433799744
1728,0,0.9610351324081421,0.9737544655799866,0,0.9592881202697754,0.9416549801826477,0,0,0,0.9139840006828308
1729,0,0.9189870357513428,0.8460170030593872,0,0.8929013013839722,0.8700299263000488,0,0,0,0.9810124635696411
1730,0,0.8528113961219788,0.9761564135551453,0,0.929931104183197,0.7618166208267212,0,0,0,0.849810779094696
1731,0,0.8176891207695007,0.8369941711425781,0,0.9495925307273865,0.6504284143447876,0,0,0,0.9705647826194763
1732,0,0.9902060627937317,0.9897685050964355,0,0.9812065362930298,0.9799845814704895,0,0,0,0.9906985759735107
1733,0,0.9848625659942627,0.9910555481910706,0,0.9769102931022644,0.8591470122337341,0,0,0,0.9900320768356323
1734,0,0.9740526676177979,0.9797596335411072,0,0.9155940413475037,0.8824784159660339,0,0,0,0.9683825969696045
1735,0,0.9905499815940857,0.9672881364822388,0,0.976302981376648,0.9908454418182373,0,0,0,0.929608166217804
1736,0,0.9353280663490295,0.8997904658317566,0,0.983585774898529,0.9905248880386353,0,0,0,0.9769206643104553
1737,0,0.9705413579940796,0.8773932456970215,0,0.9876360893249512,0.906716525554657,0,0,0,0.9888843894004822
1738,0,0.956459105014801,0.9877620339393616,0,0.9888256192207336,0.9830484390258789,0,0,0,0.9872629046440125
1739,0,0.9223631024360657,0.9007832407951355,0,0.8583954572677612,0.9054895639419556,0,0,0,0.987153172492981
1740,0,0.9310874938964844,0.9241195917129517,0,0.9799280166625977,0.9906342625617981,0,0,0,0.9008677005767822
1741,0,0.9905815124511719,0.7410171031951904,0,0.990323007106781,0.9908440113067627,0,0,0,0.9896565079689026
1742,0,0.990498960018158,0.6201853156089783,0,0.9885485768318176,0.9884034991264343,0,0,0,0.9786215424537659
1743,0.000085216379375197,0.9854413866996765,0.6968867182731628,0,0.8793240189552307,0.7911601066589355,0,0,0,0.8996558785438538
1744,0.0003542946942616254,0.951206386089325,0.6828931570053101,0,0.8365219235420227,0.9650570154190063,0.0007951607694849372,0,0,0.9474763870239258
1745,0.0022017171140760183,0.9107018113136292,0.531728208065033,0,0.9372802972793579,0.9597625136375427,0.0007654245710000396,0,0,0.9482342004776001
1746,0.11423832178115845,0.9731740951538086,0.9715323448181152,0,0.9676863551139832,0.9870418906211853,0.0067030759528279305,0,0,0.9493322968482971
1747,0.29898616671562195,0.9113399982452393,0.7598515748977661,0,0.8388291001319885,0.7220296859741211,0.7015063166618347,0,0,0.8009207248687744
1748,0.8635702729225159,0.808377742767334,0.7457566857337952,0,0.9754513502120972,0.8566598296165466,0.9850283861160278,0,0,0.9428644180297852
1749,0.7798362970352173,0.9438625574111938,0.9900650382041931,0,0.9907140135765076,0.9904553294181824,0.8750307559967041,0,0,0.9421089887619019
1750,0.9145963191986084,0.92213374376297,0.9902963042259216,0,0.7689659595489502,0.9903824925422668,0.9199672341346741,0,0,0.9123066067695618
1751,0.7671911120414734,0.9463999271392822,0.990354597568512,0,0.977645993232727,0.9908032417297363,0.9725887775421143,0,0,0.9307206869125366
1752,0.990353524684906,0.9585542678833008,0.990497350692749,0,0.9727553725242615,0.9907912015914917,0.9724758863449097,0,0,0.9480302333831787
1753,0.9902227520942688,0.9768425226211548,0.9900401830673218,0,0.9906024932861328,0.9908818602561951,0.9735968112945557,0,0,0.9909895062446594
1754,0.9903848767280579,0.8801769614219666,0.9900165796279907,0,0.9775262475013733,0.9902026057243347,0.9602283835411072,0,0,0.9897183179855347
1755,0.9909734129905701,0.8305310010910034,0.9912409782409668,0,0.991248607635498,0.9901876449584961,0.9429283738136292,0,0,0.9902341365814209
1756,0.9905330538749695,0.9271235466003418,0.9898743629455566,0,0.9622757434844971,0.931873619556427,0.9467757940292358,0,0,0.991159975528717
1757,0.9462572336196899,0.882890522480011,0.9908085465431213,0,0.9230817556381226,0.9072389006614685,0.9325886368751526,0,0,0.9175325036048889
