year,KhKHA_03_,KhKHA_06_,KhKHA_09_,KhKHA_12_,KhKHA_14_,KhKHA_15_,KhKHA_16_,KhKHA_17_,KhKHA_19_,KhKHA_20_
1727,0,6.185599541342607e-9,8.498115160865666e-9,0,9.187415034053624e-9,1.3346712026486179e-8,0,0,0,4.944645392093892e-9
1728,0,2.2154341778046867e-9,2.2992802866007573e-9,0,2.8141194546083452e-9,5.238974681808704e-9,0,0,0,3.0156414888932935e-9
1729,0,7.477913272729681e-9,1.1582059641396406e-8,0,8.380179215991149e-9,1.8505396721552285e-8,0,0,0,5.973609693132532e-9
1730,0,5.031620389085929e-9,1.3897365175169222e-8,0,8.032843355306386e-9,1.2579520256154915e-8,0,0,0,5.6872956384633805e-9
1731,0,3.3803915933933505e-9,1.54114762441758e-8,0,9.762547002611377e-9,1.2451961493573883e-8,0,0,0,4.956873193672617e-9
1732,0,2.716300114522921e-9,7.428295956702507e-9,0,4.002804153755884e-9,7.987176281717117e-9,0,0,0,2.997155756011155e-9
1733,0,4.414049789243079e-9,1.2013727129024702e-8,0,4.350251767930587e-9,8.508148895561275e-9,0,0,0,4.40030175131389e-9
1734,0,4.898350665896278e-9,1.2070710335517759e-8,0,4.625318715192492e-9,8.00460804146869e-9,0,0,0,2.879800770467583e-9
1735,0,2.2963878382379676e-9,3.750823244765772e-9,0,3.6082336663738537e-9,4.079008356706225e-9,0,0,0,2.24328861178658e-9
1736,0,3.2991993937257442e-9,1.042867146968894e-8,0,4.95318562741879e-9,7.479323604175248e-9,0,0,0,3.2288436260647495e-9
1737,0,6.1716183962790824e-9,8.290824341929441e-9,0,3.629691327941393e-9,1.2292794008038136e-8,0,0,0,3.163777094374739e-9
1738,0,1.9023499213023225e-9,3.5193639888861417e-9,0,3.0909054995220995e-9,3.3622734046337376e-9,0,0,0,1.5752488070858059e-9
1739,0,7.209774178846628e-9,7.3388449263622426e-9,0,4.583253090306679e-9,7.95740146774384e-9,0,0,0,1.9205825281456206e-9
1740,0,6.750315438708215e-9,4.643062163274331e-9,0,3.435485841987672e-9,9.890967428737108e-9,0,0,0,3.1837362084098804e-9
1741,0,7.866022808761138e-9,5.068063731617114e-9,0,3.8738351302410946e-9,5.871655960678617e-9,0,0,0,2.581963149099707e-9
1742,0,1.7551646724793598e-9,1.5928334909983973e-9,0,6.708646071514214e-11,1.4719685504585194e-9,0,0,0,1.0908428079158134e-9
1743,0,7.1096097255237e-9,7.50225981619714e-9,0,2.74534846587742e-9,1.1386994333877866e-8,0,0,0,2.538267227772351e-9
1744,0,4.807845190503281e-9,3.2891294480948744e-9,0,5.157576389609234e-9,1.4121545943527893e-8,3.362980122751777e-13,0,0,2.8953872739546557e-9
1745,0,2.5157853327653026e-9,7.050769639355949e-10,0,3.946283441523656e-9,1.1693752474319467e-8,0,0,0,3.387767620328235e-9
1746,4.299324338178936e-10,1.3078025385952825e-8,3.437759792639255e-9,0,7.263062366069627e-9,1.5303516035807183e-8,1.6466054850184214e-11,0,0,3.863029032168078e-9
1747,2.2516876141247605e-9,9.60349600324881e-9,3.2683588975896087e-9,0,8.731972958535024e-9,1.007856146298196e-8,6.0780439989948174e-9,0,0,3.5653584454915663e-9
1748,6.571567361631583e-9,9.870166596920809e-9,2.1324149296577643e-9,0,1.0304468479327016e-8,1.872130472929486e-8,5.424264044196648e-9,0,0,3.7674159810839884e-9
1749,3.97318470421877e-9,1.083737167986373e-8,4.878353688009224e-9,0,7.515874469778277e-9,1.4268108395965454e-8,5.4400061904619985e-9,0,0,3.2093953311510903e-9
1750,4.486979641344911e-9,5.622579830715522e-9,1.6490780288177556e-9,0,4.993825821268886e-9,7.664429115453502e-9,4.154080664799079e-9,0,0,2.293405519779197e-9
1751,3.4236088950188825e-9,4.89514487727384e-9,2.0731014150143053e-9,0,4.6151069570889276e-9,9.256649403990336e-9,4.474109982903161e-9,0,0,2.4036322256545598e-9
1752,6.241503540891059e-9,1.001233638634262e-8,4.924182193497431e-9,0,7.750294385658772e-9,1.1397293218855572e-8,4.955574980389366e-9,0,0,2.966785033510256e-9
1753,2.6638448965725536e-9,3.07914926583524e-9,2.1788038949217694e-9,0,3.367513430640391e-9,5.905515928078614e-9,2.4109627624330145e-9,0,0,3.1004909803663973e-9
1754,3.741177323498665e-9,4.92753860112347e-9,1.2718579106028027e-9,0,4.479154063718732e-9,8.697869721693598e-9,3.2591733307344704e-9,0,0,2.5462458851125463e-9
1755,4.1169162735745535e-9,2.98617350175314e-9,1.5931890109928447e-9,0,2.841982821749362e-9,5.756894509232215e-9,2.393447233446806e-9,0,0,2.1628581850320915e-9
1756,5.401312675770942e-9,5.112308863198471e-9,2.678835828409765e-9,0,5.294374432858536e-9,4.2419253731274226e-9,3.726198874271418e-9,0,0,3.4990476688057203e-9
1757,6.991476588349376e-9,7.554074695218688e-9,4.852749621365804e-9,0,8.585589694253156e-9,1.2722598145517792e-8,4.087511089748145e-9,0,0,3.680360787774146e-9
1758,4.3668690432274e-9,4.66866642017861e-9,4.340947737030511e-9,0,7.294659159621647e-9,1.0692802746939529e-8,6.230445356058049e-9,0,0,3.414242053241542e-9
1759,5.70980975302296e-9,2.9290017464967253e-9,2.796766650111002e-9,0,4.483047043912073e-9,6.1428276045281385e-9,4.638086260318909e-9,0,0,2.2308788290046937e-9
1760,2.182623581968822e-9,1.5893405048025963e-9,8.468810027118895e-11,0,2.460997180062434e-11,1.3855105851355508e-9,3.0072009800172926e-9,0,0,6.209347575718807e-10
1761,3.8341216760096915e-9,3.983636912015305e-9,1.2160016515563486e-9,6.063068393198773e-10,1.3793300491198602e-9,9.04993945705028e-9,5.9156951773000715e-9,0,0,1.1707856627535667e-9
1762,4.943101812699623e-9,5.2650023300337595e-9,6.595713442010422e-10,2.6552407739661755e-9,2.0617708027443634e-9,9.18038070728913e-9,3.866398454023465e-9,0,0,1.6312854941708624e-9
1763,4.9238891527714606e-9,5.280425300589251e-9,1.1641333668776578e-9,7.330005994228964e-9,3.166011180692253e-9,1.18555336018567e-8,4.880467298886222e-9,0,0,1.4154696719772217e-9
1764,5.904477192413807e-9,3.622762636770708e-9,1.5255783616971033e-9,1.4886407933298504e-8,4.6944873070853185e-9,9.270951349486158e-9,3.893874123445244e-9,0,0,3.044180323514853e-9
1765,1.2150096400908132e-8,8.605391793890567e-9,3.605268232354064e-9,1.738585972402928e-8,6.938541301303497e-9,9.780486930104789e-9,3.9996859501529046e-9,0,0,2.9054277487419096e-9
1766,4.018789063762109e-9,1.0957955394924329e-8,2.0123820411707195e-9,7.962126044878351e-9,7.0760473903514165e-9,1.5423219938017046e-8,4.54310232819272e-9,0,0,3.2650564356777552e-9
1767,1.3216766010745908e-8,1.3761713141931685e-8,7.252191621905263e-9,1.2084860391221381e-8,7.729770883623058e-9,1.4730568374766268e-8,8.098529953127613e-9,0,0,4.000096363392199e-9
1768,6.120373811073651e-9,7.531506533014266e-9,3.074308466731713e-9,9.304870287147084e-9,5.4814126588922805e-9,5.3174919080314e-9,6.420774596836436e-9,0,0,3.596467485817372e-9
1769,1.4544509011772039e-8,1.4701206844187618e-8,1.0712791437759441e-8,1.5321892911761427e-8,1.0690854307339758e-8,1.4726441246809111e-8,7.34886834908261e-9,0,0,4.713957807063695e-9
1770,4.119719150177557e-9,4.911107603661404e-9,2.4786655634950624e-9,7.0216687700799295e-9,3.575230326328019e-9,3.055056487406655e-9,3.222438410984262e-9,0,0,1.4872874415520922e-9
1771,3.83183778412955e-9,3.4142405979349674e-9,1.846536437816914e-9,5.753343865756709e-9,3.11808306944452e-9,2.405338141271613e-9,1.0124506574687016e-9,0,0,8.664987138197014e-10
