year,MaxLAKHA_03_,MaxLAKHA_06_,MaxLAKHA_09_,MaxLAKHA_12_,MaxLAKHA_14_,MaxLAKHA_15_,MaxLAKHA_16_,MaxLAKHA_17_,MaxLAKHA_19_,MaxLAKHA_20_
1680,0,356.4226989746094
1681,0,402.6579284667969
1682,0,327.6136779785156
1683,0,522.3746337890625
1684,0,590.768798828125
1685,0,693.22412109375
1686,0,508.28070068359375
1687,0,554.5213012695312,482.4117736816406
1688,0,634.1137084960938,473.1080322265625
1689,0,461.1990966796875,661.0073852539062
1690,0,579.3665771484375,626.6881103515625
1691,0,512.8741455078125,655.4788208007812
1692,0,597.9566040039062,951.0779418945312
1693,0,948.16455078125,1111.1131591796875
1694,0,708.999755859375,618.3488159179688
1695,0,789.2213134765625,746.0072021484375
1696,0,391.37786865234375,602.851318359375
1697,0,468.0373840332031,846.0593872070312
1698,0,482.0345458984375,618.3673095703125
1699,0,210.6694793701172,538.7459106445312
1700,0,614.8180541992188,1201.733642578125
1701,0,666.0377807617188,722.1671142578125
1702,0,300.6084289550781,662.5610961914062
1703,0,555.6044921875,781.1475219726562
1704,0,863.20654296875,1175.860595703125
1705,0,668.87744140625,1988.2283935546875
1706,0,774.4365234375,1639.8106689453125
1707,0,1016.5674438476562,1924.7374267578125
1708,0,619.5380249023438,949.7984008789062
1709,0,762.47998046875,1545.471923828125,0,983.5029296875
1710,0,824.7979736328125,1264.8836669921875,0,999.9110107421875
1711,0,727.2630615234375,1131.333740234375,0,1546.31689453125
1712,0,1091.52490234375,1598.2508544921875,0,1261.7872314453125
1713,0,1164.9752197265625,1436.10009765625,0,1398.1041259765625,2274.406982421875
1714,0,761.4254150390625,837.3241577148438,0,1242.163330078125,1504.474609375
1715,0,1087.788330078125,1689.9346923828125,0,2274.825439453125,2172.1015625
1716,0,1563.5107421875,1499.038818359375,0,921.3599243164062,2304.797119140625
1717,0,1219.0032958984375,642.61767578125,0,1210.0281982421875,2386.670166015625
1718,0,850.4143676757812,490.56927490234375,0,1878.1431884765625,1102.0849609375
1719,0,1147.767578125,1062.4775390625,0,1428.272216796875,2491.392333984375,0,0,0,140.07379150390625
1720,0,1054.0560302734375,655.7880859375,0,761.17236328125,2253.781494140625,0,0,0,1155.916748046875
1721,0,903.53173828125,729.6813354492188,0,783.8900756835938,1823.4971923828125,0,0,0,920.4758911132812
1722,0,1008.298583984375,1813.74951171875,0,906.5455932617188,2325.040771484375,0,0,0,883.1686401367188
1723,0,1127.4940185546875,2108.47900390625,0,971.6332397460938,2079.9287109375,0,0,0,1125.9827880859375
1724,0,708.7705078125,1278.1697998046875,0,1120.981689453125,2267.050537109375,0,0,0,971.301513671875
1725,0,1187.506591796875,2417.342041015625,0,1779.6947021484375,1648.470703125,0,0,0,975.8441162109375
1726,0,1101.97607421875,1639.9459228515625,0,1737.07958984375,1809.3502197265625,0,0,0,1219.1572265625
1727,0,1383.04296875,2210.17236328125,0,1576.3497314453125,2332.27783203125,0,0,0,1229.7220458984375
1728,0,913.8228149414062,985.768798828125,0,1468.7266845703125,1914.6961669921875,0,0,0,1310.5885009765625
1729,0,1355.7615966796875,1747.899169921875,0,1326.4803466796875,2235.417236328125,0,0,0,1281.8280029296875
1730,0,1241.962158203125,1512.6982421875,0,1294.853515625,2124.654296875,0,0,0,1472.63330078125
1731,0,1252.583251953125,1668.5164794921875,0,2012.3623046875,2370.216552734375,0,0,0,1223.474853515625
1732,0,1118.009033203125,1178.4683837890625,0,1052.4810791015625,2433.36572265625,0,0,0,1026.8822021484375
1733,0,1226.1888427734375,1545.661376953125,0,1505.36572265625,2450.514892578125,0,0,0,1121.465087890625
1734,0,1142.790771484375,1355.019287109375,0,1443.3385009765625,2411.04541015625,0,0,0,1178.9376220703125
1735,0,1117.8060302734375,1257.4088134765625,0,1634.441162109375,2489.4619140625,0,0,0,1392.85107421875
1736,0,1173.113525390625,1879.8714599609375,0,935.4320068359375,2400.885009765625,0,0,0,1208.8448486328125
1737,0,1416.7830810546875,1586.406494140625,0,1029.6243896484375,2337.513916015625,0,0,0,1519.56298828125
1738,0,1204.8817138671875,1055.375,0,1315.2640380859375,2393.999267578125,0,0,0,850.65576171875
1739,0,1715.919189453125,1592.6827392578125,0,1654.1199951171875,2257.53369140625,0,0,0,950.7922973632812
1740,0,1531.4354248046875,2171.418701171875,0,1613.972900390625,2449.234130859375,0,0,0,1212.7930908203125
1741,0,1261.0198974609375,1381.1939697265625,0,1381.7669677734375,1699.4654541015625,0,0,0,1095.93017578125
1742,0,1151.3785400390625,942.7542114257812,0,344.25439453125,1613.24169921875,0,0,0,1119.6466064453125
1743,0,1276.744384765625,1360.58935546875,0,1205.1197509765625,2478.47802734375,0,0,0,1287.6395263671875
1744,0,1129.8028564453125,1402.5745849609375,0,1666.431884765625,2495.525390625,134.33477783203125,0,0,1124.143798828125
1745,0,753.9880981445312,960.695068359375,0,2276.32275390625,2245.59130859375,0,0,0,1379.1519775390625
1746,770.8085327148438,1657.76953125,1466.0377197265625,0,1470.7408447265625,2486.162109375,651.010498046875,0,0,1138.1260986328125
1747,803.1458740234375,1690.609375,1576.8104248046875,0,1348.328857421875,2458.35302734375,1840.6141357421875,0,0,945.6073608398438
1748,1062.614990234375,1287.7674560546875,1217.5498046875,0,1638.1767578125,2465.8564453125,1300.7474365234375,0,0,1281.835205078125
1749,1174.47314453125,1440.8204345703125,1643.9215087890625,0,1594.07373046875,2402.2890625,1125.5628662109375,0,0,1089.045166015625
1750,1857.4078369140625,1986.1055908203125,2030.9013671875,0,2108.03955078125,1645.60302734375,1407.22607421875,0,0,1284.61865234375
1751,1049.4676513671875,1079.26220703125,1304.596435546875,0,1413.84716796875,1573.4586181640625,2469.92138671875,0,0,979.4335327148438
1752,1903.60205078125,1263.24951171875,1434.900390625,0,2130.529541015625,2399.128662109375,1049.8779296875,0,0,1253.0623779296875
1753,1095.3984375,1315.4078369140625,1148.2340087890625,0,1301.4556884765625,2397.905029296875,920.6450805664062,0,0,1395.1134033203125
1754,1665.824462890625,1720.3038330078125,1786.345703125,0,2201.11083984375,2222.312744140625,1494.60595703125,0,0,1097.5614013671875
1755,1343.59912109375,1218.4853515625,1038.412841796875,0,1714.720458984375,2173.664306640625,814.367431640625,0,0,854.7772216796875
