Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,-38,-25.5,-21.1,-15.3,-0.1,13.8,14.9,15.6,5.3,-7.3,-15.4,-22.4
2002,-27.9,-24.8,-14.6,-14.8,-1.8,13.3,14.3,12.4,1.1,-5.1,-21,-28.9
2003,-26.9,-27.2,-20.4,-10.6,0.1,13.7,13.4,14.5,6.7,-5.4,-26,-21.3
2004,-25.9,-26.3,-20.5,-13.3,-0.7,12.3,16.2,9.4,4.3,-4.8,-13,-31
2005,-23.2,-24.9,-17.2,-11.4,0.4,12,16.5,11,7.3,-3.1,-14.6,-22.9
2006,-37.9,-25.5,-18.2,-14,-2.1,11.1,17.2,10.7,5.5,-9,-24.2,-20.2
2007,-15.1,-36.5,-17.9,-1.9,-3.6,11.2,17.7,11.3,5.7,-3.4,-15.6,-20.9
2008,-26.5,-20.5,-19.9,-12.4,0.2,10.2,15.4,12.1,7.7,-4.1,-18.3,-23.9
2009,-23.5,-30.6,-21,-6.8,-3.1,9,17.4,13.2,7.2,-4.5,-22.3,-34.7
2010,-29.1,-34,-16.3,-7.2,-1.5,7.9,12.9,10,3,-2.9,-20.7,-31.7
2011,-24.8,-26.7,-11.8,-3.7,4.4,14,12.1,10.8,8.1,-1.9,-17.8,-16.3
2012,-27.1,-18,-15.5,-8.1,-0.1,13.9,17.1,10.6,8.3,-6.5,-23,-26.1
2013,-28.3,-25.5,-24,-5.7,3.2,12.4,20.1,13.1,3.1,-5.9,-17,-20.2
2014,-40.6,-29.8,-12.1,-5.7,-0.4,11.2,14.7,9.7,3.4,-9.2,-24.2,-16.2
2015,-29.9,-23,-15.8,-2,3.1,13.7,16.4,11.2,4.5,-6.9,-17.8,-21.1
2016,-23.3,-18.1,-13.6,-3.2,-2.7,15,19.2,11.8,9.1,-5.6,-26.5,-28.1
2017,-28.6,-22.1,-7,-10.7,-1.6,12.2,15.9,10.3,3.4,-4.1,-20.5,-18.6
2018,-26.5,-23.1,-20.9,-10.3,-4.2,15.7,12.8,11.4,5.8,0.1,-21.2,-26.2
2019,-26.3,-25.5,-9.9,-10.4,-0.6,8.4,17.9,15.7,6,-3,-20.5,-20.9
2020,-20.9,-16.1,-13.9,-0.3,6.2,12.4,15,16.9,9.5,-5.4,-12.5,-28.3
2021,-33.6,-33.4,-22.8,-6.5,1,7.9,14.1,13,6.6,-1.2,-16.4,-29
